subject,roi,E_MODE_ratio,MODE_CENTRED,Z_MODE,Z_MODE_null,rho_FAILURE
subj01,ventral,32.3085859693336,-0.2347970514621941,-0.24229649751485757,-0.007499446052663481,-0.21483970885475673
subj02,ventral,-17.38743917980455,-0.14288969248006222,-0.13511864339145385,0.007771049088608384,-0.12488113801383295
subj03,ventral,10.951248564075131,-0.13328391147872606,-0.14667759877540285,-0.013393687296676773,-0.16068739741790355
subj04,ventral,2.1452808027351558,0.013623745041924758,0.025519295032275225,0.011895549990350467,0.018429860153526365
subj05,ventral,5.604414197309114,-0.09158731537050928,-0.111478513565501,-0.019891198194991716,-0.12594795765110403
subj06,ventral,9.360958508619207,-0.1589701355956385,-0.17798352209094978,-0.019013386495311292,-0.16852015973083004
subj07,ventral,-17.806653024127883,-0.136364626181728,-0.12911375458821375,0.007250871593514265,-0.12946489215299065
subj08,ventral,2.983551014672666,-0.012762544594640993,-0.019196734842451244,-0.00643419024781025,-0.05301148919479973
subj01,lateral,-234.41067801786036,-0.28034752002257096,-0.27915663300596205,0.0011908870166089122,-0.27989879477567575
subj02,lateral,43.26154748062673,-0.14543605338486762,-0.14887738627622796,-0.0034413328913603432,-0.15545138855672372
subj03,lateral,38.22605488316089,-0.3061435038159773,-0.314367407873951,-0.008223904057973668,-0.30654875220538697
subj04,lateral,3.5442076005854695,0.049590670044842536,0.06908226736317097,0.01949159731832843,0.027071252960445845
subj05,lateral,-1.251494870593957,-0.041840521453652885,-0.023257080736057506,0.018583440717595382,-0.038537830158897196
subj06,lateral,24.731137575144743,-0.13017433050501037,-0.13565971147727993,-0.0054853809722695684,-0.11612361646561373
subj07,lateral,-6.721724589533089,-0.05496855337254846,-0.04784986469941718,0.007118688673131277,-0.08188309638378038
subj08,lateral,6.33939593839904,0.022135232375959355,0.026280875934020037,0.004145643558060683,0.0552806632491995
