M,T,roi,median_TOTAL_avg,median_coverage,median_margin_median,median_cov_sd_fold
2,4,ventral,0.5543525814603344,0.618,0.0420533257440428,0.12248124009034597
2,4,lateral,0.517401983300497,0.5227142857142858,0.007737049564834814,0.10511597917099652
4,2,ventral,0.5690370737294735,0.6563392857142857,0.061503049824788686,0.13265181063039289
4,2,lateral,0.5302233740957588,0.579375,0.025385736634200656,0.11548103060356156
8,1,ventral,0.5582205602591621,0.6504166666666666,0.06343822505995395,0.11696594084652327
8,1,lateral,0.5244340746197009,0.56125,0.01614766988762692,0.1179690282978596
