subject,roi,M,T,fold,SCHEDULE_COVERAGE_FOLD
subj04,ventral,4,1,3,0.265
subj04,ventral,4,1,4,0.25
subj04,ventral,4,1,5,0.3175
subj04,ventral,6,1,0,0.6075
subj04,ventral,6,1,1,0.2925
subj04,ventral,6,1,2,0.65125
subj04,ventral,6,1,3,0.5775
subj04,ventral,6,1,4,0.5925
subj04,ventral,6,1,5,0.5875
subj04,ventral,2,4,0,0.7005714285714286
subj04,ventral,2,4,1,0.32971428571428574
subj04,ventral,2,4,2,0.8285714285714286
subj04,ventral,2,4,3,0.7057142857142857
subj04,ventral,2,4,4,0.6188571428571429
subj04,ventral,2,4,5,0.6988571428571428
subj04,ventral,4,2,0,0.7017857142857142
subj04,ventral,4,2,1,0.37607142857142856
subj04,ventral,4,2,2,0.8282142857142857
subj04,ventral,4,2,3,0.7042857142857143
subj04,ventral,4,2,4,0.7171428571428572
subj04,ventral,4,2,5,0.7167857142857142
subj04,ventral,8,1,0,0.655
subj04,ventral,8,1,1,0.425
subj04,ventral,8,1,2,0.73
subj04,ventral,8,1,3,0.69
subj04,ventral,8,1,4,0.75
subj04,ventral,8,1,5,0.675
subj04,ventral,10,8,0,1.0
subj04,ventral,10,8,1,1.0
subj04,ventral,10,8,2,1.0
subj04,ventral,10,8,3,1.0
subj04,ventral,10,8,4,1.0
subj04,ventral,10,8,5,1.0
subj05,ventral,2,1,0,0.19
subj05,ventral,2,1,1,0.035
subj05,ventral,2,1,2,0.045
subj05,ventral,2,1,3,0.035
subj05,ventral,2,1,4,0.185
subj05,ventral,2,1,5,0.08
subj05,ventral,2,2,0,0.63
subj05,ventral,2,2,1,0.24142857142857144
subj05,ventral,2,2,2,0.3314285714285714
subj05,ventral,2,2,3,0.45285714285714285
subj05,ventral,2,2,4,0.5642857142857143
subj05,ventral,2,2,5,0.46
subj05,ventral,4,1,0,0.56875
subj05,ventral,4,1,1,0.30875
subj05,ventral,4,1,2,0.36125
subj05,ventral,4,1,3,0.36875
subj05,ventral,4,1,4,0.5125
subj05,ventral,4,1,5,0.41375
subj05,ventral,6,1,0,0.73
subj05,ventral,6,1,1,0.7125
subj05,ventral,6,1,2,0.69625
subj05,ventral,6,1,3,0.72625
subj05,ventral,6,1,4,0.7125
subj05,ventral,6,1,5,0.68
subj05,ventral,2,4,0,0.9737142857142858
subj05,ventral,2,4,1,0.8017142857142857
subj05,ventral,2,4,2,0.8542857142857143
subj05,ventral,2,4,3,0.9554285714285714
subj05,ventral,2,4,4,0.9771428571428571
subj05,ventral,2,4,5,0.9245714285714286
subj05,ventral,4,2,0,0.9514285714285714
subj05,ventral,4,2,1,0.8657142857142858
subj05,ventral,4,2,2,0.8817857142857143
subj05,ventral,4,2,3,0.9460714285714286
subj05,ventral,4,2,4,0.9453571428571429
subj05,ventral,4,2,5,0.9185714285714286
subj05,ventral,8,1,0,0.785
subj05,ventral,8,1,1,0.84
subj05,ventral,8,1,2,0.915
subj05,ventral,8,1,3,0.89
subj05,ventral,8,1,4,0.845
subj05,ventral,8,1,5,0.82
subj05,ventral,10,8,0,1.0
subj05,ventral,10,8,1,1.0
subj05,ventral,10,8,2,1.0
subj05,ventral,10,8,3,1.0
subj05,ventral,10,8,4,1.0
subj05,ventral,10,8,5,1.0
subj06,ventral,2,1,0,0.025
subj06,ventral,2,1,1,0.0
subj06,ventral,2,1,2,0.0
subj06,ventral,2,1,3,0.02
subj06,ventral,2,1,4,0.04
subj06,ventral,2,1,5,0.01
subj06,ventral,2,2,0,0.18285714285714286
subj06,ventral,2,2,1,0.04428571428571428
subj06,ventral,2,2,2,0.054285714285714284
subj06,ventral,2,2,3,0.10714285714285714
subj06,ventral,2,2,4,0.2057142857142857
subj06,ventral,2,2,5,0.2
subj06,ventral,4,1,0,0.18125
subj06,ventral,4,1,1,0.02125
subj06,ventral,4,1,2,0.08375
subj06,ventral,4,1,3,0.15375
subj06,ventral,4,1,4,0.24375
subj06,ventral,4,1,5,0.21625
subj06,ventral,6,1,0,0.46
subj06,ventral,6,1,1,0.14375
subj06,ventral,6,1,2,0.2675
subj06,ventral,6,1,3,0.39875
subj06,ventral,6,1,4,0.525
subj06,ventral,6,1,5,0.55375
subj06,ventral,2,4,0,0.5531428571428572
subj06,ventral,2,4,1,0.17942857142857144
subj06,ventral,2,4,2,0.29942857142857143
subj06,ventral,2,4,3,0.5297142857142857
subj06,ventral,2,4,4,0.7302857142857143
subj06,ventral,2,4,5,0.5931428571428572
subj06,ventral,4,2,0,0.6278571428571429
subj06,ventral,4,2,1,0.2392857142857143
subj06,ventral,4,2,2,0.39964285714285713
subj06,ventral,4,2,3,0.5960714285714286
subj06,ventral,4,2,4,0.7717857142857143
subj06,ventral,4,2,5,0.6814285714285714
subj06,ventral,8,1,0,0.59
