subject,roi,M,T,fold,SCHEDULE_COVERAGE_FOLD
subj07,lateral,2,4,1,0.8422857142857143
subj07,lateral,2,4,2,0.7565714285714286
subj07,lateral,2,4,3,0.9137142857142857
subj07,lateral,2,4,4,0.9217142857142857
subj07,lateral,2,4,5,0.8942857142857142
subj07,lateral,4,2,0,0.93
subj07,lateral,4,2,1,0.8007142857142857
subj07,lateral,4,2,2,0.7407142857142858
subj07,lateral,4,2,3,0.93
subj07,lateral,4,2,4,0.9185714285714286
subj07,lateral,4,2,5,0.8421428571428572
subj07,lateral,8,1,0,0.935
subj07,lateral,8,1,1,0.7
subj07,lateral,8,1,2,0.825
subj07,lateral,8,1,3,0.96
subj07,lateral,8,1,4,0.955
subj07,lateral,8,1,5,0.82
subj07,lateral,10,8,0,1.0
subj07,lateral,10,8,1,1.0
subj07,lateral,10,8,2,1.0
subj07,lateral,10,8,3,1.0
subj07,lateral,10,8,4,1.0
subj07,lateral,10,8,5,1.0
subj08,lateral,2,1,0,0.05
subj08,lateral,2,1,1,0.05
subj08,lateral,2,1,2,0.07
subj08,lateral,2,1,3,0.08
subj08,lateral,2,1,4,0.005
subj08,lateral,2,1,5,0.07
subj08,lateral,2,2,0,0.11285714285714285
subj08,lateral,2,2,1,0.11571428571428571
subj08,lateral,2,2,2,0.10428571428571429
subj08,lateral,2,2,3,0.13142857142857142
subj08,lateral,2,2,4,0.06571428571428571
subj08,lateral,2,2,5,0.11285714285714285
subj08,lateral,4,1,0,0.175
subj08,lateral,4,1,1,0.07625
subj08,lateral,4,1,2,0.125
subj08,lateral,4,1,3,0.15625
subj08,lateral,4,1,4,0.06125
subj08,lateral,4,1,5,0.12375
subj08,lateral,6,1,0,0.32625
subj08,lateral,6,1,1,0.21375
subj08,lateral,6,1,2,0.25625
subj08,lateral,6,1,3,0.28375
subj08,lateral,6,1,4,0.11
subj08,lateral,6,1,5,0.2025
subj08,lateral,2,4,0,0.208
subj08,lateral,2,4,1,0.2651428571428571
subj08,lateral,2,4,2,0.20285714285714285
subj08,lateral,2,4,3,0.276
subj08,lateral,2,4,4,0.292
subj08,lateral,2,4,5,0.25542857142857145
subj08,lateral,4,2,0,0.2782142857142857
subj08,lateral,4,2,1,0.2717857142857143
subj08,lateral,4,2,2,0.2860714285714286
subj08,lateral,4,2,3,0.2621428571428571
subj08,lateral,4,2,4,0.17785714285714285
subj08,lateral,4,2,5,0.25607142857142856
subj08,lateral,8,1,0,0.425
subj08,lateral,8,1,1,0.355
subj08,lateral,8,1,2,0.35
subj08,lateral,8,1,3,0.345
subj08,lateral,8,1,4,0.14
subj08,lateral,8,1,5,0.285
subj08,lateral,10,8,0,1.0
subj08,lateral,10,8,1,1.0
subj08,lateral,10,8,2,1.0
subj08,lateral,10,8,3,1.0
subj08,lateral,10,8,4,1.0
subj08,lateral,10,8,5,0.0
