bucket,n_examples,retrieval_mse_mean,retrieval_mse_median,retrieval_pixel_l2_mean,retrieval_pixel_l2_median,retrieval_pixcorr_mean,retrieval_pixcorr_median,retrieval_ssim_mean,retrieval_ssim_median,retrieval_psnr_mean,retrieval_psnr_median,retrieval_lpips_mean,retrieval_lpips_median,retrieval_clip_image_similarity_mean,retrieval_clip_image_similarity_median,prior_mse_mean,prior_mse_median,prior_pixel_l2_mean,prior_pixel_l2_median,prior_pixcorr_mean,prior_pixcorr_median,prior_ssim_mean,prior_ssim_median,prior_psnr_mean,prior_psnr_median,prior_lpips_mean,prior_lpips_median,prior_clip_image_similarity_mean,prior_clip_image_similarity_median,diffusion_mse_mean,diffusion_mse_median,diffusion_pixel_l2_mean,diffusion_pixel_l2_median,diffusion_pixcorr_mean,diffusion_pixcorr_median,diffusion_ssim_mean,diffusion_ssim_median,diffusion_psnr_mean,diffusion_psnr_median,diffusion_lpips_mean,diffusion_lpips_median,diffusion_clip_image_similarity_mean,diffusion_clip_image_similarity_median,retrieval_anchor_similarity_mean,retrieval_anchor_similarity_median,retrieval_shortlist_consistency_score_mean,retrieval_shortlist_consistency_score_median,prior_anchor_similarity_mean,prior_anchor_similarity_median,prior_shortlist_consistency_score_mean,prior_shortlist_consistency_score_median,diffusion_anchor_similarity_mean,diffusion_anchor_similarity_median,diffusion_shortlist_consistency_score_mean,diffusion_shortlist_consistency_score_median,diffusion_anchor_layout_ssim_mean,diffusion_anchor_layout_ssim_median,diffusion_anchor_edge_corr_mean,diffusion_anchor_edge_corr_median,delta_mse_mean,delta_mse_median,delta_pixel_l2_mean,delta_pixel_l2_median,delta_pixcorr_mean,delta_pixcorr_median,delta_ssim_mean,delta_ssim_median,delta_psnr_mean,delta_psnr_median,delta_lpips_mean,delta_lpips_median,delta_clip_image_similarity_mean,delta_clip_image_similarity_median
perfect,4,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,,,0.0,0.0,0.9999999552965164,0.9999999701976776,0.0009559712780173868,0.0007769762887619436,9.6511549949646,8.739558219909668,0.9938712716989497,0.9948618287857387,0.9293173998594284,0.9354469776153564,27.262746513845507,27.262746513845507,0.018094735220074654,0.01780763640999794,0.9808606654405594,0.9907795190811157,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,1.0,,,0.0,0.0,0.9999999552965164,0.9999999701976776,1.0000000298023224,1.0,0.9148386418819427,0.9077017605304718,0.9805873334407806,0.9906619489192963,0.8963030129671097,0.8910732269287109,1.0000000298023224,1.0,0.9148386418819427,0.9077017605304718,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
good,4,0.11137862130999565,0.09391911886632442,140.0438461303711,132.9196319580078,0.08822089847411375,0.06217416765781318,0.3996246736496687,0.3612416163086891,10.525730135854936,10.664859312456885,0.580840215086937,0.5987160205841064,0.7536839544773102,0.7820925116539001,0.17851099092513323,0.17142903804779053,178.96306037902832,183.01641845703125,0.09465921763686588,0.11008807976253807,0.3273375928401947,0.3100399374961853,8.361436059926332,7.713434647329347,0.6385038793087006,0.65606290102005,0.7028044164180756,0.7620810866355896,0.19088932033628225,0.18547381460666656,185.5812110900879,190.1449966430664,0.06518081115571132,0.08412552330098552,0.3017891179770231,0.29250887781381607,8.01194433238363,7.391774090381908,0.6496579945087433,0.6626481115818024,0.6900849044322968,0.7577537596225739,0.8298594653606415,0.9199084639549255,0.8423888832330704,0.8609401881694794,0.965097650885582,0.9880066514015198,0.7497219741344452,0.8270760178565979,1.0000000596046448,1.0000000596046448,0.7618728205561638,0.8437076807022095,1.0,1.0,1.0,1.0,0.0795106990262866,0.009641587734222412,45.5373649597168,5.680839538574219,-0.02304008731840242,0.0,-0.09783555567264557,0.0,-2.5137858034713054,-0.2958610457542372,0.06881777942180634,0.0,-0.06359905004501343,-0.044019341468811035
near_good,4,0.1314252745360136,0.14017727971076965,158.83808135986328,165.9685287475586,-0.010061954728357945,0.05560179835300661,0.10411767661571503,0.07611838728189468,9.03349478090583,8.537771111036305,0.7444289922714233,0.7346497178077698,0.6387957483530045,0.6161843836307526,0.1150540504604578,0.11615117266774178,148.08782386779785,151.07779693603516,0.09619488224757827,0.05508330033687453,0.1542108254507184,0.11935702711343765,9.672579824578754,9.354235335738265,0.7347064763307571,0.739919900894165,0.6362417340278625,0.6115024983882904,0.1201730240136385,0.12043404206633568,151.5763454437256,153.781982421875,0.09679879379489628,0.05153044689735201,0.1428737798705697,0.10481468215584755,9.453650149523515,9.203305388739711,0.7364911884069443,0.7343149781227112,0.6115352660417557,0.5894687473773956,0.8507064133882523,0.8366813361644745,0.8415863066911697,0.8630026578903198,0.9717225283384323,0.9790449142456055,0.8304239809513092,0.8461667597293854,1.0000000894069672,1.0000001192092896,0.8270735442638397,0.8466342389583588,1.0,1.0,0.9999999999999999,1.0,-0.011252250522375107,-0.011597547680139542,-7.261735916137695,-7.617900848388672,0.10686074852325422,0.10771550379234875,0.03875610325485468,0.04321366548538208,0.4201553686176851,0.4537426748368443,-0.007937803864479065,-0.00033473968505859375,-0.02726048231124878,-0.026715636253356934
hard,4,0.09703614749014378,0.0945175439119339,137.7795810699463,136.1814956665039,0.03638583421699342,0.03009485423925162,0.16175288148224354,0.13132499158382416,10.17380303650587,10.262441037384646,0.7143861949443817,0.6875653862953186,0.5413393080234528,0.5429913401603699,0.0994375329464674,0.10073740780353546,139.63396072387695,140.72412109375,0.13117142334352172,0.11667423399942523,0.17716221697628498,0.14485053718090057,10.048102354068174,9.969189252455593,0.7274326831102371,0.6997613608837128,0.5730302184820175,0.5305933952331543,0.10875963792204857,0.10752634704113007,145.83493423461914,145.36566162109375,0.13030140690747502,0.11846586095179373,0.15365261398255825,0.11857516691088676,9.682280064710781,9.688700272312905,0.7335787862539291,0.7091878652572632,0.5646200329065323,0.5286363065242767,0.7954301983118057,0.7857617139816284,0.7705973237752914,0.7836931049823761,0.9680227041244507,0.9714734256267548,0.7400486767292023,0.7395325005054474,1.0000000596046448,1.0000000596046448,0.7444398254156113,0.7523120939731598,1.0,1.0,1.0,1.0,0.011723490431904793,0.008599840104579926,8.055353164672852,5.5218658447265625,0.09391557269048159,0.0894700678288006,-0.008100267499685287,-0.0034507103264331818,-0.4915229717950882,-0.3144658278023966,0.019192591309547424,0.01676270365715027,0.02328072488307953,0.02066454291343689
