subject,roi,M,T,R_CONTROL,R_HYBRID,DELTA_PRIOR,O2_9_R_COMP,SIM_hybrid_oracle_IN,SIM_hybrid_oracle_OUT
subj01,ventral,10,8,0.6495359645766007,0.6435798589616349,-0.005956105614965734,0.6495359645766007,0.942094524888105,0.9998489378743686
subj02,ventral,10,8,0.6390326292848328,0.6385996632939005,-0.00043296599093234356,0.6390326292848328,0.8833797386882836,0.9991926522176832
subj03,ventral,10,8,0.6412500943082424,0.6412615215740508,1.1427265808383602e-05,0.6412500943082424,0.9091757494175096,0.9997217034843705
subj04,ventral,10,8,0.652197814633391,0.6513092943766882,-0.0008885202567028294,0.652197814633391,0.8882513937145836,0.9995635948278173
subj05,ventral,10,8,0.7093398056439795,0.7062116600688723,-0.0031281455751072107,0.7093398056439795,0.8994287663014786,0.997280597606739
subj06,ventral,10,8,0.6165643602368053,0.6167169157727533,0.00015255553594806237,0.6165643602368053,0.9595853124170007,0.9997066553956867
subj07,ventral,10,8,0.7474621759259401,0.7470874136390298,-0.0003747622869103573,0.7474621759259401,0.8947928524684539,0.9966974417681622
subj08,ventral,10,8,0.4391149637006861,0.43632740578100065,-0.002787557919685435,0.4391149637006861,0.9441569061370365,0.9997762131997785
subj01,lateral,10,8,0.7418702217899872,0.7407728163623691,-0.0010974054276180478,0.7418702217899872,0.8629851736164692,0.9993327284473157
subj02,lateral,10,8,0.6684237689703982,0.6643070234295679,-0.004116745540830302,0.6684237689703982,0.9506902284897555,0.9998493968400716
subj03,lateral,10,8,0.700338214351434,0.6975932792263455,-0.0027449351250884435,0.700338214351434,0.9416785068773508,0.9997993461060349
subj04,lateral,10,8,0.6231397296223898,0.6244975083098466,0.0013577786874567899,0.6231397296223898,0.9748966451134854,0.9991577961104178
subj05,lateral,10,8,0.5948931163513608,0.599308503176445,0.004415386825084244,0.5948931163513608,0.9578451509718313,0.9996008438222428
subj06,lateral,10,8,0.6531973895319237,0.6530267890678965,-0.0001706004640272818,0.6531973895319237,0.9862483252892562,0.9996676622842123
subj07,lateral,10,8,0.7670715800184226,0.764706657797022,-0.0023649222214006116,0.7670715800184226,0.8736594974782393,0.999406684159046
subj08,lateral,10,8,0.45340512790929627,0.45281680480359826,-0.0005883231056980076,0.45340512790929627,0.9483718811729643,0.9995944987714993
