roi,M,T,N_TRIALS,evaluable,median_DELTA,n_DELTA_pos,signflip_p,holm_reject,gain_supported,median_TOTAL,median_FCF,hybrid_sufficient,prior_enabled
ventral,2,1,2,True,0.024942783623073506,8,0.00390625,True,True,0.32280752593428186,0.3368828381978324,False,False
ventral,2,2,4,True,0.021488401461044554,8,0.00390625,True,True,0.45052109209818647,0.47054416993002335,False,False
ventral,4,1,4,True,0.010048749662085604,8,0.00390625,True,True,0.4349713650914469,0.45843884907482674,False,False
ventral,6,1,6,True,-0.00254989611106729,1,0.9921875,False,False,0.5092897189413288,0.536420489570085,False,False
lateral,2,1,2,True,0.03700992704045833,8,0.00390625,True,True,0.29313684831764175,0.32962829271711264,False,False
lateral,2,2,4,True,0.030452533805514104,8,0.00390625,True,True,0.41875578406434477,0.46196710702081734,False,False
lateral,4,1,4,True,0.014702122755344743,8,0.00390625,True,True,0.40836142974243556,0.45752353317059113,False,False
lateral,6,1,6,True,-0.000892464797792536,2,0.97265625,False,False,0.4785616739224411,0.5338016620747328,False,False
