participant,S_rel_img,S_perf,S_rel_vis,mad_rel,mad_perf,P_B0,P_B1,mean_rel,mean_perf,rho_spatial,median_nvox,min_nvox,n_rel_positive,n_perf_positive,n_concordant_positive,n_concordant_negative,n_discordant,n_roi
subj02,0.1000066040727515,0.1428778349394249,-0.0064969993504095,0.03367541965625209,0.04725249819435651,0.1927487043161218,0.0156984396731481,0.08773358684589953,0.14789950906432256,-0.4642857142857144,23.0,10,6,7,6,0,1,7
subj03,0.1021414009195117,0.1977312130681257,0.1349621308167808,0.04225957989664109,0.0893103449105812,0.1874369040761617,0.0147957253367582,0.11384894264987831,0.20101434434225457,0.5,26.0,9,7,7,7,0,0,7
subj04,0.1246338198297962,0.151066130633891,0.1309006778641819,0.0297685700937413,0.033302722845037186,0.1527028463129513,0.0092532003322959,0.10309137152406765,0.13921363964258213,-0.07142857142857144,18.0,10,7,7,7,0,0,7
subj05,0.0835894879294625,0.1464611566281717,0.0726916593280509,0.011761992727510204,0.07724709538257649,0.1184198384998872,-0.0080652813869082,0.09278582968095576,0.18772176801507887,-0.21428571428571433,23.0,11,7,7,7,0,0,7
subj06,0.1137501521148113,0.1732345844405315,0.1209066174143074,0.02917882421405958,0.10489923958883748,0.0932744011491677,-0.0158376104494903,0.10378946756509008,0.12744306513436662,0.7500000000000002,24.0,10,7,5,5,0,2,7
subj07,0.0643671861247033,-0.0330213476606299,0.0270675992158734,0.025475386348262,0.0285786197797972,-0.0042922040327016,0.0350640597042804,0.05138026733608229,-0.03915209979441866,0.7500000000000002,23.0,8,5,1,1,2,4,7
subj08,0.0598374028133895,0.1443008722286328,0.1227832248952749,0.009848893750997699,0.050664762528907906,0.1424155887219668,-0.0015521251837506,0.0696536623335528,0.16314275511221435,0.21428571428571433,22.0,10,7,7,7,0,0,7
