ROI,median_L_rel_img,mad_L_rel_img,n_rel_pos,median_L_perf_RAW,mad_L_perf_RAW,n_perf_pos,n_both_pos,rho_across_participants
V1,0.0693988401340209,0.0075240576794990965,6,0.1967597781629572,0.1659621543209437,5,5,0.7142857142857144
V2,0.0675037034511444,0.021899028726650095,7,0.1134629760918303,0.06176275028345081,5,5,0.8214285714285715
V3,0.1142520145359802,0.03515165460365609,7,0.1555344070958976,0.04219680597222808,6,6,0.14285714285714288
hV4,0.0512830493961311,0.038636605006017594,5,0.1543529749820801,0.08645338762069121,6,5,-0.14285714285714288
ventral,0.0850983873249441,0.0334548218178107,7,0.0956253367450684,0.021068107826961197,6,6,0.7142857142857144
lateral,0.1172613841094592,0.007372435720336995,7,0.1084208681575445,0.0646547909938765,6,6,-0.25
parietal,0.1429910666146513,0.028061384063830408,7,0.1428778349394249,0.05993514329624999,7,7,0.6071428571428572
