participant,ROI,fold,TV_vis,TV_img,alignment_ratio,alignment_evaluable,align_d,null_mean,null_p05,null_p95,alignment_empirical_percentile
subj01,V1,fold_0,19.913906992381794,6.279284667386929,0.3153215825397354,True,3.0,0.18741211424865312,0.02194324315408556,0.7313186988873769,0.82
subj01,V1,fold_1,24.86073054426182,14.862496421157411,0.5978302365128152,True,6.0,0.29746747747668795,0.062010214554900765,0.9097149586084375,0.77
subj01,V1,fold_2,14.630236029913785,5.014493629515068,0.34274864870683963,True,2.0,0.15616395328765698,0.018952855196071986,0.7985372363142063,0.89
subj01,V1,fold_3,23.88240373243299,8.866995154540648,0.371277332628751,True,4.0,0.13951464788742932,0.02847773967671537,0.7738402818913251,0.92
subj01,V2,fold_0,18.130098536738018,16.82082699140947,0.9277846426109875,True,7.0,0.40379085712661916,0.10017891088967233,0.8557551564168151,0.98
subj01,V2,fold_1,11.232059584761581,12.453260634335118,1.1087245878957344,True,1.0,0.11933615472666129,0.017517429995069413,0.4200789067399568,1.0
subj01,V2,fold_2,20.895345382672478,9.243482715458136,0.4423704201186987,True,7.0,0.3551217603833809,0.11952378280381712,0.8634506585171922,0.62
subj01,V2,fold_3,22.48494745856144,12.098229244794977,0.5380590400351777,True,3.0,0.13784422275087205,0.03218873470156838,0.6903905783942352,0.94
subj01,V3,fold_0,13.14307632143926,11.86392499236901,0.9026748914952528,True,8.0,0.5874072736980845,0.2732888739844851,0.9938194405528861,0.85
subj01,V3,fold_1,18.704690195091924,17.00315029577017,0.9090313776077277,True,9.0,0.5964609305842372,0.2850704186748254,0.9322164323483648,0.93
subj01,V3,fold_2,12.138321175543709,8.640288179614842,0.7118190443850914,True,3.0,0.19741036089878367,0.053228439243956926,0.6077233440097211,0.99
subj01,V3,fold_3,16.711292714143262,15.013378612768072,0.8983972017952749,True,11.0,0.8289020069190449,0.39865995429854145,1.2754295755084226,0.6
subj01,hV4,fold_0,10.22773236417991,5.349501268971752,0.5230388397438956,True,6.0,0.5379523128967403,0.16863561136793076,0.9655951963627373,0.56
subj01,hV4,fold_1,5.585115148636321,4.6916275227365025,0.8400234190125918,True,1.0,0.24929860630592074,0.03692837062076029,1.4865511761100376,0.86
subj01,hV4,fold_2,7.891551696059096,6.212596684670418,0.7872465294465321,True,3.0,0.37233649400403207,0.06887689123164985,0.9226588069841346,0.75
subj01,hV4,fold_3,13.537998739569199,9.089080659383129,0.6713754990105988,True,8.0,0.7268424502312467,0.18367118723086637,1.0932065371106108,0.38
subj01,ventral,fold_0,38.370256741767776,19.586462725550827,0.510459517051656,True,2.0,0.1263928086904876,0.022249696891272767,0.646146076807099,0.93
subj01,ventral,fold_1,59.1975365374047,26.639789212412367,0.45001516567466765,True,2.0,0.07679603032146681,0.01305807861556785,0.3560112662917836,0.95
subj01,ventral,fold_2,51.56154890493866,24.081305487956616,0.46703999393722756,True,4.0,0.11647561014108737,0.04524929347872931,0.3733380963442294,0.97
subj01,ventral,fold_3,43.82373615469244,22.579409259055097,0.5152324114802201,True,1.0,0.06587765707416594,0.008826159674953569,0.21938065613466617,0.95
subj01,lateral,fold_0,57.95466964380475,41.42164504308169,0.7147248927077542,True,10.0,0.311745219808952,0.11354450349198146,0.8482806578980974,0.78
subj01,lateral,fold_1,100.05621246108535,62.25181160174303,0.6221683798590166,True,10.0,0.26865092176691063,0.0708893623705744,0.8075075487418626,0.79
subj01,lateral,fold_2,55.91483929620686,28.529096613263086,0.5102240652455642,True,2.0,0.07919735164413816,0.019546068218588664,0.1846171768072724,0.97
subj01,lateral,fold_3,59.92256160444086,46.204944663831355,0.7710775945934712,True,9.0,0.30867722929416336,0.1095225482286035,0.8682351337403644,0.78
subj01,parietal,fold_0,48.89360614341621,32.06398091344072,0.655790878246732,True,2.0,0.06595115764246873,0.012215397594601472,0.08255320728322238,0.96
subj01,parietal,fold_1,43.23269909636294,34.342578490267684,0.794365820503602,True,4.0,0.08529985122792796,0.02973935849309174,0.20117069586651604,0.97
subj01,parietal,fold_2,,,,False,,,,,
subj01,parietal,fold_3,29.930308189893175,25.1062032236322,0.8388220750800698,True,2.0,0.07174585027802478,0.014780999187006271,0.1362788438198076,0.97
subj02,V1,fold_0,17.20096196351426,11.001300017792548,0.6395746959459537,True,3.0,0.20264632816156922,0.018379288483226015,0.9024248140172958,0.86
subj02,V1,fold_1,18.858261226254072,7.896934106372858,0.418751973558353,True,4.0,0.19820891377073915,0.017005103403231848,0.8495516152389444,0.82
subj02,V1,fold_2,21.84844196812049,11.121242503107728,0.509017646170604,True,7.0,0.36126599413950344,0.03595161928201183,0.9134104037616262,0.67
subj02,V1,fold_3,20.301845495837927,18.628058193904284,0.9175549187251579,True,11.0,0.6242804040904502,0.14923300096502967,1.138917513147385,0.54
subj02,V2,fold_0,14.831937359106634,10.54227399186085,0.7107819927103466,True,6.0,0.4821700577634286,0.17256787489032394,1.0186353753875423,0.69
subj02,V2,fold_1,16.33375851477497,6.704347816546442,0.4104595895967186,True,5.0,0.34042165601646346,0.10156808157140604,0.8167691759867627,0.76
subj02,V2,fold_2,17.585919049001053,9.395768139113235,0.5342779136497248,True,7.0,0.414022499988751,0.14408630003093614,0.8263019279822323,0.68
subj02,V2,fold_3,18.954484766731632,11.53960208697072,0.6088058962818499,True,7.0,0.3836709630534337,0.1274036152264983,0.8602944103899911,0.73
subj02,V3,fold_0,21.869395698230868,11.381800042438995,0.5204441951434319,True,7.0,0.3882991450725749,0.06961234062167207,0.9014923307203184,0.66
subj02,V3,fold_1,10.153830131039864,5.781767196242333,0.5694173648392733,True,1.0,0.10308239800491288,0.0081276676545147,0.27372691529330434,0.96
subj02,V3,fold_2,19.32428265304252,11.606031721145218,0.6005931464326776,True,9.0,0.41759911396072946,0.08366158667919996,0.950892462202135,0.65
subj02,V3,fold_3,19.443391533059902,17.428569644474496,0.8963749773202081,True,10.0,0.5976438220139775,0.18110768804013117,1.1655042842991232,0.64
subj02,hV4,fold_0,,,,False,,,,,
subj02,hV4,fold_1,6.157994368724573,7.689100440396716,1.2486371341046325,True,1.0,0.25438354949440806,0.00265999398671169,1.0,1.0
subj02,hV4,fold_2,6.1901597892421725,4.684491881377609,0.7567642905630236,True,2.0,0.2558867101602848,0.025447424078838484,0.8882447939027337,0.79
subj02,hV4,fold_3,10.775106911375094,8.538192549998525,0.7923997989277399,True,1.0,0.13762482543430893,0.0024275249177153897,1.0,0.89
subj02,ventral,fold_0,86.12681896423354,44.16297995471875,0.5127668766340785,True,4.0,0.1318030024655906,0.026556852241674613,0.6160573896748928,0.92
subj02,ventral,fold_1,85.62197487126211,35.51823740819428,0.41482618757156825,True,4.0,0.13686192446794293,0.027744463889327182,0.5665195916623161,0.89
subj02,ventral,fold_2,73.71612319391107,42.97537118817381,0.5829846894569676,True,10.0,0.2930860391589287,0.09525159197939835,0.6807389209719639,0.86
subj02,ventral,fold_3,65.98137021077986,50.15082566342615,0.7600755410689037,True,3.0,0.08862794215964007,0.017332575183976413,0.22361095963055244,0.98
subj02,lateral,fold_0,67.00816806683784,31.45602178715471,0.46943563291834284,True,5.0,0.22318440757153368,0.033596868163531426,0.8851411571814977,0.8
subj02,lateral,fold_1,95.69078853191532,62.647950087432164,0.654691543967552,True,8.0,0.17308223621795463,0.04918255036355547,0.8245499727254192,0.89
subj02,lateral,fold_2,66.34952748190187,49.58765855857073,0.747370183941351,True,6.0,0.17087926035344203,0.033801669607243276,0.8416898029733803,0.87
subj02,lateral,fold_3,72.40373465950626,39.355350412559055,0.5435541494873966,True,1.0,0.021060433532430572,0.0021098479411725524,0.05191743267586069,0.99
subj02,parietal,fold_0,58.268507295752464,40.97510876184787,0.7032119177838418,True,12.0,0.31046936229872846,0.07387754710644134,0.9062024279021738,0.74
subj02,parietal,fold_1,37.892889885177745,42.779638721566734,1.1289621575761764,True,5.0,0.14177292762360133,0.04810060547622368,0.8459152927637009,1.0
subj02,parietal,fold_2,21.764432263327006,14.532061120547937,0.6676976888128807,True,1.0,0.051812205529694066,0.006587957853687738,0.10837091309607526,0.97
subj02,parietal,fold_3,51.74328040326361,46.03337459452228,0.8896493271350228,True,2.0,0.02633872909791053,0.005274457675509437,0.04101109380675772,0.99
subj03,V1,fold_0,28.29583620418962,32.99873142511156,1.1662044969084746,True,1.0,0.01971863916655117,0.001607457139603533,0.053079778857770356,1.0
subj03,V1,fold_1,19.96660451352347,20.3331006900151,1.0183554582975487,True,8.0,0.3351067216658877,0.03391654609073466,0.9930395056336913,0.96
subj03,V1,fold_2,16.828054882806168,11.838887221041242,0.7035208349087012,True,2.0,0.08781254341108263,0.005459178983140059,0.9189055175707029,0.93
subj03,V1,fold_3,20.86195243842046,11.779719301143837,0.5646508559500736,True,1.0,0.029547136358146004,0.0016879042839352456,0.03798364538442721,0.98
