ROI,mean_alignment,median_alignment,MAD_alignment,min_alignment,max_alignment,mean_null,n_subj_above_null,n_subj_below_null,public_alignment_reference
V1,0.7046907448683448,0.6353827482425237,0.198585614620991,0.40679445009703535,1.06793467322295,0.19438001031384108,8,0,0.25-0.30
V2,0.6955416343158682,0.7129071034521179,0.10729073051025628,0.4446635739750977,1.0542415965987852,0.25634988996211894,8,0,
V3,0.8413619626885052,0.782769604419496,0.1368743597209519,0.5460618740778083,1.5190902631560992,0.2953067246476816,8,0,
hV4,0.7651230605994777,0.7228457728933635,0.06389069540645864,0.6457720662214099,0.9442532407374936,0.4135650441454678,6,2,~0.50
ventral,0.7485516859250083,0.7088305082543354,0.038494637082850613,0.4856867720359429,1.3326318867513782,0.1101675252922318,8,0,
lateral,0.9213105268385745,0.8971434109422252,0.2106972345494424,0.6037628775786607,1.2894039593856292,0.11708663705289929,8,0,
parietal,0.9207201003620828,0.8805623425884909,0.14572562933048544,0.6172769535670866,1.2000485654567967,0.12685922395958482,8,0,~1.0
