participant,ROI,direction,model,held_out_r
subj02,V3,simple_to_naturalistic,O1,0.36020174995064735
subj02,V3,simple_to_naturalistic,O2,0.5613148603588343
subj02,V3,simple_to_naturalistic,O3,0.4546692933408223
subj02,V3,simple_to_naturalistic,O4,0.6008547297708976
subj02,V3,naturalistic_to_simple,O0,0.7846011320749918
subj02,V3,naturalistic_to_simple,O1,0.7965216636657715
subj02,V3,naturalistic_to_simple,O2,0.7845670382181803
subj02,V3,naturalistic_to_simple,O3,0.6745964438884388
subj02,V3,naturalistic_to_simple,O4,0.7416758765753838
subj02,hV4,simple_to_naturalistic,O0,0.9135723213354746
subj02,hV4,simple_to_naturalistic,O1,0.9129185875256857
subj02,hV4,simple_to_naturalistic,O2,0.9135676423708597
subj02,hV4,simple_to_naturalistic,O3,0.7485758960753196
subj02,hV4,simple_to_naturalistic,O4,0.9137107118181503
subj02,hV4,naturalistic_to_simple,O0,0.685766746600469
subj02,hV4,naturalistic_to_simple,O1,0.6803390781084696
subj02,hV4,naturalistic_to_simple,O2,0.6859584053357443
subj02,hV4,naturalistic_to_simple,O3,0.65974500398548
subj02,hV4,naturalistic_to_simple,O4,0.6761538486510337
subj02,ventral,simple_to_naturalistic,O0,0.4166376783202092
subj02,ventral,simple_to_naturalistic,O1,0.46300643930832547
subj02,ventral,simple_to_naturalistic,O2,0.41669166398545104
subj02,ventral,simple_to_naturalistic,O3,0.46633104159130917
subj02,ventral,simple_to_naturalistic,O4,0.4096811873125364
subj02,ventral,naturalistic_to_simple,O0,0.7103236317634583
subj02,ventral,naturalistic_to_simple,O1,0.7359278698762258
subj02,ventral,naturalistic_to_simple,O2,0.7457704345385233
subj02,ventral,naturalistic_to_simple,O3,0.7138936151052472
subj02,ventral,naturalistic_to_simple,O4,0.7206308907343987
subj02,lateral,simple_to_naturalistic,O0,0.1754836148271958
subj02,lateral,simple_to_naturalistic,O1,0.17878825155397257
subj02,lateral,simple_to_naturalistic,O2,0.17511803532640138
subj02,lateral,simple_to_naturalistic,O3,0.10915658967218715
subj02,lateral,simple_to_naturalistic,O4,0.20685440174559766
subj02,lateral,naturalistic_to_simple,O0,0.4824421803156535
subj02,lateral,naturalistic_to_simple,O1,0.4899270584185918
subj02,lateral,naturalistic_to_simple,O2,0.4868644078572591
subj02,lateral,naturalistic_to_simple,O3,0.49999147254796505
subj02,lateral,naturalistic_to_simple,O4,0.5158746938617068
subj02,parietal,simple_to_naturalistic,O0,0.4703642080227534
subj02,parietal,simple_to_naturalistic,O1,0.5157593935728073
subj02,parietal,simple_to_naturalistic,O2,0.4686797509590785
subj02,parietal,simple_to_naturalistic,O3,0.4854489192201485
subj02,parietal,simple_to_naturalistic,O4,0.45081777128898165
subj02,parietal,naturalistic_to_simple,O0,0.6149722337722778
subj02,parietal,naturalistic_to_simple,O1,0.6467419366041819
subj02,parietal,naturalistic_to_simple,O2,0.6384853770335516
subj02,parietal,naturalistic_to_simple,O3,0.6481544181434685
subj02,parietal,naturalistic_to_simple,O4,0.5932004465511999
subj03,V1,simple_to_naturalistic,O0,0.11777200235519558
subj03,V1,simple_to_naturalistic,O1,0.16400549933314323
subj03,V1,simple_to_naturalistic,O2,0.05069320648908615
subj03,V1,simple_to_naturalistic,O3,0.1763259831745141
subj03,V1,simple_to_naturalistic,O4,0.022744671896625757
subj03,V1,naturalistic_to_simple,O0,0.7505569259325663
subj03,V1,naturalistic_to_simple,O1,0.750611831744512
subj03,V1,naturalistic_to_simple,O2,0.75054598848025
subj03,V1,naturalistic_to_simple,O3,0.6420425310101608
subj03,V1,naturalistic_to_simple,O4,0.7508488956770654
subj03,V2,simple_to_naturalistic,O0,0.5451027899980545
subj03,V2,simple_to_naturalistic,O1,0.5559859375158945
subj03,V2,simple_to_naturalistic,O2,0.5061292499303818
subj03,V2,simple_to_naturalistic,O3,0.42353877902570075
subj03,V2,simple_to_naturalistic,O4,0.4236834248097226
subj03,V2,naturalistic_to_simple,O0,0.5327299187580744
subj03,V2,naturalistic_to_simple,O1,0.5724723438421885
subj03,V2,naturalistic_to_simple,O2,0.5330207248528799
subj03,V2,naturalistic_to_simple,O3,0.5958716177119162
subj03,V2,naturalistic_to_simple,O4,0.5283445120442435
subj03,V3,simple_to_naturalistic,O0,0.33200813209017116
subj03,V3,simple_to_naturalistic,O1,0.21570041216909885
subj03,V3,simple_to_naturalistic,O2,0.331450629979372
subj03,V3,simple_to_naturalistic,O3,0.1486452473677464
subj03,V3,simple_to_naturalistic,O4,0.046325862785482626
subj03,V3,naturalistic_to_simple,O0,0.7832778692245483
subj03,V3,naturalistic_to_simple,O1,0.7910570402940115
subj03,V3,naturalistic_to_simple,O2,0.7835617661476135
subj03,V3,naturalistic_to_simple,O3,0.7841313166893843
subj03,V3,naturalistic_to_simple,O4,0.7833635449167256
subj03,hV4,simple_to_naturalistic,O0,0.41712982455889386
subj03,hV4,simple_to_naturalistic,O1,0.4159635528922081
subj03,hV4,simple_to_naturalistic,O2,0.3212002255022526
subj03,hV4,simple_to_naturalistic,O3,0.40038690715035896
subj03,hV4,simple_to_naturalistic,O4,0.3879932960320354
subj03,hV4,naturalistic_to_simple,O0,0.2638937632242839
subj03,hV4,naturalistic_to_simple,O1,0.28202613691488904
subj03,hV4,naturalistic_to_simple,O2,0.26705709223945934
subj03,hV4,naturalistic_to_simple,O3,0.6105702538277276
subj03,hV4,naturalistic_to_simple,O4,0.37670318392178564
subj03,ventral,simple_to_naturalistic,O0,0.44935349623362225
subj03,ventral,simple_to_naturalistic,O1,0.43708279728889465
subj03,ventral,simple_to_naturalistic,O2,0.44915343821048737
subj03,ventral,simple_to_naturalistic,O3,0.21659517780714968
subj03,ventral,simple_to_naturalistic,O4,0.394946447401663
subj03,ventral,naturalistic_to_simple,O0,0.7114390234152476
subj03,ventral,naturalistic_to_simple,O1,0.7226100067297617
subj03,ventral,naturalistic_to_simple,O2,0.7099667886892954
subj03,ventral,naturalistic_to_simple,O3,0.7118448603568653
subj03,ventral,naturalistic_to_simple,O4,0.7054775502899577
subj03,lateral,simple_to_naturalistic,O0,0.5124500393867493
subj03,lateral,simple_to_naturalistic,O1,0.48505226771036786
subj03,lateral,simple_to_naturalistic,O2,0.5054161747296652
subj03,lateral,simple_to_naturalistic,O3,0.3190293728798201
subj03,lateral,simple_to_naturalistic,O4,0.3768056273476909
subj03,lateral,naturalistic_to_simple,O0,0.3177535819510619
subj03,lateral,naturalistic_to_simple,O1,0.31918289760748547
subj03,lateral,naturalistic_to_simple,O2,0.31788403665026027
subj03,lateral,naturalistic_to_simple,O3,0.4374799511999288
subj03,lateral,naturalistic_to_simple,O4,0.32061890926203196
subj03,parietal,simple_to_naturalistic,O0,0.21816706284880638
subj03,parietal,simple_to_naturalistic,O1,0.09653631473580997
subj03,parietal,simple_to_naturalistic,O2,0.21799451236923537
subj03,parietal,simple_to_naturalistic,O3,-0.030877538208495914
subj03,parietal,simple_to_naturalistic,O4,0.2057849478678212
subj03,parietal,naturalistic_to_simple,O0,0.6448561052481333
subj03,parietal,naturalistic_to_simple,O1,0.6797298888365427
subj03,parietal,naturalistic_to_simple,O2,0.6448482473691305
subj03,parietal,naturalistic_to_simple,O3,0.678323071941285
subj03,parietal,naturalistic_to_simple,O4,0.6320903049386203
subj04,V1,simple_to_naturalistic,O0,0.03328735878070196
subj04,V1,simple_to_naturalistic,O1,0.05160569027066231
subj04,V1,simple_to_naturalistic,O2,0.03342978656291962
subj04,V1,simple_to_naturalistic,O3,0.21947189731510117
subj04,V1,simple_to_naturalistic,O4,0.4189658250442547
subj04,V1,naturalistic_to_simple,O0,0.8886552453041077
subj04,V1,naturalistic_to_simple,O1,0.8676992158095042
subj04,V1,naturalistic_to_simple,O2,0.8903453151384989
subj04,V1,naturalistic_to_simple,O3,0.7880966785086204
subj04,V1,naturalistic_to_simple,O4,0.8941387822735992
subj04,V2,simple_to_naturalistic,O0,0.3817627305785815
subj04,V2,simple_to_naturalistic,O1,0.39083108057578403
subj04,V2,simple_to_naturalistic,O2,0.3817322800556819
subj04,V2,simple_to_naturalistic,O3,0.32040480377735553
subj04,V2,simple_to_naturalistic,O4,0.3820267348045043
subj04,V2,naturalistic_to_simple,O0,0.8444119791189829
subj04,V2,naturalistic_to_simple,O1,0.8355580965677897
subj04,V2,naturalistic_to_simple,O2,0.8444183170795441
