participant,ROI,outer_fold,identity,family,residual_norm
subj02,hV4,0,A:E,simple,0.9376973568754529
subj02,hV4,0,B:B,naturalistic,1.035631585011558
subj02,hV4,1,A:H,simple,0.3112820884758459
subj02,hV4,1,B:C,naturalistic,1.8629679751095753
subj02,hV4,2,A:L,simple,0.331659141674495
subj02,hV4,2,B:D,naturalistic,0.7963275123349524
subj02,hV4,3,A:P,simple,1.4198340112962502
subj02,hV4,3,B:K,naturalistic,0.920297006423167
subj02,hV4,4,A:R,simple,0.5065909206608711
subj02,hV4,4,B:T,naturalistic,0.5457959483518212
subj02,hV4,5,A:V,simple,0.7390673093147664
subj02,hV4,5,B:W,naturalistic,0.4151119953476702
subj02,ventral,0,A:E,simple,6.8703227938990885
subj02,ventral,0,B:B,naturalistic,6.691920833511592
subj02,ventral,1,A:H,simple,6.087267474126243
subj02,ventral,1,B:C,naturalistic,11.232712216701712
subj02,ventral,2,A:L,simple,5.7480314188227215
subj02,ventral,2,B:D,naturalistic,11.513348702452008
subj02,ventral,3,A:P,simple,6.691651844249038
subj02,ventral,3,B:K,naturalistic,5.810970905687031
subj02,ventral,4,A:R,simple,6.966501169714853
subj02,ventral,4,B:T,naturalistic,7.701826118487202
subj02,ventral,5,A:V,simple,7.144495957967502
subj02,ventral,5,B:W,naturalistic,6.723499694857965
subj02,lateral,0,A:E,simple,5.009546522378359
subj02,lateral,0,B:B,naturalistic,6.214499603613841
subj02,lateral,1,A:H,simple,6.028186453793507
subj02,lateral,1,B:C,naturalistic,9.970339577684532
subj02,lateral,2,A:L,simple,5.137854409069317
subj02,lateral,2,B:D,naturalistic,6.922375799181562
subj02,lateral,3,A:P,simple,5.5962000753365695
subj02,lateral,3,B:K,naturalistic,5.988184645115521
subj02,lateral,4,A:R,simple,8.674832276836009
subj02,lateral,4,B:T,naturalistic,8.36738068617278
subj02,lateral,5,A:V,simple,8.305331702921142
subj02,lateral,5,B:W,naturalistic,8.759011261116722
subj02,parietal,0,A:E,simple,4.581629746973343
subj02,parietal,0,B:B,naturalistic,3.727751046161282
subj02,parietal,1,A:H,simple,3.318954358919143
subj02,parietal,1,B:C,naturalistic,5.636136534824109
subj02,parietal,2,A:L,simple,3.3636858032777193
subj02,parietal,2,B:D,naturalistic,6.625232123048517
subj02,parietal,3,A:P,simple,5.749397145125753
subj02,parietal,3,B:K,naturalistic,4.47024066553466
subj02,parietal,4,A:R,simple,3.982941613844659
subj02,parietal,4,B:T,naturalistic,3.515618070458707
subj02,parietal,5,A:V,simple,6.423883756262895
subj02,parietal,5,B:W,naturalistic,2.9307292011709
subj03,V1,0,A:E,simple,1.8898777708727745
subj03,V1,0,B:B,naturalistic,0.60922782699564
subj03,V1,1,A:H,simple,0.7528529833464381
subj03,V1,1,B:C,naturalistic,1.0613437519033233
subj03,V1,2,A:L,simple,0.6932024595284129
subj03,V1,2,B:D,naturalistic,2.025813757264398
subj03,V1,3,A:P,simple,0.9973675556902393
subj03,V1,3,B:K,naturalistic,2.3557262615829395
subj03,V1,4,A:R,simple,0.7740887606875313
subj03,V1,4,B:T,naturalistic,3.0752773792457813
subj03,V1,5,A:V,simple,0.942839506686524
subj03,V1,5,B:W,naturalistic,0.9572070817647097
subj03,V2,0,A:E,simple,2.0155317067679484
subj03,V2,0,B:B,naturalistic,0.8931038020334805
subj03,V2,1,A:H,simple,1.6344652533429118
subj03,V2,1,B:C,naturalistic,1.0080914481391505
subj03,V2,2,A:L,simple,1.635037786496549
subj03,V2,2,B:D,naturalistic,1.6891714502829902
subj03,V2,3,A:P,simple,1.5605822018226134
subj03,V2,3,B:K,naturalistic,1.895481423033566
subj03,V2,4,A:R,simple,2.32472178747231
subj03,V2,4,B:T,naturalistic,1.3008734597061251
subj03,V2,5,A:V,simple,1.0912673834979878
subj03,V2,5,B:W,naturalistic,0.9547221073070596
subj03,V3,0,A:E,simple,2.7391954697982457
subj03,V3,0,B:B,naturalistic,1.3841435852577484
subj03,V3,1,A:H,simple,2.0148119199688392
subj03,V3,1,B:C,naturalistic,1.280077360062861
subj03,V3,2,A:L,simple,2.225554516504596
subj03,V3,2,B:D,naturalistic,3.0529300658018794
subj03,V3,3,A:P,simple,2.6316563034538754
subj03,V3,3,B:K,naturalistic,1.811944848876537
subj03,V3,4,A:R,simple,1.4793461749965395
subj03,V3,4,B:T,naturalistic,2.534131075398666
subj03,V3,5,A:V,simple,1.8738244768583352
subj03,V3,5,B:W,naturalistic,1.038031213840824
subj03,hV4,0,A:E,simple,1.958396670625919
subj03,hV4,0,B:B,naturalistic,1.150045775678292
subj03,hV4,1,A:H,simple,0.7862809199216804
subj03,hV4,1,B:C,naturalistic,1.161093351929614
subj03,hV4,2,A:L,simple,1.9752372055928342
subj03,hV4,2,B:D,naturalistic,1.471816612557157
subj03,hV4,3,A:P,simple,2.022872847758694
subj03,hV4,3,B:K,naturalistic,1.7302671210719012
subj03,hV4,4,A:R,simple,1.1183118203586107
subj03,hV4,4,B:T,naturalistic,3.5493506178194556
subj03,hV4,5,A:V,simple,0.6663682940251057
subj03,hV4,5,B:W,naturalistic,1.2545990571577308
subj03,ventral,0,A:E,simple,7.320982161361627
subj03,ventral,0,B:B,naturalistic,8.710749485880127
subj03,ventral,1,A:H,simple,6.862051299316534
subj03,ventral,1,B:C,naturalistic,11.708932505075849
subj03,ventral,2,A:L,simple,7.8190772445802805
subj03,ventral,2,B:D,naturalistic,9.507812301558483
subj03,ventral,3,A:P,simple,7.0253909726622386
