participant,ROI,outer_fold,identity,family,residual_norm
subj07,V2,3,B:K,naturalistic,2.162184931663626
subj07,V2,4,A:R,simple,3.2816228064548767
subj07,V2,4,B:T,naturalistic,2.0910020007302954
subj07,V2,5,A:V,simple,2.225714369500275
subj07,V2,5,B:W,naturalistic,2.973794741304296
subj07,V3,0,A:E,simple,2.3898864455187816
subj07,V3,0,B:B,naturalistic,1.0811854958257372
subj07,V3,1,A:H,simple,1.619939259786191
subj07,V3,1,B:C,naturalistic,1.9468625383275997
subj07,V3,2,A:L,simple,1.796079495198774
subj07,V3,2,B:D,naturalistic,0.9675329994212933
subj07,V3,3,A:P,simple,1.1509055965207027
subj07,V3,3,B:K,naturalistic,0.644447483700254
subj07,V3,4,A:R,simple,4.193083137676709
subj07,V3,4,B:T,naturalistic,1.2407174112962622
subj07,V3,5,A:V,simple,1.5845014729343951
subj07,V3,5,B:W,naturalistic,2.3433551804968724
subj07,hV4,0,A:E,simple,1.8214730089572224
subj07,hV4,0,B:B,naturalistic,1.0311590728787108
subj07,hV4,1,A:H,simple,1.7767279381913363
subj07,hV4,1,B:C,naturalistic,1.2143218384074799
subj07,hV4,2,A:L,simple,1.3040644867028348
subj07,hV4,2,B:D,naturalistic,1.4477296963466313
subj07,hV4,3,A:P,simple,0.8171497481201767
subj07,hV4,3,B:K,naturalistic,0.7338146896034073
subj07,hV4,4,A:R,simple,4.5468049846085234
subj07,hV4,4,B:T,naturalistic,0.7498136911309332
subj07,hV4,5,A:V,simple,1.7778577359109269
subj07,hV4,5,B:W,naturalistic,2.6404439586133197
subj07,ventral,0,A:E,simple,7.707183219387514
subj07,ventral,0,B:B,naturalistic,6.885691459866013
subj07,ventral,1,A:H,simple,6.656956136045382
subj07,ventral,1,B:C,naturalistic,10.073739255283575
subj07,ventral,2,A:L,simple,7.689323159293953
subj07,ventral,2,B:D,naturalistic,9.343414118044437
subj07,ventral,3,A:P,simple,6.383842219723168
subj07,ventral,3,B:K,naturalistic,8.384562905701667
subj07,ventral,4,A:R,simple,9.106869099907112
subj07,ventral,4,B:T,naturalistic,6.718383476185241
subj07,ventral,5,A:V,simple,11.431615760254868
subj07,ventral,5,B:W,naturalistic,9.784726886555354
subj07,lateral,0,A:E,simple,8.991774317897436
subj07,lateral,0,B:B,naturalistic,7.633541695960123
subj07,lateral,1,A:H,simple,7.448040397481758
subj07,lateral,1,B:C,naturalistic,7.641516549435643
subj07,lateral,2,A:L,simple,9.711838183552349
subj07,lateral,2,B:D,naturalistic,9.399853732707006
subj07,lateral,3,A:P,simple,6.8687364600733165
subj07,lateral,3,B:K,naturalistic,8.472849230759666
subj07,lateral,4,A:R,simple,9.50600263575233
subj07,lateral,4,B:T,naturalistic,7.377219114946324
subj07,lateral,5,A:V,simple,10.52085973404182
subj07,lateral,5,B:W,naturalistic,12.558628262635795
subj07,parietal,0,A:E,simple,7.956614568452708
subj07,parietal,0,B:B,naturalistic,6.5338641418185786
subj07,parietal,1,A:H,simple,4.802644137943038
subj07,parietal,1,B:C,naturalistic,7.102540447798464
subj07,parietal,2,A:L,simple,4.4775202966427985
subj07,parietal,2,B:D,naturalistic,5.01839411585252
subj07,parietal,3,A:P,simple,4.096381321245739
subj07,parietal,3,B:K,naturalistic,6.638855474167907
subj07,parietal,4,A:R,simple,10.609259803327113
subj07,parietal,4,B:T,naturalistic,3.7774866918231345
subj07,parietal,5,A:V,simple,7.290729630461261
subj07,parietal,5,B:W,naturalistic,5.843217797445779
subj08,V1,0,A:E,simple,1.7787439648776553
subj08,V1,0,B:B,naturalistic,2.420878238936593
subj08,V1,1,A:H,simple,3.953548715725211
subj08,V1,1,B:C,naturalistic,2.545274142629015
subj08,V1,2,A:L,simple,2.4867794499564786
subj08,V1,2,B:D,naturalistic,3.303207370594688
subj08,V1,3,A:P,simple,2.394633476399419
subj08,V1,3,B:K,naturalistic,3.621447098399679
subj08,V1,4,A:R,simple,2.32837012073713
subj08,V1,4,B:T,naturalistic,4.917853240359287
subj08,V1,5,A:V,simple,1.9993370834324464
subj08,V1,5,B:W,naturalistic,5.062318710686942
subj08,V2,0,A:E,simple,2.6074618598669965
subj08,V2,0,B:B,naturalistic,3.106465134606379
subj08,V2,1,A:H,simple,3.677927198342001
subj08,V2,1,B:C,naturalistic,3.475712942762821
subj08,V2,2,A:L,simple,4.071316184448365
subj08,V2,2,B:D,naturalistic,4.582776721578069
subj08,V2,3,A:P,simple,3.528452059947124
subj08,V2,3,B:K,naturalistic,3.40326229971081
subj08,V2,4,A:R,simple,2.1792652999271342
subj08,V2,4,B:T,naturalistic,5.030938021702529
subj08,V2,5,A:V,simple,3.8342075484059284
subj08,V2,5,B:W,naturalistic,4.979500793053622
subj08,V3,0,A:E,simple,3.134535335168588
subj08,V3,0,B:B,naturalistic,1.994631317279573
subj08,V3,1,A:H,simple,3.2778056478252107
subj08,V3,1,B:C,naturalistic,2.515223703591051
subj08,V3,2,A:L,simple,2.194364130282142
subj08,V3,2,B:D,naturalistic,4.278374165809721
subj08,V3,3,A:P,simple,1.3994189199495832
subj08,V3,3,B:K,naturalistic,5.6577983176823805
subj08,V3,4,A:R,simple,1.9640979928620061
subj08,V3,4,B:T,naturalistic,2.452512228792981
subj08,V3,5,A:V,simple,1.9417802267017246
subj08,V3,5,B:W,naturalistic,3.8288145967231335
subj08,hV4,0,A:E,simple,2.5917659504917436
subj08,hV4,0,B:B,naturalistic,2.070070382994041
subj08,hV4,1,A:H,simple,5.991221459083945
subj08,hV4,1,B:C,naturalistic,2.2635683824974793
subj08,hV4,2,A:L,simple,1.90872209702385
subj08,hV4,2,B:D,naturalistic,1.4938424094702372
subj08,hV4,3,A:P,simple,1.6153179467239511
subj08,hV4,3,B:K,naturalistic,1.6487031476233391
subj08,hV4,4,A:R,simple,1.3345122950497978
subj08,hV4,4,B:T,naturalistic,2.476708722962558
subj08,hV4,5,A:V,simple,2.592242811208638
subj08,hV4,5,B:W,naturalistic,5.314785254571226
subj08,ventral,0,A:E,simple,20.745345635762384
subj08,ventral,0,B:B,naturalistic,21.167157288972184
subj08,ventral,1,A:H,simple,18.492044007612463
subj08,ventral,1,B:C,naturalistic,17.57656364291448
subj08,ventral,2,A:L,simple,19.80280969579288
subj08,ventral,2,B:D,naturalistic,20.395435268987246
subj08,ventral,3,A:P,simple,18.046401743955286
subj08,ventral,3,B:K,naturalistic,16.785100977516326
subj08,ventral,4,A:R,simple,13.736440857340412
subj08,ventral,4,B:T,naturalistic,25.231130709873803
subj08,ventral,5,A:V,simple,17.299013529003236
subj08,ventral,5,B:W,naturalistic,31.375202129626896
subj08,lateral,0,A:E,simple,19.43625449443232
subj08,lateral,0,B:B,naturalistic,17.133651625515167
subj08,lateral,1,A:H,simple,21.047189851499223
subj08,lateral,1,B:C,naturalistic,13.903458886195503
subj08,lateral,2,A:L,simple,15.34621387205881
subj08,lateral,2,B:D,naturalistic,27.727587588539354
subj08,lateral,3,A:P,simple,17.702875818386882
subj08,lateral,3,B:K,naturalistic,13.719209240098463
subj08,lateral,4,A:R,simple,16.367377019607883
subj08,lateral,4,B:T,naturalistic,17.722195703394483
subj08,lateral,5,A:V,simple,17.8577187886714
subj08,lateral,5,B:W,naturalistic,15.860316402875217
subj08,parietal,0,A:E,simple,13.99403569458238
subj08,parietal,0,B:B,naturalistic,12.727814499923136
subj08,parietal,1,A:H,simple,10.468442900717374
subj08,parietal,1,B:C,naturalistic,11.96876932055654
subj08,parietal,2,A:L,simple,11.21437477482022
subj08,parietal,2,B:D,naturalistic,15.919365516876937
subj08,parietal,3,A:P,simple,10.245882147619858
subj08,parietal,3,B:K,naturalistic,13.732215705183988
subj08,parietal,4,A:R,simple,6.647729566733632
subj08,parietal,4,B:T,naturalistic,11.830235260788378
subj08,parietal,5,A:V,simple,10.169958856323642
subj08,parietal,5,B:W,naturalistic,11.836636414645755
