query_nsd_id,anchor_nsd_id,gt_rank,bucket,controller_route,retrieval_pixcorr,retrieval_ssim,retrieval_psnr,retrieval_lpips,retrieval_clip_image_similarity,diffusion_pixcorr,diffusion_ssim,diffusion_psnr,diffusion_lpips,diffusion_clip_image_similarity,delta_pixcorr,delta_ssim,delta_psnr,delta_lpips,delta_clip_image_similarity
11932,11932,1,perfect,identity_pass,1.0,1.0,inf,0.0,0.9999999403953552,1.0,1.0,inf,0.0,0.9999999403953552,0.0,0.0,nan,0.0,0.0
20633,20633,1,perfect,identity_pass,1.0,1.0,inf,0.0,1.0000001192092896,1.0,1.0,inf,0.0,1.0000001192092896,0.0,0.0,nan,0.0,0.0
51745,51745,1,perfect,identity_pass,1.0,1.0,inf,0.0,1.0,1.0,1.0,inf,0.0,1.0,0.0,0.0,nan,0.0,0.0
60456,60456,1,perfect,identity_pass,1.0,1.0,inf,0.0,1.0,1.0,1.0,inf,0.0,1.0,0.0,0.0,nan,0.0,0.0
42851,44971,2,good,low_strength_refine,-0.08292600283684483,0.0991993322968483,9.163089918258931,0.7862415313720703,0.6171222925186157,-0.08169322885343143,0.10632345825433731,9.251523195614823,0.7850642204284668,0.6327456831932068,0.0012327739834133988,0.007124125957489014,0.08843327735589135,-0.0011773109436035156,0.015623390674591064
57822,16252,2,good,low_strength_refine,0.21462947480698577,0.03316771984100342,10.389136748911374,0.691475510597229,0.601133406162262,0.2309896429901669,0.044406089931726456,10.57810388761974,0.6678436398506165,0.5930619835853577,0.016360168183181117,0.011238370090723038,0.18896713870836557,-0.02363187074661255,-0.008071422576904297
59994,16252,2,good,low_strength_refine,0.0065890580561603265,0.025825297459959984,9.159115117433489,0.733511209487915,0.6230560541152954,0.006206436599443629,0.03278116509318352,9.266303049699975,0.7186463475227356,0.6392555236816406,-0.0003826214567166971,0.006955867633223534,0.10718793226648593,-0.014864861965179443,0.016199469566345215
62365,63825,5,good,low_strength_refine,0.5351425605238415,0.2949581444263458,11.749784056303398,0.6539124250411987,0.5740731358528137,0.5420089808220387,0.30536749958992004,11.82807598799963,0.667044997215271,0.5471081733703613,0.006866420298197284,0.010409355163574219,0.07829193169623316,0.013132572174072266,-0.026964962482452393
34850,28689,14,near_good,guided_refine,0.10204663772381185,0.11198500543832779,9.43911343578807,0.729961097240448,0.5861790180206299,0.10116592987486434,0.11833427101373672,9.418870605015536,0.7268004417419434,0.5925367474555969,-0.0008807078489475179,0.0063492655754089355,-0.020242830772533082,-0.0031606554985046387,0.006357729434967041
51051,57650,14,near_good,guided_refine,-0.1391484374959008,0.3391517698764801,10.128893798735595,0.7637757658958435,0.8404288291931152,-0.14282106000330594,0.3523830473423004,10.071588729263203,0.7699337005615234,0.866432785987854,-0.003672622507405132,0.013231277465820312,-0.05730506947239178,0.006157934665679932,0.02600395679473877
51521,19181,7,near_good,guided_refine,0.17272597461113345,0.06015380099415779,8.774188474042129,0.6971492171287537,0.7090860605239868,0.17792558535885894,0.06496463716030121,8.838715496071694,0.6873679161071777,0.712388277053833,0.005199610747725486,0.004810836166143417,0.06452702202956573,-0.009781301021575928,0.0033022165298461914
64880,27972,11,near_good,guided_refine,-0.10097541061194228,0.08191994577646255,5.745987523437512,0.7383743524551392,0.5194072723388672,-0.10063992877094174,0.08536561578512192,5.810494499678942,0.7379897832870483,0.5025759339332581,0.0003354818410005317,0.003445670008659363,0.06450697624142965,-0.0003845691680908203,-0.01683133840560913
7654,13312,37,hard,exploratory_refine,-0.04680268196968429,0.06705588847398758,7.330097981086547,0.6975854635238647,0.719654381275177,-0.04926285173840406,0.06887152791023254,7.306964716312957,0.6941747069358826,0.7045004367828369,-0.0024601697687197735,0.0018156394362449646,-0.023133264773590234,-0.0034107565879821777,-0.015153944492340088
26720,10600,53,hard,exploratory_refine,0.32731278316674406,0.22252416610717773,10.262580067796144,0.6480695009231567,0.7074464559555054,0.3285576476656641,0.23484010994434357,10.255126387779098,0.6444385051727295,0.7132970094680786,0.0012448644989200286,0.012315943837165833,-0.007453680017045272,-0.003630995750427246,0.005850553512573242
32910,52652,16,hard,exploratory_refine,0.18478056028399698,0.12400708347558975,10.166638215536931,0.7586391568183899,0.7160112857818604,0.18799795754015977,0.12992464005947113,10.152618898712191,0.7463886141777039,0.7136732339859009,0.003217397256162796,0.005917556583881378,-0.014019316824740002,-0.012250542640686035,-0.0023380517959594727
57553,26292,16,hard,exploratory_refine,-0.12873957165489516,0.27154549956321716,10.270874177687839,0.8301911950111389,0.7341164946556091,-0.10777636565399644,0.29176977276802063,10.379027423613502,0.8340549468994141,0.741365909576416,0.020963206000898724,0.020224273204803467,0.10815324592566355,0.0038637518882751465,0.007249414920806885
