subject,roi,E_STATE,DELTA_LL,occupancy_med,degenerate_folds,state_sep_med,cross_id_min_distinct_med
subj01,ventral,0.5282889499589326,-0.14360141137350974,0.06944444444444445,47,2.1150364979809915,4.5
subj02,ventral,0.38162245987043025,-0.05137184016244974,0.2361111111111111,25,1.9896388879343103,9.0
subj03,ventral,0.8541237842108074,-0.1376801580415933,0.32638888888888884,17,2.5709206215307217,9.0
subj04,ventral,0.3978135001677123,-0.14130367656795778,0.14583333333333331,37,2.642736999528923,6.5
subj05,ventral,0.8193940477100137,-0.055392622221144876,0.11805555555555558,41,1.7534426642821082,5.0
subj06,ventral,0.03730005055322742,-0.007392597144610757,0.3333333333333333,6,2.3591886760664016,9.0
subj07,ventral,0.5016018038614498,-0.1502921502558019,0.35416666666666663,20,2.744333020002143,9.0
subj08,ventral,0.6110345384856359,-0.08831825845833084,0.2777777777777778,9,2.399314866768192,9.0
subj01,lateral,0.6675129131464986,-0.09722838694516153,0.13888888888888887,49,0.7215082723732573,6.0
subj02,lateral,0.7801306829635087,-0.07330234313402725,0.18055555555555555,36,2.2899862356777536,8.0
subj03,lateral,0.33269177466148553,-0.06700961689101273,0.24305555555555558,19,3.115300874378514,9.0
subj04,lateral,0.3222980902766398,-0.10815329731195716,0.09722222222222221,44,1.3585697645852877,5.0
subj05,lateral,0.7897382516949841,-0.05019035937220151,0.10416666666666666,50,2.7140904164361017,4.0
subj06,lateral,0.5102659110625444,-0.15849913523829207,0.1736111111111111,36,2.6091958738925465,7.0
subj07,lateral,1.0260099770440576,-0.10315284241303753,0.09722222222222221,56,1.5301145976146022,5.0
subj08,lateral,0.6274928106674635,-0.10701275147880739,0.125,42,2.225323443153433,7.0
