query_nsd_id,anchor_nsd_id,gt_rank,bucket,confidence,strength,guidance_scale,steps,n_candidates,retrieval_pixcorr,retrieval_ssim,retrieval_psnr,retrieval_lpips,retrieval_clip_image_similarity,retrieval_alexnet2,retrieval_alexnet5,diffusion_pixcorr,diffusion_ssim,diffusion_psnr,diffusion_lpips,diffusion_clip_image_similarity,diffusion_alexnet2,diffusion_alexnet5,delta_pixcorr,delta_ssim,delta_psnr,delta_lpips,delta_clip_image_similarity,delta_alexnet2,delta_alexnet5
11932,11932,1,perfect,0.5597931146621704,0.0,0.0,0,0,1.0,1.0,inf,0.0,1.0000001192092896,0.9999998807907104,0.9999998807907104,1.0,1.0,inf,0.0,1.0000001192092896,0.9999998807907104,0.9999998807907104,0.0,0.0,nan,0.0,0.0,0.0,0.0
20633,20633,1,perfect,0.2177411913871765,0.0,0.0,0,0,0.9999999999999998,1.0,inf,0.0,1.0000001192092896,1.0000001192092896,1.0,0.9999999999999998,1.0,inf,0.0,1.0000001192092896,1.0000001192092896,1.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
51745,51745,1,perfect,0.36160582304000854,0.0,0.0,0,0,1.0,1.0,inf,0.0,1.0000001192092896,1.0,0.9999998807907104,1.0,1.0,inf,0.0,1.0000001192092896,1.0,0.9999998807907104,0.0,0.0,nan,0.0,0.0,0.0,0.0
60456,60456,1,perfect,0.27394336462020874,0.0,0.0,0,0,1.0,1.0,inf,0.0,1.0,0.9999999403953552,1.0,1.0,1.0,inf,0.0,1.0,0.9999999403953552,1.0,0.0,0.0,nan,0.0,0.0,0.0,0.0
2950,2990,5,good,0.06806084513664246,0.2796,3.31,47,16,0.1030221369990446,0.07146499305963516,8.082784464347375,0.6882621049880981,0.5974689722061157,0.36307814717292786,0.3071041405200958,0.0997040858699457,0.0743161216378212,8.165652765392576,0.6926790475845337,0.6128475666046143,0.36218324303627014,0.3130948543548584,-0.0033180511290989007,0.002851128578186035,0.08286830104520071,0.004416942596435547,0.015378594398498535,-0.0008949041366577148,0.005990713834762573
2990,56948,2,good,0.13034456968307495,0.2609,3.59,46,16,0.12250081460368731,0.08027184754610062,8.43419664170003,0.6750996708869934,0.6656261086463928,0.36818167567253113,0.28567230701446533,0.12221784537004038,0.08444055169820786,8.532981564037042,0.66782546043396,0.6807562112808228,0.37020570039749146,0.2943846583366394,-0.00028296923364692916,0.004168704152107239,0.0987849223370123,-0.007274210453033447,0.015130102634429932,0.002024024724960327,0.008712351322174072
3842,64004,2,good,0.026592493057250977,0.292,3.12,49,16,0.08451427226094413,0.05508783459663391,11.462299994601363,0.714398980140686,0.6445868611335754,0.39070093631744385,0.2547166049480438,0.08233139987603265,0.065851129591465,11.562449514174203,0.7308247089385986,0.6611223816871643,0.3898944556713104,0.2602187395095825,-0.00218287238491148,0.010763294994831085,0.1001495195728399,0.016425728797912598,0.016535520553588867,-0.0008064806461334229,0.005502134561538696
3847,70360,3,good,0.005967617034912109,0.2982,3.03,49,16,0.3378473404902124,0.43551620841026306,14.24655192604386,0.7036436796188354,0.8159024715423584,0.5976141691207886,0.4669109880924225,0.3363201002723747,0.4663420617580414,14.271158425235475,0.7041455507278442,0.8209878206253052,0.6069629788398743,0.4640668034553528,-0.0015272402178377331,0.03082585334777832,0.024606499191614617,0.0005018711090087891,0.005085349082946777,0.009348809719085693,-0.002844184637069702
3951,22809,2,good,0.03401017189025879,0.2898,3.15,48,16,0.20287927947738466,0.3514726459980011,11.446661154195485,0.5584187507629395,0.6863566637039185,0.5119805335998535,0.4076043963432312,0.19972712554916094,0.3624444305896759,11.453572379447824,0.5545433163642883,0.7488394975662231,0.5047177076339722,0.4027462899684906,-0.003152153928223711,0.010971784591674805,0.006911225252338227,-0.003875434398651123,0.06248283386230469,-0.007262825965881348,-0.004858106374740601
4690,51051,5,good,0.02913069725036621,0.2913,3.13,49,16,0.21972962220769351,0.3262721300125122,12.979203062364881,0.696300208568573,0.853914737701416,0.5123883485794067,0.416073739528656,0.21976422418030767,0.33945432305336,13.0520020009887,0.7007694840431213,0.8392424583435059,0.5059780478477478,0.42063647508621216,3.46019726141511e-05,0.013182193040847778,0.07279893862381925,0.00446927547454834,-0.014672279357910156,-0.0064103007316589355,0.004562735557556152
4768,44144,2,good,0.0658687949180603,0.2802,3.3,48,16,-0.10237574034121678,0.04124513640999794,6.891274053786542,0.664321780204773,0.5274589657783508,0.35709646344184875,0.28703588247299194,-0.10861141424422634,0.04678083956241608,6.940025877657014,0.6564306020736694,0.5450440049171448,0.3572337329387665,0.29839518666267395,-0.006235673903009553,0.005535703152418137,0.0487518238704725,-0.007891178131103516,0.017585039138793945,0.0001372694969177246,0.011359304189682007
5034,43445,2,good,0.030071020126342773,0.291,3.14,49,16,-0.07950041448769783,0.3986562192440033,10.074327995462282,0.7734888792037964,0.5997893214225769,0.4370867609977722,0.34772923588752747,-0.07899399603150062,0.4459897577762604,10.156050519227875,0.77395099401474,0.6211299300193787,0.4497468173503876,0.3509625792503357,0.0005064184561972135,0.04733353853225708,0.08172252376559364,0.0004621148109436035,0.021340608596801758,0.012660056352615356,0.0032333433628082275
5502,30601,2,good,0.08821016550064087,0.2735,3.4,47,16,0.31106983587123477,0.25461500883102417,11.263750273714887,0.6504116654396057,0.6807430982589722,0.5151757597923279,0.4583907425403595,0.3103778345027603,0.2686319351196289,11.362448644726214,0.6624065041542053,0.693383514881134,0.5137984752655029,0.44635623693466187,-0.0006920013684744708,0.014016926288604736,0.09869837101132717,0.01199483871459961,0.012640416622161865,-0.0013772845268249512,-0.012034505605697632
5878,11689,2,good,0.03481340408325195,0.2896,3.16,48,16,-0.3884345001810331,0.19391362369060516,6.068858921225192,0.7312296032905579,0.6832826733589172,0.4165114462375641,0.2961009740829468,-0.3936030221385769,0.20525257289409637,6.077756607515861,0.7162060141563416,0.693588376045227,0.4193129539489746,0.2991829514503479,-0.0051685219575438035,0.011338949203491211,0.008897686290668894,-0.015023589134216309,0.010305702686309814,0.0028015077114105225,0.003081977367401123
6524,16063,2,good,0.07596081495285034,0.2772,3.34,47,16,0.18891440168259122,0.15305529534816742,11.534750731963381,0.6948046684265137,0.7718008756637573,0.562458872795105,0.3604431450366974,0.1886635472087175,0.17563802003860474,11.62449696810704,0.6764540672302246,0.7676142454147339,0.5605807900428772,0.3570316433906555,-0.00025085447387371285,0.022582724690437317,0.08974623614365917,-0.018350601196289062,-0.0041866302490234375,-0.0018780827522277832,-0.00341150164604187
7207,27275,2,good,0.06721383333206177,0.2798,3.3,47,16,0.007348450002476137,0.031912680715322495,7.161431060927555,0.6632962822914124,0.8093457818031311,0.42988982796669006,0.23119357228279114,0.010497561849558974,0.034282002598047256,7.215764049417412,0.6756858229637146,0.8262012600898743,0.4225353002548218,0.21254152059555054,0.0031491118470828375,0.002369321882724762,0.05433298848985668,0.012389540672302246,0.016855478286743164,-0.007354527711868286,-0.0186520516872406
9434,45750,2,good,0.010338544845581055,0.2969,3.05,49,16,0.21015673872704982,0.21093350648880005,9.215810981255286,0.6625502705574036,0.828032910823822,0.5416354537010193,0.5393879413604736,0.19909231600280514,0.2120201587677002,9.178964667581596,0.6610456705093384,0.843159556388855,0.5423263311386108,0.5525776147842407,-0.011064422724244682,0.0010866522789001465,-0.03684631367369029,-0.0015046000480651855,0.015126645565032959,0.0006908774375915527,0.01318967342376709
9804,71241,2,good,0.015125274658203125,0.2955,3.07,49,16,0.1760858900114345,0.19621022045612335,8.721887358803162,0.713427722454071,0.7875710725784302,0.42993804812431335,0.469664067029953,0.176037521731587,0.20429448783397675,8.749157842106264,0.7115400433540344,0.7743830680847168,0.42974984645843506,0.47004812955856323,-4.836827984749936e-05,0.008084267377853394,0.02727048330310211,-0.001887679100036621,-0.013188004493713379,-0.0001882016658782959,0.0003840625286102295
9917,28024,2,good,0.0714489221572876,0.2786,3.32,47,16,0.3492947917921104,0.4071779251098633,11.717637726623645,0.5830578804016113,0.7848688364028931,0.6205644011497498,0.5027912855148315,0.35623134107288773,0.42317190766334534,11.773823585816883,0.6032989025115967,0.7362891435623169,0.6174687743186951,0.5037871599197388,0.006936549280777304,0.015993982553482056,0.056185859193238485,0.02024102210998535,-0.04857969284057617,-0.0030956268310546875,0.0009958744049072266
9978,68418,2,good,0.0728381872177124,0.2781,3.33,47,16,-0.057028122738046964,0.1514434814453125,8.369049465807056,0.7453193068504333,0.38922783732414246,0.34243765473365784,0.35765790939331055,-0.06500894112797176,0.16653667390346527,8.416077726893574,0.7440944910049438,0.3892073929309845,0.34288516640663147,0.3699190616607666,-0.007980818389924794,0.015093192458152771,0.0470282610865187,-0.001224815845489502,-2.0444393157958984e-05,0.0004475116729736328,0.012261152267456055
10393,34186,5,good,0.05302703380584717,0.2841,3.24,48,16,0.11536427367624524,0.2556447684764862,7.526809768080877,0.6996394395828247,0.7965269088745117,0.43986523151397705,0.4372856318950653,0.12426284650127123,0.26391318440437317,7.596327810151404,0.696495532989502,0.8015828132629395,0.44849079847335815,0.461675763130188,0.008898572825025985,0.008268415927886963,0.06951804207052703,-0.003143906593322754,0.005055904388427734,0.008625566959381104,0.02439013123512268
10507,8435,2,good,0.04753386974334717,0.2857,3.21,48,16,0.1762752968974935,0.12721361219882965,9.564487979668886,0.723677933216095,0.6223350167274475,0.47048479318618774,0.2555355429649353,0.1738588676099595,0.13448269665241241,9.625140613367186,0.733984112739563,0.6360437273979187,0.4722491502761841,0.2560221552848816,-0.0024164292875339943,0.007269084453582764,0.06065263369830021,0.010306179523468018,0.013708710670471191,0.0017643570899963379,0.00048661231994628906
11159,26372,2,good,0.08849751949310303,0.2735,3.4,47,16,0.04071300458059061,0.05468880012631416,9.344067733325778,0.7505480647087097,0.6804161071777344,0.5133153200149536,0.38016796112060547,0.03634684434728161,0.05725568160414696,9.379320908889504,0.7559929490089417,0.6912484169006348,0.4967882037162781,0.38446885347366333,-0.004366160233308998,0.002566881477832794,0.0352531755637262,0.005444884300231934,0.01083230972290039,-0.016527116298675537,0.004300892353057861
11521,8109,2,good,0.10433977842330933,0.2687,3.47,46,16,-0.30499646924296103,0.24765218794345856,9.030611510018108,0.8705689907073975,0.7744990587234497,0.43452879786491394,0.33941832184791565,-0.3039001481610402,0.30983325839042664,9.134790972866808,0.858471155166626,0.7806037068367004,0.436393141746521,0.37884536385536194,0.0010963210819208147,0.06218107044696808,0.10417946284870006,-0.012097835540771484,0.006104648113250732,0.0018643438816070557,0.03942704200744629
11942,24640,5,good,0.01986461877822876,0.294,3.09,49,16,0.07838942990143483,0.23616869747638702,11.15015101409317,0.628415584564209,0.8114711046218872,0.49394112825393677,0.5041841268539429,0.0838510253327047,0.2440706044435501,11.208672967789674,0.6340603232383728,0.842228889465332,0.49022117257118225,0.502034604549408,0.0054615954312698806,0.007901906967163086,0.058521953696503815,0.005644738674163818,0.030757784843444824,-0.0037199556827545166,-0.002149522304534912
