subject,roi,pair_idx,pair_d2,pair_win2,pair_out2,comp_d2,comp_win2,comp_out2
subj01,ventral,0,153.73643760647462,30.41201382658296,123.3244237798917,123.74783192542534,24.563411073850343,99.18442085157501
subj01,ventral,1,112.30620378721399,16.993984833985465,95.31221895322852,112.33004895342036,19.699614781718736,92.63043417170162
subj01,ventral,2,109.23304990520998,15.944236669979755,93.28881323523024,111.89167736602234,19.774121570251378,92.11755579577095
subj01,ventral,3,115.6705213986503,16.645391228571228,99.02513017007907,117.83717243479578,21.682038026280146,96.15513440851565
subj01,ventral,4,121.87826478073475,17.477079667856316,104.40118511287845,104.35082293401078,18.5289880863286,85.82183484768217
subj01,ventral,5,132.47941590280456,20.344885952924063,112.13452994988054,104.56688748146624,19.221291709817155,85.34559577164907
subj01,ventral,6,149.9121151363782,17.850672758640698,132.06144237773748,100.05292867169103,20.160391460205844,79.8925372114852
subj01,ventral,7,141.6038722922523,24.51238604353216,117.09148624872017,101.28939051832498,16.197613223009665,85.09177729531532
subj01,ventral,8,145.6637000655082,26.179488048931212,119.484212016577,101.64357244817809,16.573992252587274,85.0695801955908
subj01,ventral,9,125.48540540711245,20.65271376424596,104.83269164286654,104.63176016674751,17.78991661491864,86.84184355182889
subj01,ventral,10,149.20822938824477,27.824342964358785,121.383886423886,93.09153073252338,15.34130453728128,77.75022619524209
subj01,ventral,11,154.31457140366945,28.343989704659307,125.97058169901017,92.69706093479606,15.772701544684592,76.92435939011149
subj01,ventral,12,172.6939072895258,25.368514216069133,147.32539307345667,88.28828397527451,16.658327706816962,71.62995626845755
subj01,ventral,13,159.94574882080644,34.5012751613783,125.44447365942814,96.41604309556853,14.125731083238406,82.2903120123301
subj01,ventral,14,139.9216113392839,28.053334490716583,111.86827684856733,99.42135938934607,15.239303624905709,84.18205576444038
subj01,ventral,15,174.73708488087703,38.60028603948908,136.13679884138799,89.11364657295091,13.165727363786099,75.94791920916482
subj01,ventral,16,167.3901701645468,33.25596492838142,134.13420523616537,87.33548158280638,12.945572387699603,74.38990919510678
subj01,ventral,17,206.25301589664429,36.33546241415634,169.9175534824879,85.20265016175605,14.503973324761441,70.69867683699464
subj01,ventral,18,139.38642947213629,23.52398382894825,115.86244564318807,99.26498469248767,14.927187913686943,84.33779677880074
subj01,ventral,19,155.93100598262885,31.87605490086452,124.05495108176432,86.92717220597022,12.609736044027755,74.31743616194247
subj01,ventral,20,173.30764258144595,35.00577106125998,138.301871520186,87.89606847306428,13.331140764774936,74.56492770828933
subj01,ventral,21,196.1369364766062,34.51901335200468,161.6179231246015,83.98173129235428,14.493291124611186,69.48844016774308
subj01,ventral,22,160.8170140488004,29.044850312578415,131.77216373622196,92.70028244949155,14.125168150403466,78.57511429908811
subj01,ventral,23,163.352227369416,29.939992376366167,133.41223499304982,92.02013168567437,14.598286860416463,77.4218448252579
subj01,ventral,24,185.63706991309127,29.382729093476676,156.2543408196146,88.04529991035491,15.75260326762669,72.29269664272823
subj01,ventral,25,209.39321344359627,37.924781563479115,171.46843188011718,82.95969803956665,12.240025892445782,70.71967214712086
subj01,ventral,26,249.30166075619726,41.184908185944785,208.1167525702525,80.94304457190562,13.818496733584364,67.12454783832126
subj01,ventral,27,257.31786908755936,40.073273616989304,217.24459547057006,80.8718932537269,14.068640262181457,66.80325299154546
subj02,ventral,0,207.74282097297956,31.77475790733809,175.96806306564145,113.84606381917487,24.032486527455276,89.81357729171958
subj02,ventral,1,178.65065455134143,30.930104237650895,147.7205503136905,112.80187701856684,22.15299188938255,90.64888512918426
subj02,ventral,2,176.01490638047318,24.001389061677827,152.0135173187953,114.70518418056932,24.60836720275524,90.09681697781406
subj02,ventral,3,158.30916073573076,22.666817074800726,135.64234366093004,114.99706137851122,23.102342528848254,91.89471884966292
subj02,ventral,4,185.0507119863448,33.4318642278667,151.61884775847804,108.25265952058905,21.24803462686018,87.00462489372885
subj02,ventral,5,146.21549227076122,28.93345893663495,117.28203333412621,117.63431896789415,23.152293597806487,94.48202537008763
subj02,ventral,6,151.49616085408744,32.55192771112337,118.944233142964,120.5022058745665,22.76296033070581,97.7392455438607
subj02,ventral,7,205.48486330281648,36.123320236499794,169.3615430663167,105.10156674737674,21.279449460578835,83.82211728679788
subj02,ventral,8,190.0763644981655,28.43584756441086,161.64051693375464,105.5856793945145,23.650518385494216,81.93516100902025
subj02,ventral,9,177.37650773360423,29.659040301983538,147.7174674316207,106.43376646803203,22.42868979208164,84.00507667595036
subj02,ventral,10,209.90397306055175,41.243837292394396,168.66013576815735,100.33224395192472,20.665465205354106,79.66677874657059
subj02,ventral,11,164.4432114623953,27.348910849156514,137.09430061323877,108.97773207894392,21.525666270521963,87.45206580842196
subj02,ventral,12,168.51840020890506,33.262583946292736,135.2558162626123,111.7116767815256,21.391355705937713,90.32032107558786
subj02,ventral,13,213.21795464903104,36.37956776379601,176.838386885235,110.34524332418464,22.747509732873965,87.59773359131063
subj02,ventral,14,183.01273340196292,34.862326306637684,148.1504070953252,109.2482898996459,21.22118845115796,88.02710144848788
subj02,ventral,15,197.89261346700127,37.10798320076121,160.78463026624007,101.18592457665979,18.420281631509607,82.76564294515013
subj02,ventral,16,173.09492814817315,38.6060092314631,134.48891891671002,112.12731006804881,20.99081074933743,91.13649931871134
subj02,ventral,17,154.18086875993097,32.55364551244569,121.62722324748523,112.30689386676914,19.526940538513898,92.7799533282552
subj02,ventral,18,177.9747199175443,27.016516885209285,150.958203032335,110.88467869347612,23.574664403924512,87.31001428955156
subj02,ventral,19,198.82305212739806,34.15374729112047,164.66930483627755,103.48547471991392,21.317265752252556,82.16820896766134
subj02,ventral,20,164.37456084530848,28.47736371673667,135.89719712857178,113.35454843760722,23.090638247293086,90.2639101903141
subj02,ventral,21,158.3895820645578,28.305451934275073,130.0841301302827,114.97069674827107,22.280151584975744,92.69054516329528
subj02,ventral,22,197.13058660166476,34.46650446373703,162.66408213792766,105.55660526441235,19.994277651622642,85.5623276127897
subj02,ventral,23,155.62984050106354,30.907335737570335,124.72250476349316,114.64209511338218,22.00289624090952,92.63919887247263
subj02,ventral,24,154.97840541953494,30.05846773870698,124.91993768082793,116.85085939062623,21.11719222121421,95.73366716941199
subj02,ventral,25,198.73111408397904,39.28772326410566,159.44339081987337,109.71544018127128,19.88362615819581,89.83181402307545
subj02,ventral,26,203.70046481116037,42.31760268217678,161.3828621289835,112.54873621503867,19.42889407371544,93.1198421413232
subj02,ventral,27,176.34799147259832,38.16713362604118,138.1808578465571,123.20625637090171,21.3718126263391,101.8344437445626
subj03,ventral,0,224.72561275793691,41.15139747142506,183.57421528651187,114.71003907771379,15.248936845160049,99.46110223255374
subj03,ventral,1,185.7232044342909,27.632098054323535,158.09110637996736,109.58205763546704,14.855985757513382,94.72607187795366
subj03,ventral,2,200.55527697428897,26.336071324215553,174.21920565007343,111.7616974573603,15.445031951740338,96.31666550561997
subj03,ventral,3,178.81264845860545,28.808756695381845,150.0038917632236,114.37355717990982,15.281213379887916,99.0923438000219
subj03,ventral,4,172.54946577210214,29.68622686480831,142.86323890729383,113.44803756576397,15.909616022662973,97.53842154310098
subj03,ventral,5,198.5836105109966,29.18082707952685,169.4027834314698,106.775330653393,14.914194246338639,91.86113640705436
subj03,ventral,6,175.39279466454522,27.323025066841435,148.06976959770378,121.49019552846002,15.634959061004,105.85523646745601
subj03,ventral,7,210.43729843540376,34.490616247036115,175.94668218836762,105.5183521273148,14.63810544297728,90.88024668433754
subj03,ventral,8,203.41866147092608,30.09678261823276,173.32187885269335,105.27013533759964,14.88295087068252,90.38718446691712
subj03,ventral,9,187.5416270555736,29.8336068353194,157.70802022025416,108.53372773796373,14.41514772615459,94.11858001180913
subj03,ventral,10,194.4521033578228,30.332112961058705,164.1199903967641,109.07194801145707,15.001443252964407,94.07050475849263
subj03,ventral,11,205.10003436191604,29.15074300411954,175.94929135779645,100.68966179521928,13.930913679789217,86.75874811543005
subj03,ventral,12,181.80937947183676,32.43724665909042,149.37213281274632,115.39343344321652,15.223268013083059,100.17016543013347
subj03,ventral,13,210.66206036184934,32.36430115145224,178.2977592103971,105.28057691919392,16.244090666404855,89.03648625278906
subj03,ventral,14,195.922778522435,30.090105197408498,165.83267332502652,108.67058627244005,15.552840836195767,93.11774543624426
subj03,ventral,15,201.49033399721412,28.922244794578887,172.56808920263526,109.0595931206589,15.953984526497928,93.10560859416097
subj03,ventral,16,226.40660335298,37.34548343110906,189.06111992187093,102.26267783238474,15.950633685930438,86.3120441464543
subj03,ventral,17,186.12321002560358,26.15472346473099,159.9684865608726,115.07836743179344,15.63440317240773,99.44396425938571
subj03,ventral,18,188.79014058339487,23.862268144001487,164.92787243939335,108.40970270777348,15.593908105611712,92.81579460216174
subj03,ventral,19,175.45201072685188,19.69759384417428,155.75441688267762,106.69807785251209,15.662072474025248,91.03600537848685
