subject,roi,component,fold,rho_fold
subj04,lateral,OUT,3,0.4869588633147238
subj04,lateral,OUT,4,0.036950379348627105
subj04,lateral,OUT,5,0.5555956867560096
subj05,lateral,IN,0,0.10787993230975813
subj05,lateral,IN,1,0.12137356832388808
subj05,lateral,IN,2,0.11809954348937327
subj05,lateral,IN,3,-0.07319509443086117
subj05,lateral,IN,4,0.07459344391680225
subj05,lateral,IN,5,0.00416415741889763
subj05,lateral,OUT,0,0.4538838071644798
subj05,lateral,OUT,1,0.39902257658815665
subj05,lateral,OUT,2,0.20717694497519343
subj05,lateral,OUT,3,0.09508537127546646
subj05,lateral,OUT,4,0.487690302001314
subj05,lateral,OUT,5,0.24199685885528446
subj06,lateral,IN,0,0.17630504471820907
subj06,lateral,IN,1,0.21725572231760307
subj06,lateral,IN,2,0.10159117057467555
subj06,lateral,IN,3,0.13713253917506876
subj06,lateral,IN,4,0.15868509841100017
subj06,lateral,IN,5,0.16634993594113615
subj06,lateral,OUT,0,0.5902245692706265
subj06,lateral,OUT,1,0.6045721465379924
subj06,lateral,OUT,2,0.21168154121302457
subj06,lateral,OUT,3,0.2528216441281252
subj06,lateral,OUT,4,0.5323106770440004
subj06,lateral,OUT,5,0.5790147354792847
subj07,lateral,IN,0,0.10382747625350462
subj07,lateral,IN,1,0.09622847255100779
subj07,lateral,IN,2,0.14633335886176224
subj07,lateral,IN,3,0.14383007173488524
subj07,lateral,IN,4,0.10423184000770554
subj07,lateral,IN,5,0.124383091302508
subj07,lateral,OUT,0,0.6840128678587841
subj07,lateral,OUT,1,0.7005778018229704
subj07,lateral,OUT,2,0.6575172105069328
subj07,lateral,OUT,3,0.5213317219264223
subj07,lateral,OUT,4,0.6255861439340927
subj07,lateral,OUT,5,0.7254370704821336
subj08,lateral,IN,0,0.3524533465228394
subj08,lateral,IN,1,0.13713372649300448
subj08,lateral,IN,2,0.3270889752117862
subj08,lateral,IN,3,0.402181813142724
subj08,lateral,IN,4,0.026571939249336273
subj08,lateral,IN,5,0.09208687799941957
subj08,lateral,OUT,0,0.44279637481003326
subj08,lateral,OUT,1,0.2309646652105076
subj08,lateral,OUT,2,0.42301911007896814
subj08,lateral,OUT,3,0.4846701352531149
subj08,lateral,OUT,4,0.32682053257550525
subj08,lateral,OUT,5,0.07318640000555393
