subject,roi,components...
subj01,ventral,0.166247,0.833753,5.064977,2.93715,0.533289,0.216358
subj02,ventral,0.225601,0.774399,3.531802,2.861293,0.551249,0.184675
subj03,ventral,0.171226,0.828774,4.923385,2.764571,0.570028,0.16447
subj04,ventral,0.202488,0.797512,3.965561,2.898267,0.542132,0.200639
subj05,ventral,0.158609,0.841391,5.398602,2.123308,0.669837,0.127368
subj06,ventral,0.269855,0.730145,2.712955,2.999987,0.533428,0.193481
subj07,ventral,0.312255,0.687745,2.206933,1.930599,0.707291,0.117769
subj08,ventral,0.171607,0.828393,4.841097,3.989752,0.40897,0.228838
subj01,lateral,0.163434,0.836566,5.156971,2.375029,0.618533,0.180718
subj02,lateral,0.158013,0.841987,5.339956,2.956926,0.529797,0.211515
subj03,lateral,0.206318,0.793682,3.922848,2.804039,0.551601,0.210856
subj04,lateral,0.164056,0.835944,5.181747,2.955976,0.545708,0.162958
subj05,lateral,0.15581,0.84419,5.445926,3.053191,0.537716,0.154468
subj06,lateral,0.108023,0.891977,8.484384,2.891838,0.54329,0.19737
subj07,lateral,0.167673,0.832327,5.145837,2.283216,0.630805,0.190613
subj08,lateral,0.16049,0.83951,5.239248,3.235108,0.49539,0.19578
