subject,roi,components...
subj01,ventral,0.355125,0.303577,0.236165,0.169365,0.112155,0.082149,0.169368,0.14076,0.355125,0.037755,1.859686
subj02,ventral,0.424434,0.297311,0.24496,0.187775,0.124134,0.097507,0.184781,0.155954,0.424434,0.029759,1.849612
subj03,ventral,0.312277,0.241379,0.190688,0.13854,0.097211,0.065854,0.140993,0.117876,0.312277,0.028311,1.853393
subj04,ventral,0.437027,0.339358,0.25717,0.159238,0.124271,0.088047,0.188265,0.141755,0.437027,0.03554,1.826578
subj05,ventral,0.381004,0.285064,0.217481,0.161261,0.129104,0.082858,0.167351,0.145182,0.381004,0.027374,1.838975
subj06,ventral,0.447515,0.406117,0.331587,0.291405,0.236813,0.186644,0.272045,0.264109,0.447515,0.118271,1.992989
subj07,ventral,0.558402,0.457569,0.382868,0.346224,0.297311,0.248261,0.329442,0.321767,0.558402,0.14317,2.001098
subj08,ventral,0.474251,0.283962,0.211309,0.135913,0.098544,0.07424,0.168264,0.117228,0.474251,0.022784,1.744251
subj01,lateral,0.396842,0.224045,0.14627,0.061328,0.034558,0.016684,0.110829,0.047943,0.396842,0.000785,1.421947
subj02,lateral,0.419644,0.29841,0.174329,0.08871,0.054449,0.028221,0.134192,0.07158,0.419644,0.001028,1.501836
subj03,lateral,0.441396,0.256559,0.16846,0.129255,0.057707,0.02457,0.135404,0.093481,0.441396,0.000381,1.510705
subj04,lateral,0.323927,0.237671,0.150086,0.114972,0.064839,0.030639,0.116661,0.089906,0.323927,0.002828,1.606739
subj05,lateral,0.361654,0.256209,0.126877,0.079759,0.048317,0.034023,0.115321,0.064038,0.361654,0.00221,1.541931
subj06,lateral,0.341678,0.19594,0.138526,0.105553,0.058851,0.024712,0.109083,0.082202,0.341678,0.000417,1.564214
subj07,lateral,0.316895,0.231035,0.142328,0.086779,0.048808,0.026792,0.108055,0.067794,0.316895,0.002279,1.572464
subj08,lateral,0.351444,0.254247,0.216245,0.147648,0.115296,0.073891,0.154275,0.131472,0.351444,0.020925,1.8342
