subject,signature_correlation_ventral_lateral
subj01,0.8133171735837116
subj02,0.9888865048648502
subj03,0.9249103841990847
subj04,0.9687082818792545
subj05,0.9725423693748813
subj06,0.8420649828217115
subj07,0.9417392906938773
subj08,0.9852999422884837
