subject,roi,components...
subj01,ventral,0.531557,0.213441,0.061495,0.048516,2.958835,0.531557,0.744998,0.806493,0.85501
subj02,ventral,0.568628,0.182227,0.067687,0.050338,2.724928,0.568628,0.750855,0.818542,0.86888
subj03,ventral,0.588619,0.153615,0.062653,0.044554,2.639017,0.588619,0.742234,0.804887,0.849441
subj04,ventral,0.514832,0.234676,0.06862,0.050635,3.023218,0.514832,0.749508,0.818128,0.868763
subj05,ventral,0.652283,0.143845,0.045745,0.035855,2.212436,0.652283,0.796128,0.841873,0.877728
subj06,ventral,0.502058,0.225151,0.07243,0.046976,3.176185,0.502058,0.727209,0.79964,0.846616
subj07,ventral,0.688725,0.126969,0.052937,0.029635,2.019188,0.688725,0.815694,0.868632,0.898266
subj08,ventral,0.392701,0.247254,0.14161,0.074691,4.068413,0.392701,0.639955,0.781564,0.856256
subj01,lateral,0.632366,0.178412,0.047724,0.03136,2.288247,0.632366,0.810779,0.858503,0.889863
subj02,lateral,0.487662,0.253146,0.091739,0.049106,3.165074,0.487662,0.740808,0.832546,0.881652
subj03,lateral,0.546348,0.242031,0.049615,0.037946,2.749895,0.546348,0.788379,0.837993,0.87594
subj04,lateral,0.574721,0.144441,0.090605,0.050478,2.737367,0.574721,0.719163,0.809767,0.860245
subj05,lateral,0.544704,0.16559,0.071781,0.054149,2.966992,0.544704,0.710294,0.782075,0.836224
subj06,lateral,0.537935,0.193921,0.086121,0.047296,2.938859,0.537935,0.731855,0.817976,0.865272
subj07,lateral,0.664157,0.17062,0.0339,0.028962,2.114869,0.664157,0.834777,0.868677,0.897639
subj08,lateral,0.495248,0.196616,0.142516,0.04953,3.232097,0.495248,0.691864,0.834381,0.88391
