roi,block,D_obs,D_null_constrained,PIPELINE_CONSTRAINED
ventral,A_spectral,0.16286633387895375,0.11000875209826758,1
ventral,B_angles,0.23539126599328547,0.3408654961753655,0
ventral,C_support,0.23450342568940735,0.14185480968997982,1
ventral,D_compression,0.206452557018649,0.05158270329740624,1
lateral,A_spectral,0.2861068143887502,0.1626466067715577,1
lateral,B_angles,0.23324824681345888,0.3823396467819795,0
lateral,C_support,0.13855481681849907,0.1366875077516469,1
lateral,D_compression,0.24480816232747332,0.04948894698346538,1
