roi,o2_10_orientation_transfer,x1_invariant_status,supported_blocks
ventral,COMPOSITE_GEOMETRY_NOT_SHARED,INVARIANTS_SUPPORTED(1),B_angles
lateral,COMPOSITE_GEOMETRY_NOT_SHARED,INVARIANTS_SUPPORTED(1),B_angles
