subject,roi,family,sse,active,max_weight,n_eff,in_hull
subj01,ventral,anatomy,0.21216165780849505,2,0.6915245355965979,1.744094900910177,0
subj01,ventral,behavior,3.944304526105059e-31,4,0.5595269148388996,2.2672606676137894,1
subj02,ventral,anatomy,2.0029671421627253e-31,5,0.307974242582257,4.0646426160080225,1
subj02,ventral,behavior,0.3279693915059088,2,0.8814981856008587,1.2640918890147417,0
subj03,ventral,anatomy,4.930380657631324e-32,7,0.22063091401830023,6.470970648630479,1
subj03,ventral,behavior,0.3739266254214137,2,0.8479247001885912,1.3475214876873844,0
subj04,ventral,anatomy,2.005028505728983,2,0.6784989152659389,1.7739185965768578,0
subj04,ventral,behavior,0.08963169629385606,2,0.729518724629052,1.6519159113143953,0
subj05,ventral,anatomy,0.8170234802612165,2,0.6783283909641982,1.7743016289619464,0
subj05,ventral,behavior,5.8740863303810694e-33,7,0.16045316196515508,6.958850923518955,1
subj06,ventral,anatomy,4.1135015184435,1,1.0,1.0,0
subj06,ventral,behavior,0.6350692646226613,2,0.880385055115637,1.2668080402564017,0
subj07,ventral,anatomy,0.7628675549369939,2,0.5736500134239312,1.957526954502516,0
subj07,ventral,behavior,0.06681200888469174,2,0.7906283516479773,1.4949254511218182,0
subj08,ventral,anatomy,4.7113860600731316e-32,7,0.2410039229481343,6.009594340227275,1
subj08,ventral,behavior,0.8743919396793967,2,0.7689791681393358,1.551110039540428,0
subj01,lateral,anatomy,6.798532703686943e-32,6,0.23296602750750894,5.256351948628248,1
subj01,lateral,behavior,3.944304526105059e-31,4,0.5595269148388996,2.2672606676137894,1
subj02,lateral,anatomy,0.06856830704278108,2,0.9490969897608821,1.1069585254144558,0
subj02,lateral,behavior,0.3279693915059088,2,0.8814981856008587,1.2640918890147417,0
subj03,lateral,anatomy,0.12053143636419192,2,0.7078669942024368,1.7052700745003706,0
subj03,lateral,behavior,0.3739266254214137,2,0.8479247001885912,1.3475214876873844,0
subj04,lateral,anatomy,2.897678048422416,2,0.7940061131714105,1.4861508813223157,0
subj04,lateral,behavior,0.08963169629385606,2,0.729518724629052,1.6519159113143953,0
subj05,lateral,anatomy,6.641087930733286e-31,4,0.5234227481829433,2.6739226113583197,1
subj05,lateral,behavior,5.8740863303810694e-33,7,0.16045316196515508,6.958850923518955,1
subj06,lateral,anatomy,0.1628339374840054,2,0.7540076563929788,1.5897245823942032,0
subj06,lateral,behavior,0.6350692646226613,2,0.880385055115637,1.2668080402564017,0
subj07,lateral,anatomy,1.3859228511605455,2,0.703253275217698,1.7163734488452733,0
subj07,lateral,behavior,0.06681200888469174,2,0.7906283516479773,1.4949254511218182,0
subj08,lateral,anatomy,0.1270940175118009,2,0.8616778354216502,1.3129877767084233,0
subj08,lateral,behavior,0.8743919396793967,2,0.7689791681393358,1.551110039540428,0
