ROI,target_subject,identity_fold,core_capture_of_residual
V1,subj05,1,0.6065847157664536
V1,subj05,2,0.676553507815224
V1,subj05,3,0.821264514032854
V1,subj05,4,0.8003596945182337
V1,subj05,5,0.7091669757330876
V1,subj06,0,0.5786635596661192
V1,subj06,1,0.8322036531681515
V1,subj06,2,0.7075777043232849
V1,subj06,3,0.6792473150376374
V1,subj06,4,0.5440328478372226
V1,subj06,5,0.6664665767564565
V1,subj07,0,0.5124739310061925
V1,subj07,1,0.3139178105540114
V1,subj07,2,0.8090638071067977
V1,subj07,3,0.3972822469893459
V1,subj07,4,0.632671172559797
V1,subj07,5,0.8608404473411657
V1,subj08,0,0.5088191460345437
V1,subj08,1,0.4750417426415593
V1,subj08,2,0.5314923102884599
V1,subj08,3,0.4004919859260534
V1,subj08,4,0.7348092515138737
V1,subj08,5,0.560413600477202
V3,subj01,0,0.239373484130689
V3,subj01,1,0.0441133572270476
V3,subj01,2,0.1821739742953017
V3,subj01,3,0.1504664152997061
V3,subj01,4,0.2257589196525044
V3,subj01,5,0.1612082007142637
V3,subj02,0,0.4495190615853563
V3,subj02,1,0.3574876405743214
V3,subj02,2,0.4016621021308535
V3,subj02,3,0.614944597766941
V3,subj02,4,0.1514594007488317
V3,subj02,5,0.0774456360115958
V3,subj03,0,0.0752213211191117
V3,subj03,1,0.1733787170701791
V3,subj03,2,0.158723219607198
V3,subj03,3,0.5457932896251498
V3,subj03,4,0.3367992573170817
V3,subj03,5,0.2670581064675821
V3,subj04,0,0.432433269704488
V3,subj04,1,0.513998032718617
V3,subj04,2,0.2462035336622041
V3,subj04,3,0.2430237336913875
V3,subj04,4,0.2427814734600733
V3,subj04,5,0.6373262467517667
V3,subj05,0,0.536249399690483
V3,subj05,1,0.3276918031640566
V3,subj05,2,0.1824302391083277
V3,subj05,3,0.0759260403738191
V3,subj05,4,0.1237207267984114
V3,subj05,5,0.261800202223852
V3,subj06,0,0.2305617669535334
V3,subj06,1,0.2992813529673874
V3,subj06,2,0.2230475177597872
V3,subj06,3,0.2458831937797475
V3,subj06,4,0.0933039808958078
V3,subj06,5,0.2108254274935431
V3,subj07,0,0.2989175964948165
V3,subj07,1,0.3766119828162251
V3,subj07,2,0.4821978902976192
V3,subj07,3,0.4790265172079581
V3,subj07,4,0.768053081901164
V3,subj07,5,0.356897851506459
V3,subj08,0,0.7708534421301975
V3,subj08,1,0.540781223269108
V3,subj08,2,0.6683180668111426
V3,subj08,3,0.5558992940846437
V3,subj08,4,0.4889953034675157
V3,subj08,5,0.4999993968642577
