ROI,subject,pred,null,oracle,oracle_recovery,R_Y_CORE,residual_capture
ventral,subj01,0.07372935589350255,0.07744143175461585,0.2123488180062662,0.3638584066698065,0.419961541891098,0.21234881791008164
ventral,subj02,0.1333614064115532,0.07682087726021325,0.23431313664506415,0.5240567078550488,0.4264581501483917,0.23431313759444874
ventral,subj03,0.024189412899309752,0.04666338376479355,0.128902099621301,0.18942052428647038,0.2829742729663849,0.12890209922902568
ventral,subj04,0.12048265656130944,0.0899039703547092,0.27459321578595175,0.398694307756675,0.314165398478508,0.27459321810394255
ventral,subj05,0.11960066894413394,0.07813893976579295,0.22556316248936786,0.5519047135738948,0.2916247844696045,0.22556315981135316
ventral,subj06,0.08287879778872205,0.07884289947510764,0.2222166206798123,0.4141308466686169,0.49612320959568024,0.2222166221785159
ventral,subj07,0.07719860623670449,0.07550427180753,0.2066428730384566,0.39978191264864793,0.36728745698928833,0.2066428718889825
ventral,subj08,0.058228130422516206,0.054675467848762,0.1715847293567104,0.34404407287422056,0.44049423933029175,0.1715847293468293
lateral,subj01,0.10447514856023479,0.14650314772634604,0.16631298714496667,0.7413194566384642,0.3876369595527649,0.1663129875351111
lateral,subj02,0.17579572131623433,0.16308493560476994,0.2061689121413452,0.8330438817038077,0.5075254738330841,0.20616891320834715
lateral,subj03,0.1605142975289447,0.13413654308774936,0.1789223424545495,0.961253049437513,0.4767058938741684,0.17892234123213197
lateral,subj04,0.056956670431714054,0.0547252183642722,0.07118409538369935,0.9112273585516859,0.2379612550139427,0.0711840947045223
lateral,subj05,0.14964744978350364,0.13617941633471653,0.17606560000223714,0.8921193206778106,0.17793608456850046,0.1760655999654026
lateral,subj06,0.08043237762360095,0.07620715350105955,0.0905888725386268,0.8775520031312273,0.5318134129047394,0.09058887088050399
lateral,subj07,0.10873659918366035,0.1074839948978768,0.12604541133061287,0.9522214382436016,0.2405929267406463,0.12604541105296174
lateral,subj08,0.0688808523292154,0.0646337093325192,0.08220347610364964,0.7316187159079557,0.299574539065361,0.08220347734826139
parietal,subj01,0.0915018203116344,0.0930031003223096,0.2905977882369854,0.3418555155845721,0.5843025743961334,0.29059779012746667
parietal,subj02,0.1133902404681726,0.11479378898213105,0.3900458686433343,0.2975801300608516,0.660745769739151,0.390045872953411
parietal,subj03,0.09667339027821084,0.09994063610632285,0.28293670225540846,0.30647120393367466,0.8313283622264862,0.2829367092393922
parietal,subj04,0.09943064974218829,0.09967404636047675,0.3056336848709485,0.34025459286073034,0.5593235790729523,0.3056336880084146
parietal,subj05,0.14557923985014165,0.15240580630680145,0.4771664164985626,0.4479469224149479,0.5415849536657333,0.47716641696958256
parietal,subj06,0.18581456526739948,0.13543646427139575,0.43315179007138654,0.42878252061358385,0.7558958232402802,0.43315179429076694
parietal,subj07,0.06913411489924225,0.1333161705578443,0.33605658398956817,0.2393443848518913,0.7244306206703186,0.3360565851883077
parietal,subj08,0.17178904738055906,0.18614189879179877,0.4813138511910934,0.4497005190970197,0.5866411030292511,0.48131385336259186
V1,subj01,0.266301016053495,0.2279224171897461,0.6221758131069413,0.4094827556270769,0.8999442756175995,0.6221758101980683
V1,subj02,0.20360868649630665,0.22907302162287219,0.6040622358802695,0.3533674632651782,0.9347348511219025,0.6040622411889883
V1,subj03,0.2636484033633399,0.22441041150992708,0.6264366194430357,0.4269351691676302,0.970612645149231,0.6264366331885547
V1,subj04,0.4721555027460729,0.3295215436368121,0.9191266368358089,0.526290525018366,0.9984703660011292,0.9191266332529449
V1,subj05,0.26863169848941637,0.24900465974181812,0.6928602324265709,0.46512075171617007,0.9646969735622406,0.6928602417741558
V1,subj06,0.20763778015819295,0.25658634660775254,0.6728569484861551,0.26802357980513203,0.823837161064148,0.6728569458970469
V1,subj07,0.1684302256019537,0.22005391499758595,0.5725725474717638,0.28084860794433786,0.819206029176712,0.5725725517829947
V1,subj08,0.1997267651615745,0.2005252293453067,0.5201557285547631,0.3685167205244283,0.8514672219753265,0.5201557281615018
V3,subj01,0.15975045784468836,0.1500017046065856,0.17169108583609854,0.9425371561774739,0.7872040867805481,0.17169108750478268
V3,subj02,0.23483775107465185,0.2865702024016248,0.37957487667817624,0.740436108797153,0.8278703093528748,0.3795748713525875
V3,subj03,0.19430741875043261,0.18448005344843896,0.2202184136383096,0.9060402885796832,0.6950995028018951,0.2202184117688806
V3,subj04,0.31347172961153535,0.3209808436725287,0.3393183879473655,0.879074213952939,0.863154947757721,0.33931840168334604
V3,subj05,0.18408967589171443,0.16568181680019164,0.2221152101264269,0.8335206532396398,0.6861545145511627,0.22211522066608985
V3,subj06,0.20099761177785375,0.18478248120004348,0.2268046435065016,0.8797290293635045,0.5898355543613434,0.2268046423566603
V3,subj07,0.40735877828236355,0.33398062578093646,0.4278192449189217,0.9598990537653247,0.8555148243904114,0.4278192500120916
V3,subj08,0.43098327561655003,0.4938508042867909,0.548340264106652,0.7566385299723284,0.6067458391189575,0.5483402586768759
