ROI,target_subject,identity_fold,R_Y_CORE_VISFULL
V3,subj03,0,1.0
V3,subj03,1,1.0000001192092896
V3,subj03,2,1.0
V3,subj03,3,0.9999999403953552
V3,subj03,4,1.0
V3,subj03,5,0.9999999403953552
V3,subj04,0,1.0
V3,subj04,1,1.0
V3,subj04,2,1.0
V3,subj04,3,1.0
V3,subj04,4,1.0
V3,subj04,5,1.0
V3,subj05,0,1.0
V3,subj05,1,1.0
V3,subj05,2,0.9999999403953552
V3,subj05,3,1.0
V3,subj05,4,1.0
V3,subj05,5,1.0
V3,subj06,0,0.9999999403953552
V3,subj06,1,0.9999999403953552
V3,subj06,2,0.9999999403953552
V3,subj06,3,1.0
V3,subj06,4,1.0
V3,subj06,5,0.9999998807907104
V3,subj07,0,1.0
V3,subj07,1,1.0
V3,subj07,2,1.0
V3,subj07,3,1.0
V3,subj07,4,1.0
V3,subj07,5,1.0
V3,subj08,0,0.9999998807907104
V3,subj08,1,1.0
V3,subj08,2,0.9999999403953552
V3,subj08,3,0.9999998807907104
V3,subj08,4,1.0
V3,subj08,5,1.0
