ROI,target_subject,identity_fold,R_Y_CORE
V1,subj05,1,0.9773526787757874
V1,subj05,2,0.957304298877716
V1,subj05,3,0.955253839492798
V1,subj05,4,0.9625370502471924
V1,subj05,5,0.9868845343589784
V1,subj06,0,0.820003092288971
V1,subj06,1,0.8141862750053406
V1,subj06,2,0.7262265086174011
V1,subj06,3,0.8556966781616211
V1,subj06,4,0.827671229839325
V1,subj06,5,0.9474577307701112
V1,subj07,0,0.9031143188476562
V1,subj07,1,0.7058714628219604
V1,subj07,2,0.8644024133682251
V1,subj07,3,0.7214502096176147
V1,subj07,4,0.774009644985199
V1,subj07,5,0.969189703464508
V1,subj08,0,0.823617160320282
V1,subj08,1,0.8771927356719971
V1,subj08,2,0.825741708278656
V1,subj08,3,0.6987605094909668
V1,subj08,4,0.8901559114456177
V1,subj08,5,0.9410974979400636
V3,subj01,0,0.8702800869941711
V3,subj01,1,0.7697123885154724
V3,subj01,2,0.7919915914535522
V3,subj01,3,0.6492423415184021
V3,subj01,4,0.9251077771186828
V3,subj01,5,0.782416582107544
V3,subj02,0,0.799453854560852
V3,subj02,1,0.6405853033065796
V3,subj02,2,0.885563850402832
V3,subj02,3,0.9408353567123412
V3,subj02,4,0.7927858233451843
V3,subj02,5,0.8562867641448975
V3,subj03,0,0.6796911954879761
V3,subj03,1,0.5934313535690308
V3,subj03,2,0.4723183810710907
V3,subj03,3,0.7105078101158142
V3,subj03,4,0.7662903666496277
V3,subj03,5,0.7190039157867432
V3,subj04,0,0.9261100888252258
V3,subj04,1,0.8346123099327087
V3,subj04,2,0.8916975855827332
V3,subj04,3,0.5882110595703125
V3,subj04,4,0.9212966561317444
V3,subj04,5,0.7043694853782654
V3,subj05,0,0.5906663537025452
V3,subj05,1,0.6949213743209839
V3,subj05,2,0.6932466626167297
V3,subj05,3,0.4117790460586548
V3,subj05,4,0.6790623664855957
V3,subj05,5,0.8708850741386414
V3,subj06,0,0.7978612780570984
V3,subj06,1,0.6124489307403564
V3,subj06,2,0.6911959648132324
V3,subj06,3,0.4418614506721496
V3,subj06,4,0.40195232629776
V3,subj06,5,0.5672221779823303
V3,subj07,0,0.854914665222168
V3,subj07,1,0.8701848983764648
V3,subj07,2,0.5796327590942383
V3,subj07,3,0.8561149835586548
V3,subj07,4,0.9650580883026124
V3,subj07,5,0.844926655292511
V3,subj08,0,0.5430808067321777
V3,subj08,1,0.6504675149917603
V3,subj08,2,0.5710236430168152
V3,subj08,3,0.6199536323547363
V3,subj08,4,0.5935380458831787
V3,subj08,5,0.7693406343460083
