roi,T,median_AXIS_FIDELITY,median_ARF,median_TOTAL_ZERO_BASE
ventral,1,0.32807025727515093,0.39132487575523756,0.19107440034141415
ventral,2,0.5545857573064836,0.601200750792537,0.29193349214461306
ventral,4,0.8016965200754738,0.8172316181389663,0.4080828755105351
ventral,8,0.9999999999999903,0.9999999992183283,0.5022713577931268
lateral,1,0.2934312544976637,0.3987884517631177,0.20764799943313153
lateral,2,0.5063702038876821,0.592198767755006,0.3141147364086504
lateral,4,0.7695528200570341,0.8019663843125506,0.44238436703903733
lateral,8,0.9999999999999871,0.9999999968055124,0.576937084488536
