roi,T,median_calibration_capture,median_heldout_R_AXIS,median_gap
ventral,1,0.47230911918574503,0.18659690549652275,0.2857122136892223
ventral,2,0.4791336235907759,0.2459375754502766,0.23319604814049927
ventral,4,0.49687392936233116,0.3176285267877972,0.17924540257453397
lateral,1,0.4903797856679559,0.23942522850986742,0.2509545571580885
lateral,2,0.5079577431736526,0.29662512534596464,0.21133261782768797
lateral,4,0.5375260302621412,0.3672968855418556,0.1702291447202856
