subject,roi,fold,R0,R_CAL0,dev,sym,idem,range_in_colW,rank,r_best,ok
subj01,ventral,0,0.10882218937550564,0.10882218937550564,0.0,0.0,1.1529018499058736e-15,3.2936361407105975e-15,6,6,1
subj01,ventral,1,0.042403378362650415,0.042403378362650415,0.0,0.0,1.319924754701905e-15,3.0692054181014923e-15,6,6,1
subj01,ventral,2,0.09505444735055624,0.09505444735055624,0.0,0.0,1.3904583372998984e-15,3.173338953424313e-15,6,6,1
subj01,ventral,3,0.08144673040492087,0.08144673040492087,0.0,0.0,1.1263246297891537e-15,2.885933592801938e-15,6,6,1
subj01,ventral,4,0.085199565668667,0.085199565668667,0.0,0.0,1.3845852091205958e-15,3.0901684785334462e-15,6,6,1
subj01,ventral,5,0.0472750728655718,0.0472750728655718,0.0,0.0,1.1773938134892043e-15,3.2150769027050304e-15,6,6,1
subj02,ventral,0,0.18709786832809833,0.18709786832809833,0.0,0.0,1.4979266494499577e-15,3.648224154719184e-15,6,6,1
subj02,ventral,1,0.07285350826956442,0.07285350826956442,0.0,0.0,1.5986207696010612e-15,3.499699081435078e-15,6,6,1
subj02,ventral,2,0.10793941394070951,0.10793941394070951,0.0,0.0,1.2501678492802435e-15,3.846220834259071e-15,6,6,1
subj02,ventral,3,0.09842362724020332,0.09842362724020332,0.0,0.0,2.147158797354654e-15,3.7663513652448576e-15,6,6,1
subj02,ventral,4,0.07471680356922494,0.07471680356922494,0.0,0.0,1.2846360385226337e-15,3.7246852275518596e-15,6,6,1
subj02,ventral,5,0.12135082484129478,0.12135082484129478,0.0,0.0,1.6582223132623667e-15,3.865360939245349e-15,6,6,1
subj03,ventral,0,0.05563350908085189,0.05563350908085189,0.0,0.0,1.4993199970509369e-15,4.515885454027729e-15,6,6,1
subj03,ventral,1,0.03328079445697759,0.03328079445697759,0.0,0.0,1.195815585961082e-15,4.123664482912598e-15,6,6,1
subj03,ventral,2,0.045057596078440426,0.045057596078440426,0.0,0.0,1.7206649117997934e-15,4.065997758599289e-15,6,6,1
subj03,ventral,3,0.04488653835174137,0.04488653835174137,0.0,0.0,1.274507593884453e-15,3.985074463546523e-15,6,6,1
subj03,ventral,4,0.0564731213194927,0.0564731213194927,0.0,0.0,1.5624333733477435e-15,4.163924695254839e-15,6,6,1
subj03,ventral,5,0.023853698392255485,0.023853698392255485,0.0,0.0,1.45009026515241e-15,3.877324437038927e-15,6,6,1
subj04,ventral,0,0.03169004135716613,0.03169004135716613,0.0,0.0,9.600140921595362e-16,3.1970198001725247e-15,6,6,1
subj04,ventral,1,0.07487473703282638,0.07487473703282638,0.0,0.0,1.073966592287698e-15,3.21263716242672e-15,6,6,1
subj04,ventral,2,0.08993644627769014,0.08993644627769014,0.0,0.0,1.314953231029904e-15,3.138549914698087e-15,6,6,1
subj04,ventral,3,0.056623822318314185,0.056623822318314185,0.0,0.0,1.2889762983233453e-15,3.2830138181744806e-15,6,6,1
subj04,ventral,4,0.0910385928948324,0.0910385928948324,0.0,0.0,1.4146576700221457e-15,3.2121057086466346e-15,6,6,1
subj04,ventral,5,0.09262952019969077,0.09262952019969077,0.0,0.0,1.3402566242433089e-15,3.2509387656259404e-15,6,6,1
subj05,ventral,0,0.034305190882839384,0.034305190882839384,0.0,0.0,1.1909942907505389e-15,3.9317537375137e-15,6,6,1
subj05,ventral,1,0.04989708230557105,0.04989708230557105,0.0,0.0,9.481181772251838e-16,3.996145714082033e-15,6,6,1
subj05,ventral,2,0.08945668530965731,0.08945668530965731,0.0,0.0,1.3207444055600347e-15,3.915292910018685e-15,6,6,1
subj05,ventral,3,0.05494836761930069,0.05494836761930069,0.0,0.0,1.4978455195335368e-15,4.019003437066276e-15,6,6,1
subj05,ventral,4,0.09064902591766223,0.09064902591766223,0.0,0.0,1.3525157815760596e-15,3.96859220643667e-15,6,6,1
subj05,ventral,5,0.0571264037565907,0.0571264037565907,0.0,0.0,1.1489813452899527e-15,4.0500801553141e-15,6,6,1
subj06,ventral,0,0.051041215255136586,0.051041215255136586,0.0,0.0,1.3994908324058917e-15,5.52137220206995e-15,6,6,1
subj06,ventral,1,0.08332968126213525,0.08332968126213525,0.0,0.0,1.2631341609148344e-15,5.252234371681121e-15,6,6,1
subj06,ventral,2,0.0879529212148983,0.0879529212148983,0.0,0.0,1.2125040561547947e-15,5.621572887459818e-15,6,6,1
subj06,ventral,3,0.022920926806815012,0.022920926806815012,0.0,0.0,1.079030536764981e-15,5.590472095757273e-15,6,6,1
subj06,ventral,4,0.05746171939490791,0.05746171939490791,0.0,0.0,1.437812833996298e-15,5.419669523006171e-15,6,6,1
subj06,ventral,5,0.04037001597669514,0.04037001597669514,0.0,0.0,1.2749832086896913e-15,5.55269979658855e-15,6,6,1
subj07,ventral,0,0.04909128624831283,0.04909128624831283,0.0,0.0,1.1632511660538443e-15,4.665180593306793e-15,6,6,1
subj07,ventral,1,0.04960039466467116,0.04960039466467116,0.0,0.0,1.199139063796097e-15,4.4146891516621505e-15,6,6,1
subj07,ventral,2,0.029029886594618904,0.029029886594618904,0.0,0.0,1.3701209941610254e-15,4.747318597257919e-15,6,6,1
subj07,ventral,3,0.04246593698577296,0.04246593698577296,0.0,0.0,1.0170873541407731e-15,4.882812974595249e-15,6,6,1
subj07,ventral,4,0.08212049288907314,0.08212049288907314,0.0,0.0,1.2476486583616397e-15,4.742402352152283e-15,6,6,1
subj07,ventral,5,0.08552139280510399,0.08552139280510399,0.0,0.0,1.1335853081276617e-15,4.55646419934698e-15,6,6,1
subj08,ventral,0,0.07772693248099158,0.07772693248099158,0.0,0.0,1.4493986797891251e-15,4.360077879468597e-15,6,6,1
subj08,ventral,1,0.0611981838034457,0.0611981838034457,0.0,0.0,1.232937463110165e-15,4.753197762912446e-15,6,6,1
