subject,roi,fold,identity,split_id,SPLIT_HALF_COS2
subj01,ventral,0,A:R,6,0.27666533856647396
subj01,ventral,0,A:R,7,0.29247148899094644
subj01,ventral,0,A:R,8,0.3210662472871753
subj01,ventral,0,A:R,9,0.2140860808308583
subj01,ventral,0,A:R,10,0.20332296009638753
subj01,ventral,0,A:R,11,0.28470857982509007
subj01,ventral,0,A:R,12,0.38175443157537675
subj01,ventral,0,A:R,13,0.29721527498258304
subj01,ventral,0,A:R,14,0.24045663635873896
subj01,ventral,0,A:R,15,0.2195796325151426
subj01,ventral,0,A:R,16,0.3967783621550047
subj01,ventral,0,A:R,17,0.44049987094865556
subj01,ventral,0,A:R,18,0.45605988977851286
subj01,ventral,0,A:R,19,0.3277112579871543
subj01,ventral,0,A:R,20,0.32935854127072334
subj01,ventral,0,A:R,21,0.4270886853983924
subj01,ventral,0,A:R,22,0.4279731766701131
subj01,ventral,0,A:R,23,0.31124644801629175
subj01,ventral,0,A:R,24,0.2665872069280842
subj01,ventral,0,A:R,25,0.23586680258989368
subj01,ventral,0,A:R,26,0.24299376187858365
subj01,ventral,0,A:R,27,0.4743900158910545
subj01,ventral,0,A:R,28,0.3567888319614539
subj01,ventral,0,A:R,29,0.3887291531997957
subj01,ventral,0,A:R,30,0.3432689436257894
subj01,ventral,0,A:R,31,0.27086419231990394
subj01,ventral,0,A:R,32,0.37652683518300445
subj01,ventral,0,A:R,33,0.2994184792039856
subj01,ventral,0,A:R,34,0.16873797088625714
subj01,ventral,0,A:V,0,0.24046998649081755
subj01,ventral,0,A:V,1,0.20275996324589488
subj01,ventral,0,A:V,2,0.30933485612744926
subj01,ventral,0,A:V,3,0.3975036393900944
subj01,ventral,0,A:V,4,0.43432279831462695
subj01,ventral,0,A:V,5,0.22830300370302345
subj01,ventral,0,A:V,6,0.39436033697648254
subj01,ventral,0,A:V,7,0.36371450339146594
subj01,ventral,0,A:V,8,0.46271248701204776
subj01,ventral,0,A:V,9,0.31909939115435704
subj01,ventral,0,A:V,10,0.33382926110349737
subj01,ventral,0,A:V,11,0.48209538061316703
subj01,ventral,0,A:V,12,0.44148802135726245
subj01,ventral,0,A:V,13,0.4059512769155652
subj01,ventral,0,A:V,14,0.30572800855573595
subj01,ventral,0,A:V,15,0.2281976070337181
subj01,ventral,0,A:V,16,0.3377673419068071
subj01,ventral,0,A:V,17,0.4266004655974658
subj01,ventral,0,A:V,18,0.4483290942290022
subj01,ventral,0,A:V,19,0.2886613224288022
subj01,ventral,0,A:V,20,0.4150074287108665
subj01,ventral,0,A:V,21,0.49478218254985984
subj01,ventral,0,A:V,22,0.47002665129770915
subj01,ventral,0,A:V,23,0.35764500953132167
subj01,ventral,0,A:V,24,0.3698219584317775
subj01,ventral,0,A:V,25,0.3185490151460962
subj01,ventral,0,A:V,26,0.32826435821016675
subj01,ventral,0,A:V,27,0.4565960289426233
subj01,ventral,0,A:V,28,0.42489394985566764
subj01,ventral,0,A:V,29,0.3755414319513552
subj01,ventral,0,A:V,30,0.27764470712155137
subj01,ventral,0,A:V,31,0.39296038813096484
subj01,ventral,0,A:V,32,0.39481552924504554
subj01,ventral,0,A:V,33,0.3325436896354106
subj01,ventral,0,A:V,34,0.207874827431787
subj01,ventral,0,B:C,0,0.027789288449985364
subj01,ventral,0,B:C,1,0.01724486449199394
subj01,ventral,0,B:C,2,0.06365869285345248
subj01,ventral,0,B:C,3,0.1584763481394699
subj01,ventral,0,B:C,4,0.11629398290661241
subj01,ventral,0,B:C,5,0.03399939814751821
subj01,ventral,0,B:C,6,0.08494294875550139
subj01,ventral,0,B:C,7,0.12696728588893236
subj01,ventral,0,B:C,8,0.15581974433029888
subj01,ventral,0,B:C,9,0.04022919633948359
subj01,ventral,0,B:C,10,0.0912935179958487
subj01,ventral,0,B:C,11,0.18529951401311182
subj01,ventral,0,B:C,12,0.11082125675628876
subj01,ventral,0,B:C,13,0.1719208030808958
subj01,ventral,0,B:C,14,0.21766681100259427
subj01,ventral,0,B:C,15,0.25623635472903794
subj01,ventral,0,B:C,16,0.43065097920624856
subj01,ventral,0,B:C,17,0.43016622477779654
subj01,ventral,0,B:C,18,0.30238214499497224
subj01,ventral,0,B:C,19,0.2709066410068479
subj01,ventral,0,B:C,20,0.3396298926973326
subj01,ventral,0,B:C,21,0.3518690706032608
subj01,ventral,0,B:C,22,0.37772301022740845
subj01,ventral,0,B:C,23,0.32349232046793736
subj01,ventral,0,B:C,24,0.2966005408967973
subj01,ventral,0,B:C,25,0.36280896151361686
subj01,ventral,0,B:C,26,0.30914902006327194
subj01,ventral,0,B:C,27,0.4849020764265583
subj01,ventral,0,B:C,28,0.3041199128986446
subj01,ventral,0,B:C,29,0.39675587575511084
subj01,ventral,0,B:C,30,0.2475376041041861
subj01,ventral,0,B:C,31,0.17732407019756766
subj01,ventral,0,B:C,32,0.35327574982495524
subj01,ventral,0,B:C,33,0.27634194472388524
subj01,ventral,0,B:C,34,0.14001786066240332
subj01,ventral,0,B:D,0,0.10048396568077225
subj01,ventral,0,B:D,1,0.22431206535861054
subj01,ventral,0,B:D,2,0.30135855029626324
subj01,ventral,0,B:D,3,0.2602636568833733
subj01,ventral,0,B:D,4,0.3563665817410229
subj01,ventral,0,B:D,5,0.14331971395624057
subj01,ventral,0,B:D,6,0.3326074759031287
subj01,ventral,0,B:D,7,0.1983807508803301
subj01,ventral,0,B:D,8,0.26461990575868444
subj01,ventral,0,B:D,9,0.4158737448329511
subj01,ventral,0,B:D,10,0.2914864009453973
subj01,ventral,0,B:D,11,0.324651534628365
subj01,ventral,0,B:D,12,0.4341212171217232
subj01,ventral,0,B:D,13,0.47048152826301626
subj01,ventral,0,B:D,14,0.3259513369849137
subj01,ventral,0,B:D,15,0.29623279140413106
subj01,ventral,0,B:D,16,0.35490496303521885
subj01,ventral,0,B:D,17,0.38312163665426546
subj01,ventral,0,B:D,18,0.44302401840556216
subj01,ventral,0,B:D,19,0.33282451611801733
subj01,ventral,0,B:D,20,0.4180247697412776
subj01,ventral,0,B:D,21,0.4089304316389493
subj01,ventral,0,B:D,22,0.34059835758949686
subj01,ventral,0,B:D,23,0.3284340094491878
subj01,ventral,0,B:D,24,0.39952377796297556
subj01,ventral,0,B:D,25,0.4074005875090525
subj01,ventral,0,B:D,26,0.3571600580296171
subj01,ventral,0,B:D,27,0.3381738961691248
subj01,ventral,0,B:D,28,0.4787205018842043
subj01,ventral,0,B:D,29,0.44605059835936567
subj01,ventral,0,B:D,30,0.38280388326317794
subj01,ventral,0,B:D,31,0.32378202217319857
subj01,ventral,0,B:D,32,0.2531951341702847
subj01,ventral,0,B:D,33,0.24999485992615741
subj01,ventral,0,B:D,34,0.22707351338074017
subj01,ventral,0,B:K,0,0.11508270441280696
subj01,ventral,0,B:K,1,0.20391656718936793
subj01,ventral,0,B:K,2,0.25331799651546333
subj01,ventral,0,B:K,3,0.18334085328464572
subj01,ventral,0,B:K,4,0.12748992202072607
subj01,ventral,0,B:K,5,0.34995050378101333
subj01,ventral,0,B:K,6,0.35759246012217166
subj01,ventral,0,B:K,7,0.35918027854366563
subj01,ventral,0,B:K,8,0.4024168768286859
subj01,ventral,0,B:K,9,0.4650900948467451
subj01,ventral,0,B:K,10,0.48068031105259273
subj01,ventral,0,B:K,11,0.37023512720911234
subj01,ventral,0,B:K,12,0.4857476462489548
subj01,ventral,0,B:K,13,0.3921433115925206
subj01,ventral,0,B:K,14,0.31690712483787
subj01,ventral,0,B:K,15,0.3171593624869685
subj01,ventral,0,B:K,16,0.3779798818653768
subj01,ventral,0,B:K,17,0.37507932885755785
subj01,ventral,0,B:K,18,0.4029555396842796
subj01,ventral,0,B:K,19,0.4612831704835584
subj01,ventral,0,B:K,20,0.4699954584592667
subj01,ventral,0,B:K,21,0.34594433353407433
subj01,ventral,0,B:K,22,0.5515786781821478
subj01,ventral,0,B:K,23,0.42832747264866533
subj01,ventral,0,B:K,24,0.3411988086712129
subj01,ventral,0,B:K,25,0.22319974658084676
subj01,ventral,0,B:K,26,0.314306192792858
subj01,ventral,0,B:K,27,0.35222005372814896
subj01,ventral,0,B:K,28,0.308717562845649
subj01,ventral,0,B:K,29,0.3625556060558749
subj01,ventral,0,B:K,30,0.3929770382471595
subj01,ventral,0,B:K,31,0.3084781487750802
subj01,ventral,0,B:K,32,0.24410776248681212
