ROI,n_voxels,B0_img_rel,B1_img_rel,L_rel_img,B0_vis_rel,B1_vis_rel,L_rel_vis,B0_RAW_r,B1_RAW_r,L_perf_RAW,B0_D1_r,B1_D1_r,L_perf_D1,B0_SNR_img,B1_SNR_img,crossstate_B0,crossstate_B1,L_crossstate,B0_B1_trial_corr,rotation_gain
V2,29,0.3176506119934424,0.20475668425483276,0.11289392773860965,0.5841472041710014,0.4745791172456284,0.10956808692537301,0.08225298378515081,0.019928874341965545,0.06232410944318526,0.07297561890307969,0.024866183867610192,0.048109435035469494,0.3655463754506539,0.2534638474861953,0.06370264080804633,0.08277680976034113,-0.0190741689522948,0.9187051124560336,-0.014028071788549368
V3,24,0.27889966105032643,0.12046340035244828,0.15843626069787814,0.5100567353185311,0.3617943527368923,0.14826238258163882,0.06881671159664209,-0.007601729161546382,0.07641844075818846,0.0473879741516837,-0.01999885112909342,0.06738682528077712,0.32867571381516436,0.23663210724722983,0.07923222494608842,0.25074999491246697,-0.17151776996637855,0.8506649142752091,0.03589366871495414
hV4,14,0.12725077782964772,0.0677835403628359,0.05946723746681182,0.3426249916734551,0.24020655511941144,0.10241843655404367,-0.007641276027255556,-0.019823250801716263,0.012181974774460707,0.06450544529582208,-0.0887928815599251,0.15329832685574718,0.21081184319473953,0.17790777583299797,0.013211191161782621,0.09063792473170906,-0.07742673356992644,0.8834634295975169,-0.0031696190351293563
ventral,153,0.24038018023670052,0.08616460772429406,0.15421557251240647,0.2629162498810079,0.15458752339312318,0.10832872648788475,0.0959182674295933,0.0013299827436907916,0.09458828468590251,0.12075341574707127,0.04612559814647879,0.07462781760059248,0.24235481355649308,0.15245947606342852,0.12184994802439839,0.1513446259883825,-0.02949467796398411,0.8992625661194324,0.04841535504741046
lateral,156,0.1815765680784612,0.06257618503822675,0.11900038304023446,0.3107013911924566,0.15686551816476085,0.15383587302769575,0.10238367207951045,0.06143550244854327,0.04094816963096718,0.13389997097881765,-0.07644141103780086,0.2103413820166185,0.21095034703109536,0.13935459374327672,0.034758668077164184,0.057706406345294614,-0.02294773826813043,0.8465082794427872,0.0755902964635029
parietal,71,0.5138906335348673,0.38716460371506395,0.12672602981980335,0.2851166920455788,0.17752745266729367,0.10758923937828516,0.07831212990511979,0.02520855289679489,0.0531035770083249,0.16400741614927947,-0.07811174548165885,0.24211916163093833,0.46102663753769174,0.26928441887890286,0.013443828362197208,0.005786536317883062,0.007657292044314146,0.8628158216985563,0.015955882346173067
