participant,ROI,O0,O1,O2,O3,O4,G,G_gain,G_diag,G_lowrank,headroom,normalized_G,classification,action_cosine,singular_profile_corr,identity_deviation,off_diagonal_mixing,out_of_span_fraction,fraction_contracted,residual_rank,rotation_frobenius,R_img_B0,R_vis_B0,voxel_count,G_B1,R_img_B1,R_vis_B1
subj01,V1,0.7097459336121877,0.7244000335534414,0.7636305292447408,0.5192439603546748,0.7982131333028435,0.08846719969065575,0.07381309974940209,0.03458260405810265,0.2789691729481687,0.29025406638781226,0.30479228350397536,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.6580594925791441,0.9421157652006027,1.024731511269946,0.952683772918608,0.2042076833779611,1.0,12,4.39417272784566,0.7877052522429151,0.9088534372073703,27,0.005801534749386716,0.6467737130715608,0.8850553172010365
subj01,V2,0.7512556885679563,0.7495269005497297,0.7493643661340078,0.5545419658479691,0.8286842126737821,0.07742852410582579,0.07915731212405241,0.07931984653977431,0.274142246825813,0.24874431143204367,0.3112775671534465,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.6304353466819076,0.8571998873085557,1.0066452074452652,0.9771538784318574,0.2826314318504775,1.0,12,5.07939735135037,0.840917241473302,0.9389849189170333,29,0.008304293130503626,0.794853960852937,0.8991042581294851
subj01,V3,0.8373283098141352,0.835455318291982,0.8291470607121786,0.6261362064756145,0.8691833045128669,0.03185499469873165,0.0337279862208848,0.040036243800688265,0.24304709803725233,0.1626716901858648,0.19582383795443997,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7623451797376103,0.9484106236991293,0.9863775080419012,0.8836669429436664,0.1837414395452134,1.0,12,4.116623708460499,0.8120581677395269,0.8977911970474911,24,0.00810150497091544,0.6390831145015833,0.8016243135971276
subj01,hV4,0.777899424235026,0.7814420213301977,0.8017552147308985,0.6951273988548547,0.8051544472923319,0.02725502305730587,0.023712425962134187,0.003399232561433374,0.11002704843747713,0.222100575764974,0.1227147789393713,DIAGONAL_REWEIGHTING_SUFFICIENT,0.5256965265559737,0.9229840905124597,0.9879209912687578,0.9191403625375772,0.0240997303639387,1.0,12,4.477693615527501,0.6298517870607144,0.7674142098217547,14,-0.04846249784809731,0.44157807857342896,0.6091579998750376
subj01,ventral,0.6879696597655615,0.6961420302589735,0.6657202367981275,0.6240202913296253,0.743746058048679,0.055776398283117534,0.047604027789705516,0.07802582125055146,0.11972576671905366,0.31203034023443854,0.1787531245878555,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7622109362537389,0.8577489683313666,0.9950807736489096,0.7537559898230811,0.7766661847673153,1.0,12,4.936589867792036,0.7813489757877535,0.7714184848957204,153,0.002891875407879496,0.498051389031833,0.5985604955521209
subj01,lateral,0.6459035674730936,0.6492040430506071,0.6606161693731943,0.5932885732750377,0.718259738689165,0.07235617121607141,0.06905569563855796,0.0576435693159707,0.12497116541412734,0.35409643252690637,0.20434029990000915,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.6478548920892533,0.907644589295515,1.0421541444871398,0.8572947549834875,0.6609664883514665,1.0,12,4.941610093500025,0.7132797659089491,0.8143842290681422,156,-0.026414371948763504,0.43021617876539253,0.5975693058967454
subj01,parietal,0.7210652281840643,0.7114804238080978,0.7104961524407069,0.6475492566316535,0.7295112740553389,0.008446045871274621,0.018030850247241048,0.019015121614632036,0.08196201742368536,0.27893477181593573,0.030279645009077684,GLOBAL_GAIN_SUFFICIENT,0.6788931109624965,0.8908114139343044,1.073336684619173,0.9003636078358107,0.412580633662959,1.0,12,4.900066792249227,0.9122567080884042,0.7834695833730408,71,-0.04354921867282016,0.8302795414716374,0.6175940537781341
subj02,V1,0.6472952651480833,0.6365795433521271,0.7135948017239571,0.4684389202736536,0.7777885793690857,0.1304933142210024,0.14120903601695867,0.06419377764512868,0.30934965909543216,0.35270473485191667,0.3699789124628285,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.5283995401725183,0.8598068093627965,1.0042775137417217,0.9393999127301684,0.1229841664957556,1.0,12,4.9523824538983305,0.8286219320197503,0.9318622036739366,23,0.06276819470411654,0.7332487558591609,0.9102229299220083
subj02,V2,0.7243471642335256,0.7247914224863052,0.7545153498649597,0.5286953058400227,0.7965274111829385,0.07218024694941283,0.07173598869663322,0.042012061317978744,0.2678321053429158,0.27565283576647437,0.2618520021704474,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7489488135943264,0.9270872108429133,0.9970350950329198,0.8961516957967574,0.0957212998748798,1.0,12,4.770423552872262,0.887147109545357,0.930421471915741,22,0.027159660140806174,0.6553878902288208,0.907039234759467
subj02,V3,0.5917488957444826,0.5887324623763561,0.6352113485336304,0.5356311720453633,0.7638932083054314,0.17214431256094875,0.17516074592907527,0.12868185977180102,0.22826203626006814,0.40825110425551736,0.4216628216471561,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7278178263759972,0.9459750713513285,0.9993406123203508,0.842301780444307,0.0873161124267023,1.0,12,4.415661093632813,0.7909978125231595,0.9206291895831051,22,0.07234760421102926,0.6369071841565446,0.9196918817656075
subj02,hV4,0.8646854944527149,0.8648424136141936,0.8646744961539904,0.7251496052383111,0.8562514935827782,-0.00843400086993673,-0.008590920031415372,-0.008423002571212201,0.13110188834446712,0.13531450554728508,-0.06232887476346359,NO_REUSABLE_OPERATOR_EVIDENCE,0.5058319738584401,0.9496315641400902,1.0035523216139717,0.922673601686249,3.457764943466544e-15,1.0,10,4.508310769569268,0.9089818335084435,0.90469660353968,10,-0.027878659696407015,0.8997311081865051,0.9168154897576571
subj02,ventral,0.6353435814380646,0.6422974256177744,0.6424670455356439,0.5912132259863249,0.7402335380016171,0.10488995656355249,0.0979361123838427,0.09776649246597313,0.1490203120152922,0.3646564185619354,0.28764050548513065,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7898067437776359,0.926550629747841,1.0042908749553972,0.6733664453973693,0.5615584425103441,1.0,12,4.705538434822075,0.8091680740346229,0.8533006711672221,164,0.01977966241962048,0.5965885654515918,0.7462297837359383
subj02,lateral,0.6472508708635966,0.6364117388923963,0.6673812568187714,0.5924007087695063,0.7562089138251761,0.10895804296157952,0.11979717493277975,0.08882765700640471,0.16380820505566973,0.35274912913640344,0.3088825285786797,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7598875094436518,0.9670053149383261,1.3554471522019034,0.9901049585811452,0.3521078110175601,0.9166666666666666,12,5.225964342106854,0.8335002328823843,0.7280464849544837,136,0.013560578984321559,0.6973516008691891,0.6217263217951682
subj02,parietal,0.7666485657294592,0.7502066890398661,0.7796295036872228,0.6971377037849124,0.804163012211602,0.03751444648214286,0.05395632317173593,0.02453350852437919,0.10702530842668967,0.23335143427054084,0.1607637278914245,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7512189961446788,0.9080428576829954,1.0206135834777517,0.8789245117976148,0.2518841504258696,1.0,12,4.787371601253244,0.8955839660367971,0.8784688858533125,68,-0.0009975532835322376,0.7680607712391677,0.7751347115295617
subj03,V1,0.7005051771799723,0.660724272330602,0.7135014633337656,0.4885061595456272,0.7673426405085295,0.06683746332855722,0.10661836817792747,0.05384117717476389,0.2788364809629023,0.2994948228200277,0.2231673412555821,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.7362485332346075,0.9884089179900916,1.062869200416062,0.9479363501389994,0.0353718648814681,1.0,12,5.359615894893658,0.7268585800855981,0.9166201544376498,26,0.007193348492384288,0.31661648047159785,0.8391819757726624
subj03,V2,0.7236063977082571,0.6557248259584109,0.723245789607366,0.5613161091326401,0.7653268005908712,0.04172040288261414,0.10960197463246035,0.04208101098350525,0.20401069145823114,0.2763936022917429,0.15094561718030225,FULL_CROSS_VOXEL_OPERATOR_NEEDED,0.5888242117762225,0.9693893634558399,1.3035707593898935,0.98765189983208,0.0441827138722089,0.9166666666666666,12,4.746785691927992,0.6515852759825501,0.8801954814761275,23,0.006532859705417393,0.44393584642754863,0.8282021289813626
