participant,median_G,n_positive_G_rois,n_full_cross,n_no_evidence,median_R_img,median_R_vis,median_action_cosine,median_voxels,regime
subj01,0.055776398283117534,7,5,0,0.7877052522429151,0.8143842290681422,0.6580594925791441,29.0,BROAD_OPERATOR_EVIDENCE
subj02,0.10488995656355249,6,6,1,0.8335002328823843,0.90469660353968,0.7489488135943264,23.0,BROAD_OPERATOR_EVIDENCE
subj03,0.06683746332855722,6,5,1,0.6835782610650055,0.8684828769997488,0.6311248289378122,26.0,BROAD_OPERATOR_EVIDENCE
subj04,0.034849419323932596,7,3,0,0.7624362942879678,0.8112295645436303,0.615740357402346,18.0,BROAD_OPERATOR_EVIDENCE
subj05,0.036641509529734884,5,4,2,0.7361131741074944,0.8337746169488582,0.7403510754256942,23.0,BROAD_OPERATOR_EVIDENCE
subj06,0.05998808939652289,5,4,2,0.7037644559144689,0.8407727274480175,0.7078593020395457,24.0,BROAD_OPERATOR_EVIDENCE
subj07,-0.0016532478825846963,3,2,4,0.5842310348883298,0.8824028393754529,0.5791147874142861,23.0,REGION_SPECIFIC_OPERATOR_EVIDENCE
subj08,0.03550786633598213,4,4,3,0.582280086207252,0.8966453244535335,0.660712312354864,22.0,BROAD_OPERATOR_EVIDENCE
