ROI,median_G,mean_G,MAD_G,n_positive,O1_holm_reject,median_O0,median_headroom,median_normalized_G,median_R_img,median_R_vis,median_voxels,median_action_cosine,median_offdiag,median_out_of_span,median_contraction,median_residual_rank,median_G_gain,median_G_lowrank
V1,0.050691837537838624,0.05489375268713003,0.05040388199480189,6,False,0.7282727311054866,0.27172726889451343,0.1798027611293625,0.7483858086836748,0.9170590472369461,23.0,0.6561411809794435,0.9503100615288036,0.1218594245262265,1.0,12.0,0.07108471019829615,0.2789028269555355
V2,0.01899340872973998,0.02310990432681516,0.026216633393291278,4,False,0.7556911073625088,0.24430889263749123,0.07336216402214749,0.6706261776186485,0.9299689885068281,22.0,0.609629779229065,0.8948428821896341,0.11942511288205421,1.0,12.0,0.019387203628554783,0.23323027827179538
V3,0.033352207011332125,0.04606328651972738,0.04144929836031419,5,False,0.7627203663190206,0.23727963368097937,0.20616761749364892,0.7547431440796715,0.9102431006526304,19.0,0.7093333481672148,0.8149222433489518,0.1172122670453809,1.0,12.0,0.06080332923727905,0.16031161015005446
hV4,0.010668550919995967,-0.00021664210589941724,0.0178445119636213,4,False,0.7676041945815086,0.23239580541849136,0.006577047062746002,0.639075508812198,0.8500729578253656,10.0,0.5330392652299187,0.9053610529275321,4.0311535660630084e-15,1.0,10.0,0.010198098010963497,0.08789176462461534
ventral,0.07498869696967048,0.08337621059164997,0.024556779140217477,8,True,0.6548175352315109,0.3451824647684892,0.2403309625354476,0.7002430127094827,0.7812546474164614,158.5,0.7451992465819848,0.7524485181740708,0.6098689581966747,1.0,12.0,0.07766435361698365,0.12901559872855511
lateral,0.08777431805682645,0.0926545101900309,0.04226134470172732,8,True,0.6549057438969612,0.3450942561030388,0.2566114142393444,0.6962413744703426,0.7596580944015093,149.5,0.7342628916933667,0.9548415820149914,0.509908646757949,0.9166666666666666,12.0,0.08655322625987194,0.15957163395064594
parietal,0.03707797800593887,0.044645417673665935,0.014781785766702638,8,True,0.7146770904461544,0.2853229095538457,0.16063262418900998,0.7975639795002392,0.8021538019718628,68.0,0.7388701937913684,0.8896440598167128,0.29798917591953367,1.0,12.0,0.050231124751595246,0.13537139724289238
