bucket,n_examples,retrieval_mse_mean,retrieval_mse_median,retrieval_pixel_l2_mean,retrieval_pixel_l2_median,retrieval_pixcorr_mean,retrieval_pixcorr_median,retrieval_ssim_mean,retrieval_ssim_median,retrieval_psnr_mean,retrieval_psnr_median,retrieval_lpips_mean,retrieval_lpips_median,retrieval_clip_image_similarity_mean,retrieval_clip_image_similarity_median,diffusion_mse_mean,diffusion_mse_median,diffusion_pixel_l2_mean,diffusion_pixel_l2_median,diffusion_pixcorr_mean,diffusion_pixcorr_median,diffusion_ssim_mean,diffusion_ssim_median,diffusion_psnr_mean,diffusion_psnr_median,diffusion_lpips_mean,diffusion_lpips_median,diffusion_clip_image_similarity_mean,diffusion_clip_image_similarity_median,delta_mse_mean,delta_mse_median,delta_pixel_l2_mean,delta_pixel_l2_median,delta_pixcorr_mean,delta_pixcorr_median,delta_ssim_mean,delta_ssim_median,delta_psnr_mean,delta_psnr_median,delta_lpips_mean,delta_lpips_median,delta_clip_image_similarity_mean,delta_clip_image_similarity_median
overall,16,0.09547373559325933,0.10552806034684181,117.30207681655884,144.03015899658203,0.30902436391564986,0.15157103011616346,0.36246966873295605,0.15544169396162033,9.145444640439973,9.482387614880917,0.5325611308217049,0.6806317865848541,0.7224179096519947,0.6658588647842407,0.06878521549515426,0.06089630722999573,114.59757375717163,109.3630485534668,0.2581941081668796,0.20521674692961311,0.20634022075682878,0.20905733108520508,11.870368520799808,12.163113663544275,0.6782935932278633,0.6672784686088562,0.5992801059037447,0.6127700209617615,-0.026688520098105073,-0.04149060137569904,-2.704503059387207,-31.947654724121094,-0.05083025574877029,0.06853792231323755,-0.15612944797612727,0.021925296634435654,2.3471786486979833,2.7101599233534124,0.14573246240615845,-0.0036791563034057617,-0.12313780374825001,-0.06878715753555298
perfect,4,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,0.0,0.0,0.9999999850988388,1.0,0.050200034864246845,0.051519982516765594,99.28634834289551,100.64004516601562,0.4555517235418297,0.44757524564660056,0.27798809111118317,0.2512247636914253,13.003604215785368,12.880947845318152,0.6336188167333603,0.6248626708984375,0.6362687051296234,0.6355462074279785,0.050200034864246845,0.051519982516765594,99.28634834289551,100.64004516601562,-0.5444482764581703,-0.5524247543533993,-0.7220119088888168,-0.7487752363085747,,,0.6336188167333603,0.6248626708984375,-0.3637312799692154,-0.3644537627696991
good,4,0.1601847093552351,0.15308021754026413,176.09554290771484,173.00402069091797,0.009868088421399301,-0.04558609027810691,0.1131868464872241,0.10991903766989708,8.088058402590418,8.199100850514014,0.7138444632291794,0.7457472085952759,0.638633519411087,0.6485248506069183,0.07826138287782669,0.07723942771553993,123.70898818969727,123.09214782714844,0.29279622401906147,0.31404275064778775,0.16359112411737442,0.16517049819231033,11.111460747227557,11.141222472209254,0.7019247263669968,0.6898997724056244,0.6189079433679581,0.6127700209617615,-0.08192332647740841,-0.07124809548258781,-52.38655471801758,-46.50068664550781,0.28292813559766217,0.18245331424066824,0.05040427763015032,0.03805826045572758,3.0234023446371414,2.7182060101394505,-0.011919736862182617,-0.019512325525283813,-0.019725576043128967,-0.0175020694732666
near_good,4,0.12467408552765846,0.10859056934714317,155.33318328857422,146.11518096923828,0.18984353302420676,0.15137484132251644,0.17493894696235657,0.1763940341770649,9.174472482223628,9.642131862621204,0.7020138651132584,0.6942377984523773,0.7096988260746002,0.7296444475650787,0.09307367354631424,0.0844467356801033,133.1841697692871,128.6132469177246,0.22460835216765462,0.1818570930486052,0.18765699118375778,0.18949753046035767,10.57998561042725,10.766484709186129,0.68491992354393,0.7014696598052979,0.6208261102437973,0.6137243211269379,-0.03160041198134422,-0.03508630394935608,-22.14901351928711,-22.509586334228516,0.03476481914344785,0.0361438771236953,0.012718044221401215,0.012332592159509659,1.4055131282036202,1.3062634131282058,-0.017093941569328308,-0.013107597827911377,-0.08887271583080292,-0.07982403039932251
hard,4,0.09703614749014378,0.0945175439119339,137.7795810699463,136.1814956665039,0.03638583421699342,0.03009485423925162,0.16175288148224354,0.13132499158382416,10.17380303650587,10.262441037384646,0.7143861949443817,0.6875653862953186,0.5413393080234528,0.5429913401603699,0.05360577069222927,0.05550500936806202,102.21078872680664,104.46343612670898,0.059820132938972606,0.020207855829964476,0.19612467661499977,0.16963094472885132,12.786423509759057,12.556773867506962,0.6927109062671661,0.6500675976276398,0.5211176648736,0.49824805557727814,-0.043430376797914505,-0.047807781025767326,-35.56879234313965,-40.74479293823242,0.023434298721979177,0.08324068523370584,0.03437179513275623,0.03830595314502716,2.6126204732531866,2.9573140805603417,-0.021675288677215576,-0.026165932416915894,-0.020221643149852753,-0.031772151589393616
