subject,roi,M,d,R_BASE,R_COND,R_AUG
subj03,lateral,2,2,0.19241117387728202,0.6887742703761629,0.575632738438128
subj03,lateral,4,1,0.19708636454150766,0.5604967718359134,0.5322432371125092
subj03,lateral,4,2,0.19708636454150766,0.6934494610403887,0.6419372471612969
subj03,lateral,4,4,0.19708636454150766,0.712993711416214,0.6570057437348538
subj03,lateral,6,1,0.20125348278898858,0.5646638900833945,0.5516405398280716
subj03,lateral,6,2,0.20125348278898858,0.6976165792878697,0.672701104629622
subj03,lateral,6,4,0.20125348278898858,0.7171608296636949,0.6891930592080886
subj03,lateral,6,6,0.20125348278898858,0.726951287202103,0.7016069854813397
subj03,lateral,8,1,0.20167602834593742,0.5650864356403431,0.5601008978492815
subj03,lateral,8,2,0.20167602834593742,0.6980391248448184,0.6882599646720332
subj03,lateral,8,4,0.20167602834593742,0.7175833752206436,0.7055790128625355
subj03,lateral,8,6,0.20167602834593742,0.7273738327590517,0.7184587605724282
subj03,lateral,8,8,0.20167602834593742,0.7436856366144017,0.7294776156988187
subj03,lateral,10,1,0.20246757684509853,0.5658779841395043,0.5658779841395043
subj03,lateral,10,2,0.20246757684509853,0.6988306733439796,0.6988306733439796
subj03,lateral,10,4,0.20246757684509853,0.7183749237198048,0.7183749237198048
subj03,lateral,10,6,0.20246757684509853,0.7281653812582128,0.7281653812582128
subj03,lateral,10,8,0.20246757684509853,0.7444771851135626,0.7444771851135626
subj03,lateral,10,10,0.20246757684509853,0.7515065685457002,0.7515065685457002
subj04,lateral,2,1,0.1402302333730556,0.5305338861407254,0.43421774932354734
subj04,lateral,2,2,0.1402302333730556,0.6153574343367717,0.504101362627403
subj04,lateral,4,1,0.1438981971959765,0.5342018499636464,0.4914560021794247
subj04,lateral,4,2,0.1438981971959765,0.6190253981596928,0.5588342939754652
subj04,lateral,4,4,0.1438981971959765,0.6389880160749056,0.5939738517018778
subj04,lateral,6,1,0.14677364706002607,0.5370772998276959,0.5175847885167966
subj04,lateral,6,2,0.14677364706002607,0.6219008480237423,0.5886456641361182
subj04,lateral,6,4,0.14677364706002607,0.6418634659389552,0.6243644453029713
subj04,lateral,6,6,0.14677364706002607,0.6710052434427073,0.6397618616010305
subj04,lateral,8,1,0.1467351194301167,0.5370387721977865,0.5296512604607928
subj04,lateral,8,2,0.1467351194301167,0.6218623203938329,0.6083266953104279
subj04,lateral,8,4,0.1467351194301167,0.6418249383090457,0.6366694017565339
subj04,lateral,8,6,0.1467351194301167,0.6709667158127979,0.6590680240717328
subj04,lateral,8,8,0.1467351194301167,0.6835418021933809,0.6693503283532204
subj04,lateral,10,1,0.14865034118138232,0.5389539939490521,0.5389539939490521
subj04,lateral,10,2,0.14865034118138232,0.6237775421450985,0.6237775421450985
subj04,lateral,10,4,0.14865034118138232,0.6437401600603113,0.6437401600603113
subj04,lateral,10,6,0.14865034118138232,0.6728819375640634,0.6728819375640634
subj04,lateral,10,8,0.14865034118138232,0.6854570239446466,0.6854570239446466
subj04,lateral,10,10,0.14865034118138232,0.6947931934040175,0.6947931934040175
subj05,lateral,2,1,0.13116443244281117,0.5076706637320815,0.4218975310938177
subj05,lateral,2,2,0.13116443244281117,0.5915796849251717,0.4716941205782364
subj05,lateral,4,1,0.13418273168323097,0.5106889629725012,0.47301492860976174
subj05,lateral,4,2,0.13418273168323097,0.5945979841655914,0.5371620408915345
subj05,lateral,4,4,0.13418273168323097,0.6262679783390114,0.5642249711898951
