subject,roi,SIM_IN,SIM_OUT,GR_IN,GR_OUT,E_IN,E_OUT,TR_IN,TR_OUT,TOTAL,CFRAC
subj01,ventral,0.43252977401366804,0.17410593815155007,0.004574104283072345,0.001260999377138582,-0.0025157569293549273,-0.00039038150621083695,0.15887437957944547,0.0047777266702794625,0.018122783918432018,0.018675026815400363
subj02,ventral,0.457126660155855,0.31533192117842956,0.01836713644539602,0.027146585114000265,-0.0016864569986746447,-0.00015943753418533324,0.0617953958090956,0.010248073050836885,0.01572076329569153,0.01788149259295312
subj03,ventral,0.483818362841431,0.25225848378490706,0.009826506356484643,0.011111863593879369,-0.0005934241877100984,-0.0014628076422514835,0.17533578909318304,0.0074363520699517694,0.03270209451605673,0.03331757364873729
subj04,ventral,0.4772076989627801,0.3978318720638103,0.031988570523690966,0.010049570623592094,-0.005093632987467234,0.0008688647600577313,0.3154134517003916,0.009204856312263124,0.05598297976797321,0.05779132666671918
subj05,ventral,0.46647634949724787,0.3608293860969323,0.015842047546577216,0.019122859750434863,-0.009188331429832051,-7.656860483582865e-05,0.024624785713525808,0.014652719372087947,0.007270963462146523,0.006576768377429855
subj06,ventral,0.40188396202446497,0.23005909993541226,0.004700174454828166,0.0014389330097164773,-0.00254278508915399,0.0012353836169679926,0.0008194739144232133,0.01258417533022259,0.0021715634845457044,0.0023806848625260754
subj07,ventral,0.3939736187833174,0.20330897649811216,0.009637858771641796,0.0013115253232758898,0.0007868675616851291,-0.002029261724833715,0.02560877429939606,0.017032300650530317,0.012597863816030383,0.012672219123706864
subj08,ventral,0.44080958821680866,0.4264444419702791,0.013275092717380666,0.029147200042842093,-0.0005007337113660462,-0.0010077799021925096,0.03356467882192172,0.016521602906934208,0.006169150914804359,0.009706036254276953
subj01,lateral,0.5446979781462861,0.36565192014320264,0.035468403725204434,0.0103823394404614,-0.0053301236561204,0.0026729603501061128,0.0,0.012711157379765477,0.0,0.0
subj02,lateral,0.5245677372339351,0.37163102420367305,0.04804139283738105,0.026416713367172804,-0.003483839468451544,-0.0007546635649359571,0.04826748452566266,0.004899330929563821,0.008750311183184822,0.009842428099245145
subj03,lateral,0.5221050235824959,0.23792102279745067,0.0025297758582702424,0.010472004784972976,-0.004240944411981025,-0.0012019610667720314,0.07216600868900676,0.007697433913184861,0.012025629531421972,0.01227487165146802
subj04,lateral,0.48012570334105575,0.16093023405895204,0.027632107196320133,0.0031044226386540245,0.002059213257935927,0.005053483583800318,0.0,0.01806652838578008,0.0008045572805972294,0.0004751435424513396
subj05,lateral,0.5387317976635083,0.23996829198950068,0.009649384482139872,0.0036696235570590915,0.0031068366866658023,-0.0006991443256538868,0.2613251305250185,0.015591631719835635,0.02474943656349986,0.023962811816346966
subj06,lateral,0.45082086006077543,0.2632548238722332,0.008909274379753,0.003101397381679621,-0.0011273820081896355,0.005432419916673994,0.16666666666666666,0.02530052722157369,0.006149396313588639,0.0061987161599614355
subj07,lateral,0.45941268149479936,0.1416296209158019,0.028426516454911326,0.0014934703918925458,0.006800584444472703,6.359043578969131e-05,0.24509391886270473,0.01071030685841691,0.01317454665462168,0.013277221586634615
subj08,lateral,0.35069532671861087,0.3232822828905732,0.0019980102135830078,0.010825823690565117,-0.007947655034400574,0.0012776609756606251,0.0,0.020298106964203654,0.0003397951571556135,0.0005835089772158405
