subject,roi,fold,donor,CKA_IN,CKA_OUT,w_IN,w_OUT
subj01,ventral,4,subj06,0.5598024388238337,0.22738114352957042,0.14352456224200436,0.13800089458139206
subj01,ventral,4,subj07,0.41015029079260884,0.198302549948263,0.09019231033232611,0.2103099041611182
subj01,ventral,4,subj08,0.5460437691300764,0.16473281547069393,0.0993077013137051,0.13310379788663912
subj01,ventral,5,subj02,0.6611681448146876,0.23197384704827123,0.23248232762669713,0.13475096785911211
subj01,ventral,5,subj03,0.5797748868608718,0.16335561777466995,0.1073414547637203,0.10254898382406386
subj01,ventral,5,subj04,0.6236405754003097,0.22069432759799482,0.1288057754551403,0.11463076211539464
subj01,ventral,5,subj05,0.6600901410508657,0.27348986839500544,0.19834586826640685,0.16665468957228002
subj01,ventral,5,subj06,0.5598024388238337,0.22738114352957042,0.14352456224200436,0.13800089458139206
subj01,ventral,5,subj07,0.41015029079260884,0.198302549948263,0.09019231033232611,0.2103099041611182
subj01,ventral,5,subj08,0.5460437691300764,0.16473281547069393,0.0993077013137051,0.13310379788663912
subj02,ventral,0,subj01,0.6611681448146876,0.23197384704827123,0.19185768817984655,0.10430222002814758
subj02,ventral,0,subj03,0.6105284595170068,0.26464213253190993,0.08285098392462882,0.09116680753702286
subj02,ventral,0,subj04,0.6938848814456612,0.37377747477908924,0.24144010941180216,0.1914915086537737
subj02,ventral,0,subj05,0.6940667707700647,0.39340241452287483,0.1788075167548881,0.18386581584439382
subj02,ventral,0,subj06,0.579121020395894,0.3897069205228697,0.10676235037567476,0.22849980021890517
subj02,ventral,0,subj07,0.43257016191851644,0.2082633254096105,0.07375572935349957,0.0927222187913759
subj02,ventral,0,subj08,0.5954422167590467,0.25423440152688326,0.12452562199965994,0.10795162892638087
subj02,ventral,1,subj01,0.6611681448146876,0.23197384704827123,0.19185768817984655,0.10430222002814758
subj02,ventral,1,subj03,0.6105284595170068,0.26464213253190993,0.08285098392462882,0.09116680753702286
subj02,ventral,1,subj04,0.6938848814456612,0.37377747477908924,0.24144010941180216,0.1914915086537737
subj02,ventral,1,subj05,0.6940667707700647,0.39340241452287483,0.1788075167548881,0.18386581584439382
subj02,ventral,1,subj06,0.579121020395894,0.3897069205228697,0.10676235037567476,0.22849980021890517
subj02,ventral,1,subj07,0.43257016191851644,0.2082633254096105,0.07375572935349957,0.0927222187913759
subj02,ventral,1,subj08,0.5954422167590467,0.25423440152688326,0.12452562199965994,0.10795162892638087
subj02,ventral,2,subj01,0.6611681448146876,0.23197384704827123,0.19185768817984655,0.10430222002814758
