subject,roi,fold,ERR_BARY_IN,ERR_UNIFORM_IN,FIT_GAIN_IN,ERR_BARY_OUT,ERR_UNIFORM_OUT,FIT_GAIN_OUT,ACTIVE_IN,ACTIVE_OUT
subj01,ventral,0,0.6681263656186766,0.6735405137018723,0.005414148083195736,0.9776738867014773,0.9810447159008425,0.003370829199365266,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,ventral,1,0.6681263656186766,0.6735405137018723,0.005414148083195736,0.9776738867014773,0.9810447159008425,0.003370829199365266,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,ventral,2,0.6681263656186766,0.6735405137018723,0.005414148083195736,0.9776738867014773,0.9810447159008425,0.003370829199365266,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,ventral,3,0.6681263656186766,0.6735405137018723,0.005414148083195736,0.9776738867014773,0.9810447159008425,0.003370829199365266,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,ventral,4,0.6681263656186766,0.6735405137018723,0.005414148083195736,0.9776738867014773,0.9810447159008425,0.003370829199365266,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj01,ventral,5,0.6681263656186766,0.6735405137018723,0.005414148083195736,0.9776738867014773,0.9810447159008425,0.003370829199365266,subj02|subj03|subj04|subj05|subj06|subj07|subj08,subj02|subj03|subj04|subj05|subj06|subj07|subj08
subj02,ventral,0,0.6069504548032613,0.6162990563548385,0.00934860155157724,0.8601512900641846,0.8687648098871977,0.008613519823013172,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,ventral,1,0.6069504548032613,0.6162990563548385,0.00934860155157724,0.8601512900641846,0.8687648098871977,0.008613519823013172,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,ventral,2,0.6069504548032613,0.6162990563548385,0.00934860155157724,0.8601512900641846,0.8687648098871977,0.008613519823013172,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
subj02,ventral,3,0.6069504548032613,0.6162990563548385,0.00934860155157724,0.8601512900641846,0.8687648098871977,0.008613519823013172,subj01|subj03|subj04|subj05|subj06|subj07|subj08,subj01|subj03|subj04|subj05|subj06|subj07|subj08
