participant,ROI,beta,fold,v2v_lam,v2v_rank,v2v_val
subj01,V1,B0,0,148.49682622544665,3,0.580440428892973
subj01,V1,B0,1,27.825594022071257,5,0.6235851093216291
subj01,V1,B0,2,40.37017258596558,5,0.6167117025923073
subj01,V1,B0,3,33.516026509388475,5,0.6116318635754742
subj01,V1,B1,0,123.28467394420684,5,0.41597590825425146
subj01,V1,B1,1,48.62601580065353,5,0.46569709019742556
subj01,V1,B1,2,27.825594022071257,5,0.4729607511025827
subj01,V1,B1,3,70.54802310718645,3,0.48696915954346937
subj01,V2,B0,0,0.05994842503189412,4,0.4806228844377723
subj01,V2,B0,1,123.28467394420684,7,0.4781622365190041
subj01,V2,B0,2,23.10129700083163,6,0.4957789817454556
subj01,V2,B0,3,2.4770763559917115,10,0.4145016868500266
subj01,V2,B1,0,0.001,6,0.26696910417277475
subj01,V2,B1,1,6.280291441834259,6,0.3014807848808373
subj01,V2,B1,2,9.111627561154895,7,0.3300517884122348
subj01,V2,B1,3,40.37017258596558,9,0.4368261302145036
subj01,V3,B0,0,312.57158496882414,1,0.345535842923228
subj01,V3,B0,1,148.49682622544665,1,0.39409120994602814
subj01,V3,B0,2,84.97534359086455,2,0.41227283412190147
subj01,V3,B0,3,312.57158496882414,1,0.35150920298966515
subj01,V3,B1,0,102.35310218990269,7,0.0595938215417175
subj01,V3,B1,1,19.179102616724887,3,0.32970582609351057
subj01,V3,B1,2,10.974987654930567,5,0.276192533409197
subj01,V3,B1,3,48.62601580065353,6,0.3240503224516394
subj01,hV4,B0,0,100000.0,1,0.4806946113258373
subj01,hV4,B0,1,546.2277217684348,1,0.4845748785837099
subj01,hV4,B0,2,215.44346900318865,1,0.4913310012003315
subj01,hV4,B0,3,84.97534359086455,2,0.531469223030235
subj01,hV4,B1,0,102.35310218990269,7,0.18704960765356593
subj01,hV4,B1,1,70.54802310718645,10,0.20328917426991033
subj01,hV4,B1,2,7.56463327554629,2,0.292012451622615
subj01,hV4,B1,3,259.5024211399737,4,0.4850579109564748
subj01,ventral,B0,0,178.8649529057435,2,0.30636970335898395
subj01,ventral,B0,1,27.825594022071257,2,0.3539234939770545
subj01,ventral,B0,2,259.5024211399737,2,0.27292290488339993
subj01,ventral,B0,3,48.62601580065353,9,0.21161372080391552
subj01,ventral,B1,0,2009.23300256505,1,0.1382295646550069
subj01,ventral,B1,1,792.4828983539186,3,0.26780194787756534
subj01,ventral,B1,2,954.5484566618347,1,0.15104665204250717
subj01,ventral,B1,3,123.28467394420684,2,0.10302282008895124
subj01,lateral,B0,0,148.49682622544665,7,0.3422931541060225
subj01,lateral,B0,1,148.49682622544665,3,0.3848593614570942
subj01,lateral,B0,2,148.49682622544665,12,0.35374927694637
subj01,lateral,B0,3,70.54802310718645,3,0.2979806737277958
subj01,lateral,B1,0,40.37017258596558,1,0.2683540320197747
subj01,lateral,B1,1,453.48785081285916,1,0.28031390139631196
subj01,lateral,B1,2,27.825594022071257,1,0.25432883109174
subj01,lateral,B1,3,0.001,3,0.03971601206052584
subj01,parietal,B0,0,23.10129700083163,2,0.15850346625799985
subj01,parietal,B0,1,70.54802310718645,9,0.18290667214033196
subj01,parietal,B0,2,2.9836472402833403,2,0.0891185575951703
subj01,parietal,B0,3,2.4770763559917115,2,0.2915560323531478
subj01,parietal,B1,0,0.001,2,0.13463937070590287
subj01,parietal,B1,1,5.21400828799969,11,0.09188848000758856
subj01,parietal,B1,2,0.001,1,0.010045908533361486
subj01,parietal,B1,3,0.001,1,0.05818495915470457
subj02,V1,B0,0,2.0565123083486534,2,0.6295687052037725
subj02,V1,B0,1,9.111627561154895,4,0.6758755003458405
subj02,V1,B0,2,2.4770763559917115,2,0.6924380791693591
subj02,V1,B0,3,2.9836472402833403,4,0.7332647582686268
subj02,V1,B1,0,19.179102616724887,4,0.5553559567312946
subj02,V1,B1,1,9.111627561154895,5,0.560684241388916
subj02,V1,B1,2,6.280291441834259,3,0.6162442421809043
subj02,V1,B1,3,102.35310218990269,4,0.7165887952318776
subj02,V2,B0,0,10.974987654930567,5,0.6290588168667953
subj02,V2,B0,1,27.825594022071257,6,0.6484855904417857
subj02,V2,B0,2,19.179102616724887,6,0.653388850723667
subj02,V2,B0,3,58.57020818056673,4,0.667685470893783
subj02,V2,B1,0,58.57020818056673,5,0.6818858580719486
subj02,V2,B1,1,102.35310218990269,5,0.6435864758323481
subj02,V2,B1,2,58.57020818056673,5,0.6700255273845354
subj02,V2,B1,3,19.179102616724887,4,0.6203044899783996
subj02,V3,B0,0,1.4174741629268062,4,0.64438390473006
subj02,V3,B0,1,5.21400828799969,5,0.6656438641140608
subj02,V3,B0,2,4.328761281083062,5,0.6460804670703421
subj02,V3,B0,3,215.44346900318865,3,0.6659352997045795
subj02,V3,B1,0,48.62601580065353,4,0.5811121829090443
subj02,V3,B1,1,84.97534359086455,5,0.5648376995648219
subj02,V3,B1,2,48.62601580065353,5,0.6015099493957191
subj02,V3,B1,3,657.9332246575682,3,0.6189543475575969
subj02,hV4,B0,0,0.001,1,0.6116363332178727
subj02,hV4,B0,1,0.001,1,0.6161820643792891
subj02,hV4,B0,2,0.001,2,0.612582442533693
subj02,hV4,B0,3,19.179102616724887,3,0.4676360863585109
subj02,hV4,B1,0,70.54802310718645,3,0.6134434198623284
subj02,hV4,B1,1,19.179102616724887,3,0.6011201171821866
subj02,hV4,B1,2,7.56463327554629,2,0.6186272491188313
subj02,hV4,B1,3,0.001,3,0.4074985795188829
subj02,ventral,B0,0,259.5024211399737,3,0.3953433171904114
subj02,ventral,B0,1,178.8649529057435,7,0.5039681225986469
subj02,ventral,B0,2,215.44346900318865,8,0.5086972296173304
subj02,ventral,B0,3,2420.1282647943835,1,0.34256297141534564
subj02,ventral,B1,0,312.57158496882414,4,0.30709664207440934
subj02,ventral,B1,1,259.5024211399737,4,0.3567735973318902
subj02,ventral,B1,2,178.8649529057435,3,0.3792904535240024
subj02,ventral,B1,3,0.001,4,0.12422531233152508
subj02,lateral,B0,0,123.28467394420684,1,0.43185800722758094
subj02,lateral,B0,1,102.35310218990269,2,0.5216724326193884
subj02,lateral,B0,2,13.219411484660315,3,0.5704251269210332
subj02,lateral,B0,3,123.28467394420684,1,0.32278829176661566
subj02,lateral,B1,0,84.97534359086455,1,0.5138605272560292
subj02,lateral,B1,1,178.8649529057435,1,0.5598304869193574
subj02,lateral,B1,2,40.37017258596558,4,0.5992830644706321
subj02,lateral,B1,3,102.35310218990269,1,0.15579845153512858
subj02,parietal,B0,0,1.4174741629268062,1,0.5252039124060102
subj02,parietal,B0,1,15.922827933410938,1,0.5136695640786239
subj02,parietal,B0,2,4.328761281083062,1,0.5690537076461064
subj02,parietal,B0,3,84.97534359086455,4,0.3434548278538423
subj02,parietal,B1,0,0.31992671377973847,1,0.29309679751362117
subj02,parietal,B1,1,0.001,1,0.2823301651137143
subj02,parietal,B1,2,0.001,1,0.4403636586899091
subj02,parietal,B1,3,58.57020818056673,5,0.06320605817618448
subj03,V1,B0,0,19.179102616724887,2,0.7639258188636553
subj03,V1,B0,1,40.37017258596558,2,0.7511767377341086
subj03,V1,B0,2,19.179102616724887,3,0.7853138144028556
subj03,V1,B0,3,19.179102616724887,3,0.7288771875933803
subj03,V1,B1,0,23.10129700083163,3,0.22020054600617123
subj03,V1,B1,1,4.328761281083062,3,0.27406582577309674
subj03,V1,B1,2,27.825594022071257,3,0.2317869342186702
subj03,V1,B1,3,19.179102616724887,1,0.5571719212053343
subj03,V2,B0,0,40.37017258596558,3,0.6700140690685634
subj03,V2,B0,1,15.922827933410938,2,0.7070805487914192
subj03,V2,B0,2,27.825594022071257,2,0.6842957735668173
subj03,V2,B0,3,9.111627561154895,4,0.5653852388729266
subj03,V2,B1,0,102.35310218990269,3,0.45061365603023457
subj03,V2,B1,1,23.10129700083163,3,0.4994721288776727
subj03,V2,B1,2,10.974987654930567,2,0.5005765497297437
subj03,V2,B1,3,19.179102616724887,4,0.5969554690683632
subj03,V3,B0,0,123.28467394420684,5,0.5793386252675322
subj03,V3,B0,1,40.37017258596558,3,0.5504483198042468
subj03,V3,B0,2,546.2277217684348,1,0.522505453644529
subj03,V3,B0,3,0.001,3,0.4155581862506679
subj03,V3,B1,0,58.57020818056673,5,0.25151490976298796
subj03,V3,B1,1,15.922827933410938,7,0.3125849350713225
subj03,V3,B1,2,7.56463327554629,3,0.2547928181633283
subj03,V3,B1,3,1.7073526474706922,3,0.2827235014883067
subj03,hV4,B0,0,19.179102616724887,1,0.555922539540548
subj03,hV4,B0,1,0.001,1,0.6227611251061428
subj03,hV4,B0,2,15.922827933410938,2,0.5626525217755307
subj03,hV4,B0,3,10.974987654930567,2,0.31549189365574853
subj03,hV4,B1,0,23.10129700083163,1,0.2908658920409537
subj03,hV4,B1,1,102.35310218990269,4,0.3171139974442085
subj03,hV4,B1,2,48.62601580065353,1,0.25520778570596847
subj03,hV4,B1,3,2.9836472402833403,4,0.19315658129158053
subj03,ventral,B0,0,312.57158496882414,7,0.31956006945160237
subj03,ventral,B0,1,178.8649529057435,2,0.32020778941551037
subj03,ventral,B0,2,3.5938136638046294,1,0.41926279998798477
subj03,ventral,B0,3,102.35310218990269,1,0.33702749293246076
subj03,ventral,B1,0,0.001,9,0.034984877176531856
subj03,ventral,B1,1,100000.0,1,0.021734033795823546
subj03,ventral,B1,2,0.001,5,0.07130232584601157
subj03,ventral,B1,3,148.49682622544665,4,0.05230965120147491
subj03,lateral,B0,0,84.97534359086455,3,0.2504156122761731
subj03,lateral,B0,1,70.54802310718645,2,0.3836076681759249
subj03,lateral,B0,2,84.97534359086455,3,0.4261928895159827
subj03,lateral,B0,3,70.54802310718645,7,0.25810988791848366
subj03,lateral,B1,0,215.44346900318865,9,0.155899245470531
subj03,lateral,B1,1,954.5484566618347,9,0.12907915066590722
subj03,lateral,B1,2,546.2277217684348,4,0.1615451058928727
subj03,lateral,B1,3,1149.756995397738,5,0.11969412709548649
subj03,parietal,B0,0,546.2277217684348,1,0.4903728669509454
subj03,parietal,B0,1,453.48785081285916,2,0.5004815602481171
subj03,parietal,B0,2,792.4828983539186,2,0.448722211694984
subj03,parietal,B0,3,0.001,1,0.3820113254908174
subj03,parietal,B1,0,123.28467394420684,1,0.4293012718545182
subj03,parietal,B1,1,0.4641588833612782,1,0.1525567484710222
subj03,parietal,B1,2,312.57158496882414,1,0.027351241257561217
subj03,parietal,B1,3,0.001,1,0.09148119152633138
subj04,V1,B0,0,100000.0,1,0.6933072860657092
subj04,V1,B0,1,100000.0,1,0.6937882912751705
subj04,V1,B0,2,2915.0530628251818,1,0.6949851406561813
subj04,V1,B0,3,27.825594022071257,4,0.4209925938920838
subj04,V1,B1,0,2915.0530628251818,2,0.5240133445225958
subj04,V1,B1,1,100000.0,1,0.5240666457604449
subj04,V1,B1,2,70.54802310718645,1,0.5495428114522097
subj04,V1,B1,3,0.001,4,0.3599199692413299
subj04,V2,B0,0,148.49682622544665,2,0.8113167940352363
subj04,V2,B0,1,178.8649529057435,1,0.804644169965319
subj04,V2,B0,2,40.37017258596558,2,0.812218065719979
subj04,V2,B0,3,27.825594022071257,3,0.4359417871615902
subj04,V2,B1,0,70.54802310718645,2,0.7357819084068057
subj04,V2,B1,1,259.5024211399737,2,0.7318799002925812
subj04,V2,B1,2,178.8649529057435,2,0.7290626435745822
subj04,V2,B1,3,40.37017258596558,3,0.4008641335901957
subj04,V3,B0,0,178.8649529057435,2,0.48438080807545997
subj04,V3,B0,1,102.35310218990269,5,0.49821497811815524
subj04,V3,B0,2,7.56463327554629,5,0.568522919609252
subj04,V3,B0,3,15.922827933410938,4,0.5170763058148543
subj04,V3,B1,0,48.62601580065353,8,0.2411451771391383
subj04,V3,B1,1,102.35310218990269,7,0.20491527382602848
subj04,V3,B1,2,0.6734150657750828,1,0.2310899670987432
subj04,V3,B1,3,33.516026509388475,6,0.4176349484475707
subj04,hV4,B0,0,2.4770763559917115,1,0.1698986815102091
subj04,hV4,B0,1,0.001,2,0.30743147394820486
subj04,hV4,B0,2,0.001,1,0.256291108990525
subj04,hV4,B0,3,0.001,5,0.3344271802405876
subj04,hV4,B1,0,0.001,10,0.03670211961734575
subj04,hV4,B1,1,15.922827933410938,4,0.1802495604529123
subj04,hV4,B1,2,0.001,4,0.07004809769124727
subj04,hV4,B1,3,0.001,3,0.13234457356039678
subj04,ventral,B0,0,215.44346900318865,1,0.30032142327273265
subj04,ventral,B0,1,376.49358067924715,1,0.2811402575578264
subj04,ventral,B0,2,0.001,1,0.415497349823189
subj04,ventral,B0,3,0.001,1,0.19980754489478603
subj04,ventral,B1,0,9.111627561154895,3,0.040498364282874684
subj04,ventral,B1,1,70.54802310718645,1,0.11495483865717884
subj04,ventral,B1,2,0.001,1,0.11258865314757013
subj04,ventral,B1,3,0.001,11,0.02995240597743666
subj04,lateral,B0,0,1384.8863713938745,1,0.2708832074476339
subj04,lateral,B0,1,657.9332246575682,1,0.269108579784299
subj04,lateral,B0,2,7.56463327554629,1,0.368013641308582
subj04,lateral,B0,3,657.9332246575682,3,0.23293384548098628
subj04,lateral,B1,0,0.001,1,0.15767515207052188
subj04,lateral,B1,1,2420.1282647943835,1,0.0716178519648775
subj04,lateral,B1,2,4229.242874389508,1,0.1096497826508776
subj04,lateral,B1,3,15.922827933410938,12,0.04016581583675701
subj04,parietal,B0,0,4229.242874389508,2,-0.005429020187230475
subj04,parietal,B0,1,0.001,12,-0.00014328220591473175
subj04,parietal,B0,2,0.001,2,0.1647840771683007
subj04,parietal,B0,3,33.516026509388475,3,-0.08744636578244554
subj04,parietal,B1,0,0.001,3,0.10209020226261607
subj04,parietal,B1,1,27185.882427329456,4,0.08279274728683195
subj04,parietal,B1,2,0.001,6,0.03364018735235801
subj04,parietal,B1,3,13.219411484660315,7,0.025276112688255914
subj05,V1,B0,0,7.56463327554629,4,0.6747383287827587
subj05,V1,B0,1,4.328761281083062,1,0.627934849391021
subj05,V1,B0,2,6.280291441834259,1,0.605896960334522
subj05,V1,B0,3,259.5024211399737,3,0.34273625420306497
subj05,V1,B1,0,2.4770763559917115,5,0.41496837661592584
subj05,V1,B1,1,13.219411484660315,5,0.49602490324661924
subj05,V1,B1,2,7.56463327554629,5,0.5189298280520132
subj05,V1,B1,3,13.219411484660315,6,0.4355876022341854
subj05,V2,B0,0,40.37017258596558,3,0.6796248104362527
