participant,ROI,D1_B0,D1_B1,B0_RAW_r,B1_RAW_r,G_B0,G_B1,RAW_loss,D1_loss,Delta_beta_sensitivity
subj01,V1,0.20282479618758842,-0.029990112494211796,0.1382785952317671,-0.0415875786380676,0.06454620095582131,0.011597466143855803,0.17986617386983472,0.23281490868180021,0.05294873481196549
subj01,V2,0.07297561890307834,0.024866183867611122,0.0822529837851508,0.0199288743419655,-0.009277364882072453,0.004937309525645622,0.0623241094431853,0.04810943503546722,-0.014214674407718078
subj01,V3,0.04738797415168152,-0.019998851129089168,0.0688167115966423,-0.0076017291615463,-0.021428737444960773,-0.012397121967542868,0.0764184407581886,0.0673868252807707,-0.009031615477417904
subj01,hV4,0.06450544529582296,-0.08879288155986648,-0.0076412760272555,-0.0198232508017162,0.07214672132307846,-0.06896963075815027,0.012181974774460702,0.15329832685568945,0.14111635208122875
subj01,lateral,0.13389997097881368,-0.076441411031173,0.1023836720795104,0.0614355024478416,0.03151629889930328,-0.1378769134790146,0.04094816963166879,0.21034138200998667,0.1693932123783179
subj01,parietal,0.1640074161486476,-0.07811174549105424,0.0783121299051197,0.0252085528967948,0.08569528624352792,-0.10332029838784904,0.053103577008324895,0.24211916163970185,0.18901558463137696
subj01,ventral,0.12075341574707144,0.0461255981464785,0.0959182674295933,0.0013299827436909,0.02483514831747813,0.0447956154027876,0.09458828468590241,0.07462781760059294,-0.019960467085309477
subj02,V1,0.2106554884939465,0.030064015358650976,0.1927487043161218,-0.0040110738468354,0.01790678417782471,0.034075089205486374,0.1967597781629572,0.18059147313529553,-0.016168305027661672
subj02,V2,0.06260193846837847,-0.000755538192907218,0.0668634829006598,-0.0496215407504932,-0.004261544432281328,0.04886600255758598,0.116485023651153,0.06335747666128569,-0.05312754698986731
subj02,V3,0.18076557216093853,0.09412162389023025,0.1585915773071838,0.0949968205556518,0.022173994853754736,-0.000875196665421546,0.06359475675153199,0.08664394827070827,0.023049191519176282
