participant,ROI,beta,fold,n_voxels,v2v_lam,v2v_rank,v2v_val,v2i_lam,v2i_rank,v2i_val,test_r,median,std,finite_frac,target_constant,prediction_constant
subj01,V1,B0,0,27,148.49682622544665,3,0.580440428892973,0.001,9,0.21403315116032623,0.17545011369100447,0.18348355130665503,0.2227544623855107,1.0,0,0
subj01,V1,B0,1,27,27.825594022071257,5,0.6235851093216291,3.5938136638046294,3,0.30430900568189856,0.17224257858957553,0.1500869040634075,0.18194879339597664,1.0,0,0
subj01,V1,B0,2,27,40.37017258596558,5,0.6167117025923073,40.37017258596558,2,0.284079976669246,0.19213059522941497,0.18498064581703025,0.21147175920042033,1.0,0,0
subj01,V1,B0,3,27,33.516026509388475,5,0.6116318635754742,33.516026509388475,2,0.20075610958103235,0.2714758972403587,0.19462395475969302,0.2080346197232556,1.0,0,0
subj01,V1,B1,0,27,123.28467394420684,5,0.41597590825425146,0.001,7,0.11130628835932367,0.08760926358000658,0.0821373153951833,0.21191431390987733,1.0,0,0
subj01,V1,B1,1,27,48.62601580065353,5,0.46569709019742556,100000.0,1,0.18131739672142627,-0.03636955362001627,-0.05225414604174838,0.1854495917478472,1.0,0,0
subj01,V1,B1,2,27,27.825594022071257,5,0.4729607511025827,0.5590810182512228,1,0.11453376994235713,-0.1073511897785125,-0.12195116779418408,0.1467460309744079,1.0,0,0
subj01,V1,B1,3,27,70.54802310718645,3,0.48696915954346937,0.8111308307896873,2,0.10181376245953994,-0.06384897015832498,-0.06802200815094622,0.14405509053342702,1.0,0,0
subj01,V2,B0,0,29,0.05994842503189412,4,0.4806228844377723,23.10129700083163,1,0.19673345419165778,0.12608260273597788,0.12460811012069378,0.16894851903580463,1.0,0,0
subj01,V2,B0,1,29,123.28467394420684,7,0.4781622365190041,100000.0,2,0.20086667723822732,0.023256682862248534,0.0014912549093525427,0.21054378960853376,1.0,0,0
subj01,V2,B0,2,29,23.10129700083163,6,0.4957789817454556,1668.100537200059,2,0.19545420456383344,0.0947868820797096,0.06809202807451159,0.1898951895331579,1.0,0,0
subj01,V2,B0,3,29,2.4770763559917115,10,0.4145016868500266,100000.0,1,0.09026998710102795,0.04777630793437736,0.07182871989012826,0.2189263372657454,1.0,0,0
subj01,V2,B1,0,29,0.001,6,0.26696910417277475,48.62601580065353,1,0.05153950579003386,0.016520483002244485,-0.05145103678680055,0.2058124325068849,1.0,0,0
subj01,V2,B1,1,29,6.280291441834259,6,0.3014807848808373,100000.0,2,-0.03768410514338123,0.011806220412910557,0.0012209848180850017,0.17300260214921032,1.0,0,0
subj01,V2,B1,2,29,9.111627561154895,7,0.3300517884122348,1668.100537200059,1,0.08150347938785109,0.00771173177234968,-0.021941516988338912,0.2271131320916437,1.0,0,0
subj01,V2,B1,3,29,40.37017258596558,9,0.4368261302145036,100000.0,2,0.061605802134431474,0.06342630028293976,0.11244418853226354,0.2054175764906858,1.0,0,0
subj01,V3,B0,0,24,312.57158496882414,1,0.345535842923228,0.049770235643321115,3,0.16491716565952425,0.07463317394473919,0.08204803564875165,0.22327130202090809,1.0,0,0
subj01,V3,B0,1,24,148.49682622544665,1,0.39409120994602814,0.00210490414451202,5,0.11608669482713896,0.06885895826839646,0.06334054465457158,0.24043222231947503,1.0,0,0
subj01,V3,B0,2,24,84.97534359086455,2,0.41227283412190147,0.001,2,0.1969948160030632,-0.0788867190759619,-0.10798993198850648,0.24399875860599116,1.0,0,0
subj01,V3,B0,3,24,312.57158496882414,1,0.35150920298966515,0.0025353644939701114,4,0.14413486836264686,0.12494648346955234,0.09429217377340181,0.204037370512873,1.0,0,0
subj01,V3,B1,0,24,102.35310218990269,7,0.0595938215417175,0.011233240329780276,8,0.17717599927780645,0.029603727384062656,-0.004092692784927455,0.19313459310098266,1.0,0,0
subj01,V3,B1,1,24,19.179102616724887,3,0.32970582609351057,2.0565123083486534,2,0.12579358978135094,0.010004208183842641,0.014854462919942564,0.1624334560916229,1.0,0,0
subj01,V3,B1,2,24,10.974987654930567,5,0.276192533409197,0.001,1,0.1030634473220214,-0.14313027883027685,-0.11119330965489378,0.1530643317094569,1.0,0,0
