participant,ROI,D1_B0,D1_B1,B0_RAW_r,B1_RAW_r,B0_img_rel,B1_img_rel,B0_vis_rel,B1_vis_rel,G_B0,G_B1,RAW_loss,D1_loss,Delta_beta_sensitivity,L_rel_img
subj01,V1,0.20282479618758842,-0.029990112494211796,0.1382785952317671,-0.0415875786380676,0.2967807527072312,0.1435404278523665,0.6515298689482734,0.595855773498659,0.06454620095582131,0.011597466143855803,0.17986617386983472,0.23281490868180021,0.05294873481196549,0.1532403248548647
subj01,V2,0.07297561890307834,0.024866183867611122,0.0822529837851508,0.0199288743419655,0.3176506119934424,0.2047566842548327,0.5841472041710014,0.4745791172456284,-0.009277364882072453,0.004937309525645622,0.0623241094431853,0.04810943503546722,-0.014214674407718078,0.1128939277386097
subj01,V3,0.04738797415168152,-0.019998851129089168,0.0688167115966423,-0.0076017291615463,0.2788996610503264,0.1204634003524482,0.5100567353185311,0.3617943527368923,-0.021428737444960773,-0.012397121967542868,0.0764184407581886,0.0673868252807707,-0.009031615477417904,0.1584362606978782
subj01,hV4,0.06450544529582296,-0.08879288155986648,-0.0076412760272555,-0.0198232508017162,0.1272507778296477,0.0677835403628359,0.3426249916734551,0.2402065551194114,0.07214672132307846,-0.06896963075815027,0.012181974774460702,0.15329832685568945,0.14111635208122875,0.05946723746681179
subj01,lateral,0.13389997097881368,-0.076441411031173,0.1023836720795104,0.0614355024478416,0.1815765680784612,0.0625761850382267,0.3107013911924566,0.1568655181647608,0.03151629889930328,-0.1378769134790146,0.04094816963166879,0.21034138200998667,0.1693932123783179,0.1190003830402345
subj01,parietal,0.1640074161486476,-0.07811174549105424,0.0783121299051197,0.0252085528967948,0.5138906335348673,0.3871646037150639,0.2851166920455788,0.1775274526672936,0.08569528624352792,-0.10332029838784904,0.053103577008324895,0.24211916163970185,0.18901558463137696,0.1267260298198034
subj01,ventral,0.12075341574707144,0.0461255981464785,0.0959182674295933,0.0013299827436909,0.2403801802367005,0.086164607724294,0.2629162498810079,0.1545875233931231,0.02483514831747813,0.0447956154027876,0.09458828468590241,0.07462781760059294,-0.019960467085309477,0.15421557251240647
subj02,V1,0.2106554884939465,0.030064015358650976,0.1927487043161218,-0.0040110738468354,0.2600254344475356,0.1956766767127971,0.572172038203765,0.5786690375541746,0.01790678417782471,0.034075089205486374,0.1967597781629572,0.18059147313529553,-0.016168305027661672,0.06434875773473853
subj02,V2,0.06260193846837847,-0.000755538192907218,0.0668634829006598,-0.0496215407504932,0.2784925124024518,0.1784859083297002,0.5494257022773602,0.5674748986826411,-0.004261544432281328,0.04886600255758598,0.116485023651153,0.06335747666128569,-0.05312754698986731,0.10000660407275161
subj02,V3,0.18076557216093853,0.09412162389023025,0.1585915773071838,0.0949968205556518,0.2240154198291185,0.1572901643403383,0.5006365606982616,0.5330173772748649,0.022173994853754736,-0.000875196665421546,0.06359475675153199,0.08664394827070827,0.023049191519176282,0.0667252554887802
subj02,hV4,0.11599227850855573,-0.0016886063662391298,0.2243002239965221,-0.0165061386062492,0.2835409848495536,0.3326783112882237,0.4141146655497973,0.4553660229014765,-0.10830794548796638,0.01481753224001007,0.2408063626027713,0.11768088487479486,-0.12312547772797644,-0.04913732643867014
subj02,lateral,0.20616502572546994,0.014503518710073552,0.1948459102704993,0.0156984396731481,0.2766875266929024,0.1594261425834431,0.2082870015538425,0.175551792289341,0.011319115454970635,-0.0011949209630745493,0.1791474705973512,0.1916615070153964,0.012514036418045188,0.11726138410945933
subj02,parietal,0.18505103726901942,-0.01672191083979805,0.1965796655641493,0.0537018306247243,0.4503733094052655,0.2691249001800315,0.3886359906034721,0.2647233298226811,-0.011528628295129878,-0.07042374146452235,0.142877834939425,0.20177294810881746,0.05889511316939247,0.181248409225234
subj02,ventral,0.15908072011345764,0.0943161562319928,0.1833872430042363,0.0877619062591678,0.2679322076063337,0.13425018387733,0.302197493391575,0.2113833728598408,-0.02430652289077867,0.006554249972824999,0.09562533674506851,0.06476456388146484,-0.03086077286360367,0.13368202372900367
subj03,V1,0.4276178347513524,0.025597138306905944,0.3775176578206591,0.0147957253367582,0.2089591368636493,0.0568210175389096,0.5721675685684507,0.3835314438010321,0.050100176930693296,0.010801412970147743,0.3627219324839009,0.40202069644444643,0.039298763960545546,0.1521381193247397
subj03,V2,0.21079899788366208,-0.05547596474005555,0.1276604946910083,0.0141975185991779,0.1352876748624978,0.0580609247235337,0.5611893094617352,0.5041588582645913,0.08313850319265378,-0.06967348333923344,0.1134629760918304,0.26627496262371764,0.15281198653188724,0.0772267501389641
subj03,V3,0.15806535830904428,0.012749171759986726,0.2404631473872539,0.0427319343191282,0.2327520558402673,0.083348386700631,0.5003289678438921,0.3084280924766582,-0.08239778907820963,-0.029982762559141476,0.19773121306812572,0.14531618654905756,-0.05241502651906815,0.14940366913963632
subj03,hV4,0.18995640171852293,0.10384475729476705,0.1874369040761617,-0.027483659684109,0.1521129609394674,0.0922311399165967,0.3595744839060769,0.2898038759899464,0.002519497642361229,0.13132841697887604,0.2149205637602707,0.08611164442375588,-0.1288089193365148,0.05988182102287071
subj03,lateral,0.08009417147138176,-0.08820195069628614,0.12452667896297,0.0161058108054254,0.2010777967239153,0.0989363958044036,0.2720615217099077,0.1370993908931268,-0.04443250749158824,-0.10430776150171155,0.10842086815754459,0.1682961221676679,0.05987525401012331,0.1021414009195117
subj03,parietal,0.21966042865160493,0.013599976113047783,0.2535380106014601,-0.0817476173145425,0.246320822799351,0.0752683721208692,0.2250675994515144,0.0897656179303383,-0.03387758194985516,0.09534759342759028,0.3352856279160026,0.20606045253855715,-0.12922517537744543,0.1710524506784818
subj03,ventral,0.10231021381827488,-0.021150981034441504,0.118481769684039,0.0439245407659318,0.1369178859325378,0.0518194986075936,0.2340800178239338,0.103109480244235,-0.01617155586576413,-0.0650755218003733,0.0745572289181072,0.12346119485271638,0.048903965934609175,0.08509838732494418
subj04,V1,0.016762634857577174,0.0027366377975940642,0.2388332861018519,0.0092532003322959,0.1737389631702431,0.0844808512074017,0.6096438044914976,0.4814886737481825,-0.22207065124427472,-0.006516562534701837,0.229580085769556,0.01402599705998311,-0.21555408870957288,0.08925811196284139
subj04,V2,0.21972118481753866,0.05443441373227474,0.1536966798552126,-0.0215290465200684,0.0996260484417213,0.0321223449905768,0.5318759442293196,0.4390501188962454,0.06602450496232606,0.07596346025234314,0.175225726375281,0.1652867710852639,-0.009938955290017093,0.0675037034511445
subj04,V3,0.25066457867057645,-0.00999298918038722,0.246098892264789,0.0905644851688913,0.2288845495703364,0.0986804850739471,0.4915568322439434,0.3606561543797614,0.004565686405787445,-0.10055747434927853,0.15553440709589772,0.26065756785096367,0.10512316075506595,0.13020406449638933
subj04,hV4,-0.02476325140208549,-0.005023970424677297,0.1301315960201719,0.0490296661566676,0.0773912322453855,0.0647447878552719,0.3863729099490835,0.2232811028678995,-0.1548948474222574,-0.0540536365813449,0.08110192986350431,-0.019739280977408194,-0.1008412108409125,0.012646444390113601
subj04,lateral,0.07511023313994611,0.08704079234395863,0.0835425829288591,0.0193187929577676,0.1665199257120201,0.0418861058822239,0.2292322682139153,0.0980112635880643,-0.008432349788912996,0.06772199938619103,0.0642237899710915,-0.011930559204012522,-0.07615434917510402,0.1246338198297962
subj04,parietal,0.13188779563963368,-0.055497799249379795,0.0278857099890339,-0.0898776977998199,0.2162873499358126,0.0732962833211613,0.2501561809204715,0.1142300080332677,0.10400208565059978,0.0343798985504401,0.1177634077888538,0.18738559488901346,0.06962218710015966,0.14299106661465133
subj04,ventral,0.17188926699655963,-0.02272236055636094,0.1527028463129513,0.0016367156790603,0.2453145503163146,0.0909121603927771,0.2646880421480524,0.173670561224017,0.01918642068360832,-0.024359076235421242,0.15106613063389102,0.19461162755292055,0.043545496919029536,0.1544023899235375
subj05,V1,0.324695654296121,-0.12778683320791542,0.3422875119239318,-0.1448780066824354,0.1971345667899142,0.1277357266558933,0.5038707239866546,0.4809399209431528,-0.017591857627810792,0.017091173474519966,0.4871655186063672,0.4524824875040364,-0.034683031102330786,0.0693988401340209
subj05,V2,0.2900908284775867,0.08453919201937528,0.2487594281392282,-0.053706008706896,0.1761422024283092,0.0847411576361039,0.6043203552378276,0.5541546108600285,0.041331400338358526,0.13824520072627128,0.3024654368461242,0.20555163645821145,-0.09691380038791275,0.09140104479220529
subj05,V3,0.2345887805648486,0.04661715399304267,0.1565067401026533,0.0100455834744815,0.2114543401756755,0.0865678725464195,0.5456361406901297,0.4714858917977835,0.0780820404621953,0.03657157051856117,0.1464611566281718,0.18797162657180594,0.04151046994363414,0.124886467629256
subj05,hV4,0.1042620361194667,0.006539492521210336,0.1184198384998872,-0.0359331364821928,0.1719993486010588,0.0884098606715962,0.3262052376701917,0.1961105088273814,-0.014157802380420498,0.04247262900340314,0.15435297498208,0.09772254359825637,-0.056630431383823635,0.08358948792946261
subj05,lateral,0.05027480028864839,-0.01489758754472038,0.0736639071373455,0.0298978299736774,0.1050465702982841,0.0332190750963317,0.2373965104558183,0.1658658733209622,-0.023389106848697105,-0.04479541751839778,0.04376607716366809,0.06517238783336878,0.02140631066970068,0.07182749520195239
subj05,parietal,0.09648784707575157,0.06562892045583225,0.1025325434776494,0.0333184822320541,0.3365062282963273,0.2093574002013026,0.282187520748093,0.209495861420042,-0.006044696401897823,0.03231043822377815,0.06921406124559529,0.03085892661991932,-0.03835513462567597,0.1271488280950247
subj05,ventral,0.09063372835150774,0.037620003890506605,0.1025618692466373,-0.0080652813869082,0.1446530023517664,0.0634043583669976,0.3159020110023924,0.1919101763522207,-0.011928140895129558,0.045685285277414805,0.1106271506335455,0.05301372446100113,-0.05761342617254437,0.08124864398476879
subj06,V1,-0.13130143426551313,-0.11877219061500764,-0.130730881936756,-0.1016377496283068,0.1324901472156246,0.0706153647611028,0.5512193071217986,0.4745021722268401,-0.0005705523287571346,-0.017134440986700847,-0.029093132308449204,-0.012529243650505492,0.016563888657943712,0.0618747824545218
subj06,V2,-0.03088584478876131,-0.003208168896648933,-0.0274251293151929,0.0023182337806352,0.1241130470044871,0.0785083722799927,0.5753610199594515,0.523226846827172,-0.00346071547356841,-0.005526402677284133,-0.029743363095828097,-0.027677675892112376,0.0020656872037157215,0.04560467472449439
subj06,V3,0.030908416996882293,-0.007440133633700451,0.0932744011491677,-0.0799601832913637,0.168680478657171,0.0544284641211907,0.4723154071086485,0.3248287066110476,-0.062365984152285406,0.07252004965766325,0.17323458444053141,0.03834855063058275,-0.13488603380994868,0.1142520145359803
subj06,hV4,0.13586157992125067,0.08786369281319527,0.0211942615447757,-0.0123016317175306,0.1552235584160717,0.0637046411635916,0.4064567116059022,0.3047881215842651,0.11466731837647497,0.10016532453072587,0.0334958932623063,0.0479978871080554,0.0145019938457491,0.09151891725248008
subj06,lateral,0.18850015882621757,0.012529590289031814,0.2622962135798786,-0.0158376104494903,0.1541607382722369,0.0404105861574256,0.2767065098567053,0.146482693611428,-0.07379605475366102,0.028367200738522114,0.27813382402936887,0.17597056853718576,-0.10216325549218311,0.11375015211481129
subj06,parietal,0.12973762283691265,-0.17373958006105641,0.2246628108389389,0.0218498326032639,0.2706270610824937,0.1140303055380216,0.2954415870398016,0.1745349696254942,-0.09492518800202626,-0.1955894126643203,0.202812978235675,0.3034772028979691,0.10066422466229408,0.15659675554447208
subj06,ventral,0.18125437286831186,0.06988012393755264,0.213284344402748,-0.0499763269742139,0.1965371760521693,0.0536081997232984,0.3239782827753775,0.1619255848941282,-0.032029971534436125,0.11985645091176653,0.2632606713769619,0.11137424893075923,-0.15188642244620268,0.14292897632887092
subj07,V1,-0.07238630848276004,0.06514638891869363,-0.0297575137108137,0.0934955508520874,0.0893513313579508,0.103810665431194,0.4690821749973111,0.4068702542468339,-0.04262879477194634,-0.028349161933393763,-0.1232530645629011,-0.13753269740145369,-0.014279632838552589,-0.014459334073243194
subj07,V2,-0.06566715362612563,0.03145131143660243,-0.0042922040327016,0.0350640597042804,0.1051665159978992,0.0662747162214578,0.508177335886839,0.4784812480821052,-0.06137494959342403,-0.003612748267677969,-0.039356263736982,-0.09711846506272806,-0.05776220132574606,0.0388917997764414
subj07,V3,-0.004974306812192075,0.01683487279410948,-0.0625614438926955,0.0409481641973153,0.1270746282150953,0.062707442090392,0.4388924322899714,0.4408834805305689,0.05758713708050342,-0.024113291403205818,-0.1035096080900108,-0.021809179606301556,0.08170042848370923,0.0643671861247033
subj07,hV4,-0.05603278565584628,-0.054756970814296126,-0.0782462085796615,-0.0452248609190316,0.0577301484724254,0.0703290479792659,0.3265935928551092,0.3672129168432245,0.022213422923815215,-0.009532109895264526,-0.0330213476606299,-0.001275814841550156,0.03174553281907974,-0.012598899506840497
subj07,lateral,-0.006722436077914212,-0.00177041881291404,0.0031031152474621,0.0205639856000089,0.1619972503984692,0.0250799219792324,0.1770678253385648,0.1131825803309073,-0.009825551325376311,-0.02233440441292294,-0.0174608703525468,-0.0049520172650001715,0.01250885308754663,0.13691732841923682
subj07,parietal,-0.025878661280995707,-0.02185119601203187,0.0388585165482347,-0.008120667174738,0.1403913735406864,0.0630696346982274,0.0986819281823132,0.1333903435283684,-0.06473717782923041,-0.013730528837293868,0.0469791837229727,-0.004027465268963838,-0.05100664899193654,0.07732173884245899
subj07,ventral,0.09057134171906106,-0.011315812079136268,0.0412488404433617,0.0456915683241945,0.0984819993020556,0.0292599475322363,0.2139728478166814,0.186905248600808,0.04932250127569936,-0.05700738040333077,-0.004442727880832796,0.10188715379819732,0.10632988167903012,0.0692220517698193
subj08,V1,0.1286430215199722,-0.03206280659975928,0.1510790031298635,0.0316968628621045,0.0794287255578941,0.0097424289935068,0.5374581250888738,0.4653527306249348,-0.022435981609891298,-0.06375966946186379,0.11938214026775901,0.1607058281197315,0.04132368785197249,0.0696862965643873
subj08,V2,0.06999430962701766,-0.04377573012620982,0.0912347827612152,-0.0015521251837506,0.0690964102368092,0.0197334632627219,0.5427689246280352,0.4970340670690694,-0.021240473134197538,-0.04222360494245922,0.0927869079449658,0.11377003975322748,0.020983131808261682,0.049362946974087295
subj08,V3,0.16000603762073962,-0.044259092226031596,0.1424155887219668,-0.0641774647917118,0.0608098101965013,0.0009724073831118,0.5396194531273241,0.4013207357850097,0.017590448898772815,0.0199183725656802,0.2065930535136786,0.2042651298467712,-0.0023279236669074,0.0598374028133895
subj08,hV4,0.2831990325225447,-0.0074880972177686165,0.2475424257854364,-0.0435613053938109,0.036277965773479,-0.015005083622652,0.4856396573803587,0.3628564324850837,0.0356566067371083,0.03607320817604229,0.2911037311792473,0.2906871297403133,-0.0004166014389340167,0.051283049396131
