ROI,target_subject,identity_fold,vis_img_mean_sq_cos,vis_img_min_cos,vis_img_max_angle,cross_state_overlap
ventral,subj01,0,0.2168120145797729,0.0455411188304424,87.38977813720703,0.2168120443820953
ventral,subj01,1,0.2078543603420257,0.0312049090862274,88.2117919921875,0.2078543901443481
ventral,subj01,2,0.2149710655212402,0.0054803919047117,89.68599700927734,0.2149710357189178
ventral,subj01,3,0.2050892561674118,0.0394820049405097,87.73725128173828,0.2050892412662506
ventral,subj01,4,0.2237860858440399,0.0227512903511524,88.69633483886719,0.2237860858440399
ventral,subj01,5,0.21847864985466,0.0582391805946826,86.66124725341797,0.21847864985466
ventral,subj02,0,0.213519811630249,0.0249718390405178,88.5690689086914,0.2135197818279266
ventral,subj02,1,0.2232494354248047,0.0302653815597295,88.2656478881836,0.223249465227127
ventral,subj02,2,0.1923101842403412,0.0375532433390617,87.84784698486328,0.1923101842403412
ventral,subj02,3,0.2265064716339111,0.0264130998402833,88.48646545410156,0.2265065163373947
ventral,subj02,4,0.2117390632629394,0.026088498532772,88.50506591796875,0.211739033460617
ventral,subj02,5,0.2166638821363449,0.0513623990118503,87.05585479736328,0.2166639119386673
ventral,subj03,0,0.2348145246505737,0.0147184506058692,89.15666198730469,0.2348145246505737
ventral,subj03,1,0.2051899135112762,0.0135174272581934,89.22547912597656,0.2051899433135986
ventral,subj03,2,0.2196297645568847,0.0187698863446712,88.92449188232422,0.2196297347545623
ventral,subj03,3,0.2220017164945602,0.0230840221047401,88.67726135253906,0.2220017164945602
ventral,subj03,4,0.2123875617980957,0.0102841779589653,89.4107437133789,0.2123875319957733
ventral,subj03,5,0.2136341035366058,0.0795391649007797,85.43791961669922,0.2136341035366058
ventral,subj04,0,0.2320304661989212,0.0283743441104888,88.3740463256836,0.2320304661989212
ventral,subj04,1,0.188306987285614,0.0219068601727485,88.7447280883789,0.188306987285614
ventral,subj04,2,0.2266082465648651,0.0134775834158062,89.2277603149414,0.2266082465648651
ventral,subj04,3,0.2403164356946945,0.007710890378803,89.55818939208984,0.2403164356946945
ventral,subj04,4,0.194408044219017,0.0382633209228515,87.80712890625,0.1944080293178558
ventral,subj04,5,0.2197707593441009,0.0089920153841376,89.48477935791016,0.2197707593441009
ventral,subj05,0,0.2081704437732696,0.1153351292014122,83.37704467773438,0.2081704139709472
ventral,subj05,1,0.1852812767028808,0.0061288946308195,89.6488265991211,0.185281291604042
ventral,subj05,2,0.191617801785469,0.0270847398787736,88.44796752929688,0.1916177719831466
ventral,subj05,3,0.1880690604448318,0.0469735153019428,87.3076171875,0.1880690157413482
ventral,subj05,4,0.2068899422883987,0.0745978280901908,85.72187805175781,0.2068899422883987
ventral,subj05,5,0.2217569053173065,0.0483813732862472,87.22686767578125,0.2217569053173065
ventral,subj06,0,0.199260801076889,0.0400533787906169,87.7044906616211,0.1992607712745666
ventral,subj06,1,0.1913994401693344,0.0187006331980228,88.928466796875,0.1913994401693344
ventral,subj06,2,0.1980905830860138,0.0028953743167221,89.83409881591797,0.198090597987175
ventral,subj06,3,0.2114984095096588,0.0272402483969926,88.43905639648438,0.2114984542131424
ventral,subj06,4,0.184166818857193,0.019455561414361,88.88520050048828,0.1841667890548706
ventral,subj06,5,0.2211439907550811,0.0315271131694316,88.19332122802734,0.2211439907550811
ventral,subj07,0,0.2344692498445511,0.0953295081853866,84.52971649169922,0.2344692200422287
ventral,subj07,1,0.1919478923082351,0.0457894392311573,87.37554168701172,0.1919478923082351
ventral,subj07,2,0.2489932775497436,0.0004145552229601,89.97624206542969,0.2489932775497436
ventral,subj07,3,0.2216070592403412,0.0673796832561492,86.1364974975586,0.2216070592403412
ventral,subj07,4,0.2229012995958328,0.0266307704150676,88.47398376464844,0.2229012995958328
ventral,subj07,5,0.1738438010215759,0.0041848514229059,89.76021575927734,0.1738438010215759
ventral,subj08,0,0.1660495549440384,0.0421547517180442,87.58399200439453,0.1660495549440384
ventral,subj08,1,0.1583595275878906,0.0237148962914943,88.64110565185547,0.158359557390213
ventral,subj08,2,0.1722358614206314,0.0071400715969502,89.59089660644531,0.1722358763217926
ventral,subj08,3,0.1528421640396118,0.0390626043081283,87.76129913330078,0.152842178940773
ventral,subj08,4,0.1280601322650909,0.0091074267402291,89.4781723022461,0.1280601322650909
ventral,subj08,5,0.1684063971042633,0.0456938035786151,87.38101959228516,0.1684063971042633
lateral,subj01,0,0.1963032186031341,0.0261487644165754,88.5016098022461,0.1963032186031341
lateral,subj01,1,0.1834484934806823,0.0022601804230362,89.87049865722656,0.1834484934806823
lateral,subj01,2,0.1847597360610962,0.0567194372415542,86.74846649169922,0.1847597509622573
lateral,subj01,3,0.1956174075603485,0.0301365442574024,88.27304077148438,0.1956174224615097
lateral,subj01,4,0.1778852343559265,0.005227212794125,89.70049285888672,0.1778852194547653
lateral,subj01,5,0.1761079728603363,0.0277074053883552,88.41226959228516,0.1761079728603363
lateral,subj02,0,0.2291869670152664,0.0130926966667175,89.24981689453125,0.2291869670152664
lateral,subj02,1,0.2552698850631714,0.0119439428672194,89.31564331054688,0.2552698850631714
lateral,subj02,2,0.2491941452026367,0.0041196108795702,89.76396179199219,0.2491941154003143
lateral,subj02,3,0.2274401634931564,0.0013678426621481,89.92162322998047,0.2274401634931564
lateral,subj02,4,0.2520759701728821,0.0220068600028753,88.7389907836914,0.2520759701728821
lateral,subj02,5,0.2097988128662109,0.0085119847208261,89.51229095458984,0.2097987830638885
lateral,subj03,0,0.1883339136838913,0.0024216945748776,89.86124420166016,0.1883338987827301
lateral,subj03,1,0.1989967077970504,0.0307028591632843,88.2405776977539,0.1989966928958892
lateral,subj03,2,0.2013263255357742,0.0192317944020032,88.89802551269531,0.2013263255357742
lateral,subj03,3,0.1994534432888031,0.0490269102156162,87.18983459472656,0.1994534432888031
lateral,subj03,4,0.2077914029359817,0.0240096673369407,88.62421417236328,0.2077913731336593
lateral,subj03,5,0.1953030973672866,0.0040069431997835,89.77041625976562,0.1953030973672866
lateral,subj04,0,0.2249691784381866,0.0419234596192836,87.59725189208984,0.2249691486358642
lateral,subj04,1,0.2143407315015792,0.003405840601772,89.80485534667969,0.2143407613039016
lateral,subj04,2,0.1952264159917831,0.025000762194395,88.5674057006836,0.1952264159917831
lateral,subj04,3,0.2174813002347946,0.0145608633756637,89.16568756103516,0.217481330037117
lateral,subj04,4,0.1938671916723251,0.0100186597555875,89.42596435546875,0.1938672065734863
