ROI,target_subject,identity_fold,K,R_Y_SRM,R_X_SRM,R_Y_VISFULL,R_X_VISFULL,SRM_truncation_loss,cross_state_span_loss,outside_visual_fraction,R_Y_VIS_at_O2K,R_Y_VIS_full,delta_retention_unused
ventral,subj01,0,2,0.0799072235822677,0.5187540054321289,0.230914369225502,0.582362949848175,0.1510071456432342,0.769085630774498,0.769085630774498,0.1038317829370498,0.230914369225502,0.1270825862884521
ventral,subj01,1,2,0.000680276483763,0.5043226480484009,0.1592447310686111,0.5631648898124695,0.1585644545848481,0.8407552689313889,0.8407552689313889,0.0121548641473054,0.1592447310686111,0.1470898669213056
ventral,subj01,2,2,0.0105235436931252,0.4884906113147735,0.1624671369791031,0.6500629782676697,0.1519435932859778,0.8375328630208969,0.8375328630208969,0.0140396365895867,0.1624671369791031,0.1484275003895163
ventral,subj01,3,2,0.0229273289442062,0.2175249755382537,0.2765905559062958,0.5361056327819824,0.2536632269620895,0.7234094440937042,0.7234094440937042,0.0358685441315174,0.2765905559062958,0.2407220117747783
ventral,subj01,4,2,0.1730308979749679,0.645995557308197,0.2255265265703201,0.7449175715446472,0.0524956285953521,0.7744734734296799,0.7744734734296799,0.1867961287498474,0.2255265265703201,0.0387303978204727
ventral,subj01,5,2,0.3454755246639251,0.6261807680130005,0.4781827628612518,0.7360641956329346,0.1327072381973266,0.5218172371387482,0.5218172371387482,0.3588927984237671,0.4781827628612518,0.1192899644374847
ventral,subj02,0,2,0.1977081596851349,0.5644822716712952,0.3045645654201507,0.7058011293411255,0.1068564057350158,0.6954354345798492,0.6954354345798492,0.2004782408475875,0.3045645654201507,0.1040863245725631
ventral,subj02,1,2,0.2321021854877472,0.4886807799339294,0.4685466289520263,0.8271862268447876,0.2364444434642791,0.5314533710479736,0.5314533710479736,0.2292588651180267,0.4685466289520263,0.2392877638339996
ventral,subj02,2,2,0.0033552323002368,0.4431034922599792,0.1603590101003646,0.5457198619842529,0.1570037778001278,0.8396409898996353,0.8396409898996353,0.0051778648048639,0.1603590101003646,0.1551811452955007
ventral,subj02,3,2,0.1498227417469024,0.5538437962532043,0.2847766280174255,0.770698606967926,0.134953886270523,0.7152233719825745,0.7152233719825745,0.1440500319004058,0.2847766280174255,0.1407265961170196
ventral,subj02,4,2,0.1135148853063583,0.6380758881568909,0.2477108091115951,0.8437712788581848,0.1341959238052368,0.7522891908884048,0.7522891908884048,0.0990225374698638,0.2477108091115951,0.1486882716417312
ventral,subj02,5,2,0.1001216322183609,0.7492484450340271,0.3212471306324005,0.8028922080993652,0.2211254984140396,0.6787528693675995,0.6787528693675995,0.0969680771231651,0.3212471306324005,0.2242790535092353
ventral,subj03,0,2,0.1408137679100036,0.7502468228340149,0.2589738965034485,0.7979551553726196,0.1181601285934448,0.7410261034965515,0.7410261034965515,0.1531451642513275,0.2589738965034485,0.1058287322521209
ventral,subj03,1,2,0.2813188731670379,0.8080522418022156,0.4774630665779114,0.8313230276107788,0.1961441934108734,0.5225369334220886,0.5225369334220886,0.2738333940505981,0.4774630665779114,0.2036296725273132
ventral,subj03,2,2,0.1258778274059295,0.5467206239700317,0.2374612540006637,0.6236698031425476,0.1115834265947341,0.7625387459993362,0.7625387459993362,0.1255032271146774,0.2374612540006637,0.1119580268859863
ventral,subj03,3,2,0.0174014195799827,0.5425940155982971,0.2824630737304687,0.6394776701927185,0.265061654150486,0.7175369262695312,0.7175369262695312,0.0176105815917253,0.2824630737304687,0.2648524921387434
ventral,subj03,4,2,0.1173635870218277,0.8067224621772766,0.2473603636026382,0.8400131464004517,0.1299967765808105,0.7526396363973618,0.7526396363973618,0.1145501807332038,0.2473603636026382,0.1328101828694343
ventral,subj03,5,2,0.0341813154518604,0.5936330556869507,0.0756751522421836,0.6373801231384277,0.0414938367903232,0.9243248477578164,0.9243248477578164,0.0332404412329196,0.0756751522421836,0.0424347110092639
ventral,subj04,0,2,0.0445356741547584,0.6191526651382446,0.2183969467878341,0.6954860687255859,0.1738612726330757,0.7816030532121658,0.7816030532121658,0.057296622544527,0.2183969467878341,0.1611003242433071
ventral,subj04,1,2,0.0052684205584228,0.704221248626709,0.2462782263755798,0.8332366347312927,0.241009805817157,0.7537217736244202,0.7537217736244202,0.0209547784179449,0.2462782263755798,0.2253234479576349
ventral,subj04,2,2,0.0636602640151977,0.7420908808708191,0.2481590360403061,0.7938167452812195,0.1844987720251083,0.7518409639596939,0.7518409639596939,0.0602497234940528,0.2481590360403061,0.1879093125462532
ventral,subj04,3,2,0.018694132566452,0.6662058234214783,0.1407095938920974,0.7255952954292297,0.1220154613256454,0.8592904061079025,0.8592904061079025,0.0175530742853879,0.1407095938920974,0.1231565196067094
ventral,subj04,4,2,0.2353589832782745,0.6940785050392151,0.3196091949939728,0.7512964606285095,0.0842502117156982,0.6803908050060272,0.6803908050060272,0.2434780001640319,0.3196091949939728,0.0761311948299408
ventral,subj04,5,2,0.0073554497212171,0.7039056420326233,0.1812813729047775,0.7905189990997314,0.1739259231835603,0.8187186270952225,0.8187186270952225,0.0073466501198709,0.1812813729047775,0.1739347227849066
ventral,subj05,0,2,0.0268261842429637,0.3502527177333832,0.1262137442827224,0.4184492826461792,0.0993875600397586,0.8737862557172775,0.8737862557172775,0.0276462286710739,0.1262137442827224,0.0985675156116485
ventral,subj05,1,2,0.1851273775100708,0.427022248506546,0.582416296005249,0.6009361147880554,0.3972889184951782,0.417583703994751,0.417583703994751,0.2269209921360016,0.582416296005249,0.3554953038692474
ventral,subj05,2,2,0.0333929657936096,0.312150627374649,0.1531783193349838,0.5026394128799438,0.1197853535413742,0.8468216806650162,0.8468216806650162,0.036907710134983,0.1531783193349838,0.1162706092000007
ventral,subj05,3,2,0.0139369340613484,0.5676158666610718,0.2144611030817031,0.6199396252632141,0.2005241690203547,0.7855388969182968,0.7855388969182968,0.0197920612990856,0.2144611030817031,0.1946690417826175
ventral,subj05,4,2,0.0620910488069057,0.6657148003578186,0.147663727402687,0.722442090511322,0.0855726785957813,0.8523362725973129,0.8523362725973129,0.0635966137051582,0.147663727402687,0.0840671136975288
ventral,subj05,5,2,0.0258212760090827,0.5356994867324829,0.1273261606693267,0.6141260266304016,0.1015048846602439,0.8726738393306732,0.8726738393306732,0.0272356998175382,0.1273261606693267,0.1000904608517885
ventral,subj06,0,2,0.2156199514865875,0.5977094173431396,0.4868403673171997,0.7486117482185364,0.2712204158306122,0.5131596326828003,0.5131596326828003,0.2651016414165497,0.4868403673171997,0.22173872590065
ventral,subj06,1,2,0.1987236738204956,0.6541813611984253,0.2998006641864776,0.7764027714729309,0.101076990365982,0.7001993358135223,0.7001993358135223,0.2203899770975113,0.2998006641864776,0.0794106870889663
ventral,subj06,2,2,0.2201136797666549,0.5206890106201172,0.4696460664272308,0.6770555377006531,0.2495323866605758,0.5303539335727692,0.5303539335727692,0.2869265079498291,0.4696460664272308,0.1827195584774017
ventral,subj06,3,2,0.0879345163702964,0.5639278292655945,0.2269778549671173,0.6251369118690491,0.1390433385968208,0.7730221450328827,0.7730221450328827,0.1120432913303375,0.2269778549671173,0.1149345636367797
ventral,subj06,4,2,0.167641595005989,0.6103591322898865,0.3889476656913757,0.6677073836326599,0.2213060706853866,0.6110523343086243,0.6110523343086243,0.2253814786672592,0.3889476656913757,0.1635661870241165
ventral,subj06,5,2,0.1858605593442917,0.4323543906211853,0.4151031076908111,0.5140969753265381,0.2292425483465194,0.5848968923091888,0.5848968923091888,0.2276681363582611,0.4151031076908111,0.18743497133255
ventral,subj07,0,2,0.0927719101309776,0.3680115640163421,0.1530346423387527,0.5981735587120056,0.0602627322077751,0.8469653576612473,0.8469653576612473,0.0990036651492118,0.1530346423387527,0.0540309771895408
ventral,subj07,1,2,0.073981799185276,0.4564883708953857,0.3166248798370361,0.5997326374053955,0.2426430806517601,0.6833751201629639,0.6833751201629639,0.0186694394797086,0.3166248798370361,0.2979554403573274
ventral,subj07,2,2,0.0509643033146858,0.1105248406529426,0.2792076766490936,0.5561141967773438,0.2282433733344078,0.7207923233509064,0.7207923233509064,0.0545379929244518,0.2792076766490936,0.2246696837246418
ventral,subj07,3,2,0.1092918440699577,0.284413993358612,0.2577691674232483,0.6098127961158752,0.1484773233532905,0.7422308325767517,0.7422308325767517,0.1117841526865959,0.2577691674232483,0.1459850147366523
ventral,subj07,4,2,0.0632629096508026,0.4728168845176697,0.2121167331933975,0.5814340710639954,0.1488538235425949,0.7878832668066025,0.7878832668066025,0.0679555311799049,0.2121167331933975,0.1441612020134925
ventral,subj07,5,2,0.0376337654888629,0.513405442237854,0.1520191729068756,0.6713933944702148,0.1143854074180126,0.8479808270931244,0.8479808270931244,0.0636506006121635,0.1520191729068756,0.088368572294712
ventral,subj08,0,2,0.1063726767897605,0.378460943698883,0.3477926254272461,0.4843762218952179,0.2414199486374855,0.6522073745727539,0.6522073745727539,0.1294452846050262,0.3477926254272461,0.2183473408222198
ventral,subj08,1,2,0.07724629342556,0.5739967823028564,0.2239084094762802,0.7065097689628601,0.1466621160507202,0.7760915905237198,0.7760915905237198,0.0996192917227745,0.2239084094762802,0.1242891177535057
ventral,subj08,2,2,0.1703657209873199,0.4099538624286651,0.4114064276218414,0.4836156666278839,0.2410407066345214,0.5885935723781586,0.5885935723781586,0.1935575455427169,0.4114064276218414,0.2178488820791244
ventral,subj08,3,2,0.1991546303033828,0.4826498031616211,0.4134485125541687,0.5453653335571289,0.2142938822507858,0.5865514874458313,0.5865514874458313,0.2299149185419082,0.4134485125541687,0.1835335940122604
ventral,subj08,4,2,0.1796078085899353,0.7340994477272034,0.262185662984848,0.7588348388671875,0.0825778543949127,0.737814337015152,0.737814337015152,0.198831632733345,0.262185662984848,0.0633540302515029
ventral,subj08,5,2,0.0994053184986114,0.3371674120426178,0.2249571532011032,0.4511867165565491,0.1255518347024917,0.7750428467988968,0.7750428467988968,0.1045681685209274,0.2249571532011032,0.1203889846801757
lateral,subj01,0,2,0.012226047925651,0.4573262333869934,0.133262500166893,0.6311466097831726,0.1210364522412419,0.866737499833107,0.866737499833107,0.0196603555232286,0.133262500166893,0.1136021446436643
lateral,subj01,1,2,0.0593771860003471,0.5782762169837952,0.2142688632011413,0.747484564781189,0.1548916772007942,0.7857311367988586,0.7857311367988586,0.069530077278614,0.2142688632011413,0.1447387859225273
lateral,subj01,2,3,0.0687510520219802,0.1282060295343399,0.2379395514726638,0.5069513916969299,0.1691884994506836,0.7620604485273361,0.7620604485273361,0.1199894621968269,0.2379395514726638,0.1179500892758369
lateral,subj01,3,2,0.2824465930461883,0.4907615780830383,0.4890295267105102,0.698738694190979,0.2065829336643219,0.5109704732894897,0.5109704732894897,0.3150567710399627,0.4890295267105102,0.1739727556705474
lateral,subj01,4,2,0.1770450919866562,0.7106627225875854,0.3276664316654205,0.7441732287406921,0.1506213396787643,0.6723335683345795,0.6723335683345795,0.2140990793704986,0.3276664316654205,0.1135673522949218
lateral,subj01,5,2,0.2353053539991378,0.6440479755401611,0.426579475402832,0.735818088054657,0.1912741214036941,0.573420524597168,0.573420524597168,0.2912104427814483,0.426579475402832,0.1353690326213836
lateral,subj02,0,2,0.3364876210689544,0.7307491898536682,0.4721929132938385,0.7479342818260193,0.135705292224884,0.5278070867061615,0.5278070867061615,0.3183992505073547,0.4721929132938385,0.1537936627864837
lateral,subj02,1,2,0.6904267072677612,0.3303977251052856,0.7298808097839355,0.6676163077354431,0.0394541025161743,0.2701191902160644,0.2701191902160644,0.6919509172439575,0.7298808097839355,0.037929892539978
lateral,subj02,2,3,0.3009320199489593,0.5705438852310181,0.3531832098960876,0.6781789660453796,0.0522511899471282,0.6468167901039124,0.6468167901039124,0.3088073432445526,0.3531832098960876,0.044375866651535
