subject,median_G_shared,G_ventral,G_lateral,G_parietal,R_img_ventral,oracle_ventral,G_native_ventral,status
subj01,0.0052302372495887,0.0070142081509267,0.0052302372495887,-0.0047783214090721,0.05141727626323695,0.12803375069051975,0.055776398283117534,BROAD_SHARED_TRANSFER
subj02,0.0044901547850971,0.0244464347322852,0.0044901547850971,0.0006463758100662,0.13166881352663035,0.1243449598550796,0.10488995656355249,BROAD_SHARED_TRANSFER
subj03,-0.0070517419949936,-0.000877026776485,-0.0070517419949936,-0.0146698715446559,0.1216207072138786,0.11728409607894714,0.07435451067591403,WEAK_SHARED_TRANSFER
subj04,0.0047568958531934,0.0219823999733555,0.0047568958531934,0.0031101748631135,0.0316149033606052,0.1735417903400957,0.1496531307909743,BROAD_SHARED_TRANSFER
subj05,0.0036075745720261,0.0049247203538808,0.0036075745720261,-0.0035962908740474,0.03010957501828665,0.2242624089121818,0.03744407877183176,BROAD_SHARED_TRANSFER
subj06,0.0019782426649882,0.0277228357073334,-0.0017037437192916,0.0019782426649882,0.19229211658239365,0.1376816779375076,0.10762798057087886,BROAD_SHARED_TRANSFER
subj07,0.0006427835671054,0.0173527023540773,0.0006427835671054,-0.0122454314114481,0.0686223544180393,0.09499970008619125,0.07562288326342692,BROAD_SHARED_TRANSFER
subj08,0.0039530759703827,0.0137921834819219,0.0039530759703827,-0.0044429562825856,0.1383691988885402,0.06085550156421955,0.06164074581350387,BROAD_SHARED_TRANSFER
