ROI,median_G_shared,median_vision_retention,median_imagery_retention,median_cross_state_gap,median_oracle_r,median_shared_contrast_capture,median_shared_contrast_cosine,median_K,median_S0,median_headroom,calibration_rho
ventral,0.015572442917999599,0.550282210111618,0.0960886143147945,0.44908761233091354,0.1467988491058349,-0.02379812915771265,0.2924063336073249,2,0.08280332495147982,0.9171966750485201,0.16666666666666666
lateral,0.0037803252712044003,0.4873686730861663,0.14372953772544855,0.29437754862010473,0.1338919885456562,0.06499756999607531,0.6269831765371279,2,0.06562908045695318,0.9343709195430467,0.7857142857142857
parietal,-0.0040196235783165005,0.5466437339782715,0.1706040874123573,0.2759483829140663,0.17888336442410946,0.044614442275466654,0.5604670411778556,2,0.18240269906042766,0.8175973009395723,0.42857142857142855
