subject,roi,fold,R0,R_SUPPORT_FULL
subj01,ventral,0,0.10882218937550564,0.1871115349707837
subj01,ventral,1,0.042403378362650415,0.11217870397788775
subj01,ventral,2,0.09505444735055624,0.18384186868663172
subj01,ventral,3,0.08144673040492087,0.15058845242884591
subj01,ventral,4,0.085199565668667,0.1967896941954712
subj01,ventral,5,0.0472750728655718,0.16105281074570443
subj02,ventral,0,0.18709786832809833,0.3024324607553354
subj02,ventral,1,0.07285350826956442,0.13381459112030847
subj02,ventral,2,0.10793941394070951,0.24396797745783605
subj02,ventral,3,0.09842362724020332,0.26887311036892936
subj02,ventral,4,0.07471680356922494,0.27340890915510946
subj02,ventral,5,0.12135082484129478,0.21646443154459657
subj03,ventral,0,0.05563350908085189,0.165520523904067
subj03,ventral,1,0.03328079445697759,0.1531392672209963
subj03,ventral,2,0.045057596078440426,0.18253038850825073
subj03,ventral,3,0.04488653835174137,0.14755365725003144
subj03,ventral,4,0.0564731213194927,0.18062870703529393
subj03,ventral,5,0.023853698392255485,0.16081483948840536
subj04,ventral,0,0.03169004135716613,0.14321496701454373
subj04,ventral,1,0.07487473703282638,0.1812323940882541
subj04,ventral,2,0.08993644627769014,0.24737125315758848
subj04,ventral,3,0.056623822318314185,0.16535492858661321
subj04,ventral,4,0.0910385928948324,0.2679676372837687
subj04,ventral,5,0.09262952019969077,0.187482317389786
subj05,ventral,0,0.034305190882839384,0.13667531820761736
subj05,ventral,1,0.04989708230557105,0.19218440305486814
subj05,ventral,2,0.08945668530965731,0.15676010545464614
subj05,ventral,3,0.05494836761930069,0.14604970536404072
subj05,ventral,4,0.09064902591766223,0.20262680218794907
subj05,ventral,5,0.0571264037565907,0.11709252758788827
subj06,ventral,0,0.051041215255136586,0.26498988011640423
subj06,ventral,1,0.08332968126213525,0.3021975116056382
subj06,ventral,2,0.0879529212148983,0.3226420418828367
subj06,ventral,3,0.022920926806815012,0.22537857528379998
subj06,ventral,4,0.05746171939490791,0.28643076437365467
subj06,ventral,5,0.04037001597669514,0.26955105505635113
subj07,ventral,0,0.04909128624831283,0.3140758564485028
subj07,ventral,1,0.04960039466467116,0.2995316926928558
subj07,ventral,2,0.029029886594618904,0.3228386427672604
subj07,ventral,3,0.04246593698577296,0.2632377225422333
subj07,ventral,4,0.08212049288907314,0.3272830262109522
subj07,ventral,5,0.08552139280510399,0.3483974565277147
subj08,ventral,0,0.07772693248099158,0.2265848724796573
subj08,ventral,1,0.0611981838034457,0.1581704253718568
subj08,ventral,2,0.08242595104951156,0.1518138534859286
subj08,ventral,3,0.10113737392592892,0.18292050040083258
subj08,ventral,4,0.05034875602711626,0.1473659546219444
subj08,ventral,5,0.055102901016561324,0.16674485814299134
subj01,lateral,0,0.12951659164603532,0.1515332902766979
subj01,lateral,1,0.11338771962475133,0.14353086111361948
subj01,lateral,2,0.09944987000629948,0.14711477873036422
subj01,lateral,3,0.15490599365820598,0.18900962577278307
subj01,lateral,4,0.13724521381212826,0.16952614002878746
subj01,lateral,5,0.1211943040943988,0.13702822824377947
subj02,lateral,0,0.1504794182831691,0.1737251831492548
subj02,lateral,1,0.11251160313859357,0.11736990516574389
subj02,lateral,2,0.13477055014787254,0.14854072120862027
subj02,lateral,3,0.0893491128561634,0.19858592034481315
subj02,lateral,4,0.1178729713164479,0.13152275486657672
subj02,lateral,5,0.0889581519676716,0.16159886053666053
subj03,lateral,0,0.19890980235787553,0.2366615346877288
subj03,lateral,1,0.1406079829245157,0.1862637226377704
subj03,lateral,2,0.14322554453822606,0.23175858787838235
subj03,lateral,3,0.21049893060703434,0.2296543601625823
subj03,lateral,4,0.1261252133218715,0.21889478054722042
subj03,lateral,5,0.09892034777782344,0.13298624320711405
subj04,lateral,0,0.12811511074698534,0.15364689143909632
subj04,lateral,1,0.13469005205777335,0.15351979092645804
subj04,lateral,2,0.1596133308597619,0.1727564126567791
subj04,lateral,3,0.12740556899115113,0.14511971619272018
subj04,lateral,4,0.09464851590747848,0.1425637885410521
subj04,lateral,5,0.1662411198401435,0.17013888066084412
subj05,lateral,0,0.143024774082227,0.15151028491990748
subj05,lateral,1,0.16611502429999558,0.1740681463716096
subj05,lateral,2,0.1259496144322311,0.1383063066179788
subj05,lateral,3,0.03966948102758183,0.07495406272391379
subj05,lateral,4,0.14529392334949548,0.1561956146884036
subj05,lateral,5,0.08442736750310592,0.19201038934025608
subj06,lateral,0,0.14124846395462437,0.16376846114335403
subj06,lateral,1,0.04911832722374772,0.05562834149484381
subj06,lateral,2,0.1006094773618907,0.11463862276415598
subj06,lateral,3,0.09537243174859986,0.11048401604434734
subj06,lateral,4,0.09549431390063584,0.11082014353039013
subj06,lateral,5,0.06214385333104115,0.0782213219570243
subj07,lateral,0,0.1562635909536735,0.1888882043987311
subj07,lateral,1,0.10553508712330145,0.11481730427503281
subj07,lateral,2,0.16690386306562638,0.16988085593715013
subj07,lateral,3,0.15262592259263733,0.15379895132605503
subj07,lateral,4,0.10145872260548229,0.12379708253116654
subj07,lateral,5,0.15686467145355176,0.1859311547539001
subj08,lateral,0,0.11430588205661721,0.21573400402075066
subj08,lateral,1,0.045558450302665095,0.10905574994199511
subj08,lateral,2,0.06557485899630351,0.1524715341373652
subj08,lateral,3,0.0707740832872125,0.16886248667167328
subj08,lateral,4,0.06781860374769322,0.16855698014774612
subj08,lateral,5,0.050423096444881105,0.14171170192763338
