subject,roi,fold,mean_sq_cos,min_cos,cosines,angles_deg
subj04,lateral,4,0.7645577690795683,0.06653088069642964,1.000000;1.000000;1.000000;1.000000;0.763492;0.066531,0.000;0.000;0.000;0.000;40.227;86.185
subj04,lateral,5,0.7415175458492999,0.34306709265317387,1.000000;1.000000;1.000000;1.000000;0.575682;0.343067,0.000;0.000;0.000;0.000;54.853;69.936
subj05,lateral,0,0.7170993042365673,0.014693251330256892,1.000000;1.000000;1.000000;1.000000;0.549891;0.014693,0.000;0.000;0.000;0.000;56.640;89.158
subj05,lateral,1,0.7994383890211219,0.06319932800628406,1.000000;1.000000;1.000000;1.000000;0.890301;0.063199,0.000;0.000;0.000;0.000;27.089;86.377
subj05,lateral,2,0.7323481855098358,0.02306342864105318,1.000000;1.000000;1.000000;1.000000;0.627341;0.023063,0.000;0.000;0.000;0.000;51.146;88.678
subj05,lateral,3,0.7519489678448944,0.009266918116494535,1.000000;1.000000;1.000000;1.000000;0.715268;0.009267,0.000;0.000;0.000;0.000;44.335;89.469
subj05,lateral,4,0.7720091814028643,0.3090866992681497,1.000000;1.000000;1.000000;1.000000;0.732476;0.309087,0.000;0.000;0.000;0.000;42.906;71.996
subj05,lateral,5,0.7144779623737008,0.19781668860685087,1.000000;1.000000;1.000000;1.000000;0.497731;0.197817,0.000;0.000;0.000;0.000;60.150;78.591
subj06,lateral,0,0.8668045576957247,0.6352735446239648,1.000000;1.000000;1.000000;1.000000;0.892891;0.635274,0.000;0.000;0.000;0.000;26.761;50.560
subj06,lateral,1,0.7360557444587377,0.22510037147807446,1.000000;1.000000;1.000000;1.000000;0.604702;0.225100,0.000;0.000;0.000;0.000;52.793;76.991
subj06,lateral,2,0.7543566618661304,0.23039878030809732,1.000000;1.000000;1.000000;1.000000;0.687791;0.230399,0.000;0.000;0.000;0.000;46.545;76.679
subj06,lateral,3,0.8241785338921854,0.5021064329032829,1.000000;1.000000;1.000000;1.000000;0.832442;0.502106,0.000;0.000;0.000;0.000;33.650;59.861
subj06,lateral,4,0.8048393894826208,0.25995726896179866,1.000000;1.000000;1.000000;1.000000;0.872616;0.259957,0.000;0.000;0.000;0.000;29.236;74.932
subj06,lateral,5,0.8398305138519447,0.42897995375337034,1.000000;1.000000;1.000000;1.000000;0.924640;0.428980,0.000;0.000;0.000;0.000;22.386;64.597
subj07,lateral,0,0.8025681452660658,0.5593026761810006,1.000000;1.000000;1.000000;1.000000;0.708935;0.559303,0.000;0.000;0.000;0.000;44.852;55.992
subj07,lateral,1,0.7033532975245719,0.15079312024373684,1.000000;1.000000;1.000000;1.000000;0.444276;0.150793,0.000;0.000;0.000;0.000;63.623;81.327
subj07,lateral,2,0.8399790512172487,0.4237956206907326,1.000000;1.000000;1.000000;1.000000;0.927508;0.423796,0.000;0.000;0.000;0.000;21.950;64.926
subj07,lateral,3,0.7906389378459878,0.10731238814507532,1.000000;1.000000;1.000000;1.000000;0.855756;0.107312,0.000;0.000;0.000;0.000;31.157;83.840
subj07,lateral,4,0.7566435955951,0.17052750708578462,1.000000;1.000000;1.000000;1.000000;0.714690;0.170528,0.000;0.000;0.000;0.000;44.382;80.182
subj07,lateral,5,0.7960199246064507,0.18571413057121888,1.000000;1.000000;1.000000;1.000000;0.861179;0.185714,0.000;0.000;0.000;0.000;30.551;79.297
subj08,lateral,0,0.3944043686267163,0.1065541574568393,0.925411;0.819775;0.703393;0.460337;0.346387;0.106554,22.270;34.938;45.300;62.591;69.734;83.883
subj08,lateral,1,0.363969570106194,0.014329978775664831,0.969630;0.791621;0.543819;0.420820;0.379393;0.014330,14.157;37.663;57.056;65.114;67.704;89.179
subj08,lateral,2,0.33376195432115546,0.05193049802619031,0.915042;0.746626;0.620942;0.418015;0.211703;0.051930,23.788;41.701;51.615;65.291;77.778;87.023
subj08,lateral,3,0.3046234614161629,0.10348260059216713,0.852099;0.717616;0.616554;0.399757;0.189849;0.103483,31.559;44.142;51.935;66.437;79.056;84.060
subj08,lateral,4,0.29916554803874174,0.030571117027424346,0.913384;0.688082;0.473923;0.438048;0.264277;0.030571,24.023;46.522;61.711;64.021;74.676;88.248
subj08,lateral,5,0.37502218047662966,0.06813636575363445,0.925280;0.842695;0.622405;0.447704;0.302300;0.068136,22.289;32.574;51.508;63.404;72.404;86.093
