subject,roi,R000,R111,R_native,G_REMAIN,FULL_CLOSURE,UNEXPLAINED
subj01,ventral,0.3736624116221365,0.6495359648065743,0.6458081270336085,0.272145715411472,1.0136979476870671,-0.013697947687067174
subj02,ventral,0.36486802431789456,0.639032626797727,0.6855435360277079,0.32067551170981334,0.8549595852143842,0.14504041478561577
subj03,ventral,0.3767657110452878,0.6412500968596438,0.6560709593714579,0.2793052483261701,0.946936684503306,0.05306331549669399
subj04,ventral,0.3638092900590304,0.6521978111919329,0.6756297361130015,0.3118204460539711,0.9248544307546371,0.07514556924536281
subj05,ventral,0.505657345960678,0.7093398054600374,0.707052934603885,0.20139558864320695,1.0113551189058259,-0.01135511890582594
subj06,ventral,0.311017510897552,0.616564359246755,0.6325627685127463,0.3215452576151943,0.950245233331548,0.04975476666845198
subj07,ventral,0.45176541308565693,0.7474621769413151,0.7549023128375992,0.3031368997519423,0.9754561852998681,0.024543814700131852
subj08,ventral,0.20769955884270505,0.4391149626312278,0.6652626878633251,0.45756312902062,0.5057562314600179,0.49424376853998214
subj01,lateral,0.5256211700258732,0.741870221339196,0.741091169231515,0.2154699992056418,1.003615594331244,-0.0036155943312438394
subj02,lateral,0.4224339883975747,0.6684237688485272,0.729361500870783,0.3069275124732083,0.801458880205224,0.1985411197947759
subj03,lateral,0.4472216833754885,0.7003382112516174,0.70536439440833,0.2581427110328415,0.9805294399496985,0.019470560050301428
subj04,lateral,0.4291064656843741,0.6231397316055691,0.6430513476685301,0.213944881984156,0.9069310942225036,0.09306890577749634
subj05,lateral,0.4081464627667793,0.594893108903222,0.6178585634499866,0.20971210068320728,0.8904905607642719,0.10950943923572806
subj06,lateral,0.4324949804012859,0.6531973894554925,0.6850679853819309,0.252573004980645,0.8738163014337947,0.1261836985662053
subj07,lateral,0.554571159980322,0.767071582447349,0.7636778674330417,0.20910670745271964,1.0162295846730534,-0.016229584673053292
subj08,lateral,0.2650904358052992,0.4534051289515058,0.7178000421190918,0.4527096063137926,0.4159723816765611,0.584027618323439
