roi,component,spearman_anatomy_vs_geometry,spearman_behavior_vs_geometry
ventral,IN,0.43459222769567596,0.29939792008757526
ventral,OUT,0.1592775041050903,0.0120415982484948
lateral,IN,0.16475095785440613,0.21510673234811165
lateral,OUT,0.1620142309797482,-0.05363984674329502
