participant,B0_test_r,B1_test_r
subj01,0.0755255706950793,-0.00871404310750029
subj02,0.1291424856448023,-0.017098331134755923
subj03,0.14456865865592047,0.002312394825813642
subj04,0.10820674093472445,-0.0008678159499828922
subj05,0.13248676671346185,0.009138770857877506
subj06,0.10215668823630951,-0.02265783125624605
subj07,0.05530053932078448,0.017262514398416036
subj08,0.11689754533650758,0.021507745582510465
