participant,ROI,beta,fold,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas
subj02,lateral,B0,1,0.001,135.89075008482675,100000.0,45
subj02,lateral,B0,2,0.001,0.10476157527896651,47508.10162102803,64
subj02,lateral,B0,3,0.001,135.89075008482675,100000.0,45
subj02,lateral,B1,0,0.001,8.338130418350593,100000.0,49
subj02,lateral,B1,1,0.001,0.011233240329780276,100000.0,57
subj02,lateral,B1,2,0.001,0.004883660344395097,68926.12104349709,52
subj02,lateral,B1,3,0.001,44.498094193309555,100000.0,39
subj02,parietal,B0,0,0.001,58.57020818056673,100000.0,31
subj02,parietal,B0,1,0.001,0.034900241342755704,100000.0,36
subj02,parietal,B0,2,0.001,0.050634274516523754,68926.12104349709,43
subj02,parietal,B0,3,0.001,15.922827933410938,100000.0,32
subj02,parietal,B1,0,0.001,0.08848483273141058,100000.0,41
subj02,parietal,B1,1,0.001,0.9770099572992257,100000.0,25
subj02,parietal,B1,2,0.001,102.35310218990269,100000.0,33
subj02,parietal,B1,3,0.001,5.747149864916974,100000.0,37
subj03,V1,B0,0,0.013530477745798075,2.0802295963591697,100000.0,23
subj03,V1,B0,1,0.001,14.571119709035626,100000.0,20
subj03,V1,B0,2,0.006428073117284319,19.40029083850091,100000.0,18
subj03,V1,B0,3,0.00210490414451202,602.0804732130015,100000.0,17
subj03,V1,B1,0,0.001,30.670810265729866,100000.0,16
subj03,V1,B1,1,0.001,5.719573269145923,100000.0,9
subj03,V1,B1,2,0.001,1052.1527260297862,100000.0,8
subj03,V1,B1,3,0.001,0.43950386601548064,100000.0,17
subj03,V2,B0,0,0.001,0.18307382802953698,100000.0,16
subj03,V2,B0,1,0.001,0.15199110829529347,100000.0,16
subj03,V2,B0,2,0.001,1.7073526474706922,100000.0,16
subj03,V2,B0,3,0.001,13.219411484660315,100000.0,17
subj03,V2,B1,0,0.001,48.62601580065353,100000.0,11
subj03,V2,B1,1,0.001,9.111627561154895,100000.0,14
subj03,V2,B1,2,0.001,9.111627561154895,100000.0,17
subj03,V2,B1,3,0.001,0.15199110829529347,100000.0,13
subj03,V3,B0,0,0.001,40.37017258596558,100000.0,10
subj03,V3,B0,1,0.001,100000.0,100000.0,7
subj03,V3,B0,2,0.001,100000.0,100000.0,9
subj03,V3,B0,3,0.001,0.0025353644939701114,47508.10162102803,13
subj03,V3,B1,0,0.001,10.974987654930567,100000.0,13
subj03,V3,B1,1,0.001,4.328761281083062,100000.0,8
subj03,V3,B1,2,0.001,23.10129700083163,100000.0,12
subj03,V3,B1,3,0.001,84.97534359086455,100000.0,10
subj03,hV4,B0,0,0.001,10.974987654930567,100000.0,8
subj03,hV4,B0,1,0.0012045035402587824,0.005336699231206312,68926.12104349709,8
subj03,hV4,B0,2,0.001,6.280291441834259,100000.0,7
subj03,hV4,B0,3,7.56463327554629,100000.0,100000.0,5
subj03,hV4,B1,0,0.001,100000.0,100000.0,5
subj03,hV4,B1,1,0.001,2.0565123083486534,148.49682622544665,6
subj03,hV4,B1,2,0.001,0.1261856883066021,100000.0,5
subj03,hV4,B1,3,0.001,0.001,100000.0,4
subj03,ventral,B0,0,0.001,1526.4934542969668,100000.0,43
subj03,ventral,B0,1,0.001,259.5024211399737,100000.0,54
subj03,ventral,B0,2,0.001,12.09719956979544,100000.0,50
subj03,ventral,B0,3,0.001,1.0769109548671123,100000.0,57
subj03,ventral,B1,0,0.001,36.94309954767702,100000.0,51
subj03,ventral,B1,1,0.001,1838.6667698825545,100000.0,36
subj03,ventral,B1,2,0.001,6.280291441834259,100000.0,46
subj03,ventral,B1,3,0.001,1.4174741629268062,100000.0,48
subj03,lateral,B0,0,0.001,148.49682622544665,100000.0,59
subj03,lateral,B0,1,0.001,102.35310218990269,100000.0,52
subj03,lateral,B0,2,0.001,453.48785081285916,100000.0,48
subj03,lateral,B0,3,0.001,259.5024211399737,100000.0,59
subj03,lateral,B1,0,0.001,317.9980009096104,100000.0,55
subj03,lateral,B1,1,0.001,15.922827933410938,100000.0,49
subj03,lateral,B1,2,0.001,1.1768119524349991,100000.0,46
subj03,lateral,B1,3,0.001,12.09719956979544,100000.0,54
subj03,parietal,B0,0,0.001,40.37017258596558,100000.0,33
subj03,parietal,B0,1,0.001,259.5024211399737,100000.0,33
subj03,parietal,B0,2,0.001,237.4729450715812,100000.0,37
subj03,parietal,B0,3,0.001,30.670810265729866,100000.0,42
subj03,parietal,B1,0,0.001,1.2971430576809027,100000.0,33
subj03,parietal,B1,1,0.001,7.56463327554629,100000.0,41
subj03,parietal,B1,2,0.001,4.771384784541375,100000.0,37
subj03,parietal,B1,3,0.001,6.38932078177299,100000.0,35
subj04,V1,B0,0,13.219411484660315,584.4882395165829,100000.0,9
subj04,V1,B0,1,0.001,148.49682622544665,100000.0,10
subj04,V1,B0,2,0.001,0.0013276661593773613,83021.75681319753,11
subj04,V1,B0,3,0.001,63.80671761264495,100000.0,11
subj04,V1,B1,0,0.001,37.43839219413476,100000.0,15
subj04,V1,B1,1,0.001,50029.28510409028,100000.0,8
subj04,V1,B1,2,0.001,50042.48767179543,100000.0,9
subj04,V1,B1,3,0.001,33.516026509388475,100000.0,10
subj04,V2,B0,0,0.001,151.07481342497516,100000.0,7
subj04,V2,B0,1,0.001,16.1992570506926,100000.0,11
subj04,V2,B0,2,0.001,8.627639548382414,100000.0,16
subj04,V2,B0,3,0.001,1.8819324779096727,100000.0,13
subj04,V2,B1,0,0.001,20.522502753365785,100000.0,15
subj04,V2,B1,1,0.001,3.656204260683201,100000.0,15
subj04,V2,B1,2,0.001,5.747149864916974,100000.0,14
subj04,V2,B1,3,0.001,0.0216376503134284,100000.0,9
subj04,V3,B0,0,178.8649529057435,100000.0,100000.0,3
subj04,V3,B0,1,0.001,0.9770099572992257,100000.0,15
subj04,V3,B0,2,0.001,5.21400828799969,100000.0,11
subj04,V3,B0,3,0.001,13.219411484660315,100000.0,13
subj04,V3,B1,0,0.001,58.57020818056673,100000.0,8
subj04,V3,B1,1,0.001,178.8649529057435,100000.0,8
subj04,V3,B1,2,0.001,15.922827933410938,100000.0,11
subj04,V3,B1,3,0.001,0.9770099572992257,100000.0,8
subj04,hV4,B0,0,0.001,0.001,100000.0,5
subj04,hV4,B0,1,0.001,4.270821616422758,376.49358067924715,9
subj04,hV4,B0,2,3.5938136638046294,100000.0,100000.0,2
subj04,hV4,B0,3,0.001,8.627639548382414,100000.0,9
subj04,hV4,B1,0,0.001,0.002400691954420549,7390.722033525791,8
subj04,hV4,B1,1,0.001,176.47087877739486,100000.0,6
