participant,ROI,beta,fold,n_voxels,v2v_lambda_median,v2v_r_model,v2i_lambda_min,v2i_lambda_median,v2i_lambda_max,v2i_n_unique_lambdas,v2i_r_model,val_score,test_mean_r,test_median_r,finite_frac,target_constant,prediction_constant,null_mean,null_p95_mean,fraction_voxels_above_null_p95
subj01,V2,B1,0,29,0.9770099572992257,7,0.001,0.001,100000.0,10,1,0.17063545917218365,0.03247452503241346,0.01935500548050118,1.0,0,0,-0.0031412844275129966,0.34667593527501733,0.034482758620689655
subj01,V2,B1,1,29,58.57020818056673,11,0.001,7390.722033525791,100000.0,11,10,0.1365402466245115,0.029799897660518538,-0.019076031659604684,1.0,0,0,0.005243366900393811,0.3518440194430327,0.13793103448275862
subj01,V2,B1,2,29,1.1768119524349991,5,0.001,7.56463327554629,100000.0,15,12,0.2735693396054675,0.11497192977386789,0.10834121387668498,1.0,0,0,-0.007913489846793877,0.3374094797857786,0.034482758620689655
subj01,V2,B1,3,29,33.516026509388475,12,0.001,1.7073526474706922,100000.0,15,3,0.3550823520342371,-0.051046820216678765,-0.08213794462893899,1.0,0,0,0.0017366139271915075,0.345749142949377,0.034482758620689655
subj01,V3,B0,0,24,86.45056264854458,2,0.001,21.140199808778256,100000.0,16,8,0.1913539211234856,0.14872510688018212,0.13396879490382785,1.0,0,0,-0.002322095661136004,0.33791579850041414,0.16666666666666666
subj01,V3,B0,1,24,191.3935475420903,6,0.001,215.44346900318865,100000.0,13,10,0.20887368514949925,0.07603420142945476,0.09802571824174731,1.0,0,0,-0.00012379628434224348,0.34178085922496537,0.08333333333333333
subj01,V3,B0,2,24,86.45056264854458,4,0.001,0.8679464853431109,100000.0,21,10,0.25975421256829573,0.09402620402985325,0.09350109143964098,1.0,0,0,-0.0006974821869553859,0.3438272758381619,0.08333333333333333
subj01,V3,B0,3,24,203.9996236827102,12,0.001,264.0075269860064,100000.0,8,7,0.14896723863152264,-0.021440372026597616,-0.0413477401838413,1.0,0,0,-0.001166416651773867,0.34079406718280914,0.041666666666666664
subj01,V3,B1,0,24,6.922462358690275,5,0.001,4.3786838989129855,100000.0,15,7,0.15701321981607996,0.005340359253392833,0.01737013719980886,1.0,0,0,-0.0032304209376410923,0.33609655909300207,0.0
subj01,V3,B1,1,24,30.670810265729866,11,0.001,525.9926597469462,100000.0,10,12,0.21225427356972695,-0.028661879238002484,-0.03467200462690255,1.0,0,0,-0.0017017228964093963,0.3313186096115558,0.041666666666666664
subj01,V3,B1,2,24,19.179102616724887,8,0.001,148.49682622544665,100000.0,12,10,0.10087123030760513,0.10198146937083608,0.10699131953335128,1.0,0,0,0.004032756696590167,0.3466063649347905,0.041666666666666664
subj01,V3,B1,3,24,269.23159720186186,9,0.001,1384.8863713938745,100000.0,8,6,0.07889695672968738,-0.032689308826919526,-0.028353021159720014,1.0,0,0,0.001636634185897346,0.35480744279512616,0.0
subj01,hV4,B0,0,14,100000.0,6,0.001,163.68088956559507,100000.0,9,12,0.07258955542223679,0.07922323387011947,0.04579760881623007,1.0,0,0,-0.0005674895636935655,0.33495964446563814,0.07142857142857142
subj01,hV4,B0,1,14,100000.0,7,0.8111308307896873,100000.0,100000.0,7,7,0.10845591048718069,0.02879157500601337,0.02883305449172184,1.0,0,0,0.003649246319377259,0.33869774305569056,0.0
