participant,S_rel,S_perf
subj02,0.10000660407275155,0.1428778349394249
subj03,0.1021414009195117,0.1977312130681257
subj04,0.12463381982979627,0.15106613063389102
subj05,0.08358948792946255,0.14646115662817175
subj06,0.11375015211481132,0.17323458444053152
subj07,0.06436718612470335,-0.033021347660629904
subj08,0.0598374028133895,0.14430087222863283
