participant,ROI,n_voxels,B0_img_rel,B1_img_rel,L_rel_img,B0_vis_rel,B1_vis_rel,L_rel_vis,B0_RAW_r,B1_RAW_r,L_perf_RAW,is_primary
subj01,V1,27,0.2967807527072312,0.14354042785236656,0.15324032485486463,0.6515298689482734,0.595855773498659,0.055674095449614325,0.13827859523176717,-0.0415875786380676,0.17986617386983478,False
subj01,V2,29,0.3176506119934424,0.20475668425483276,0.11289392773860965,0.5841472041710014,0.4745791172456284,0.10956808692537301,0.08225298378515081,0.019928874341965542,0.06232410944318527,False
subj01,V3,24,0.27889966105032643,0.12046340035244828,0.15843626069787814,0.5100567353185311,0.3617943527368923,0.14826238258163882,0.06881671159664235,-0.0076017291615463195,0.07641844075818867,False
subj01,hV4,14,0.12725077782964772,0.0677835403628359,0.05946723746681182,0.3426249916734551,0.24020655511941144,0.10241843655404367,-0.007641276027255563,-0.019823250801716277,0.012181974774460714,False
subj01,ventral,153,0.24038018023670052,0.08616460772429406,0.15421557251240647,0.2629162498810079,0.15458752339312318,0.10832872648788475,0.0959182674295933,0.0013299827436909946,0.09458828468590232,False
subj01,lateral,156,0.1815765680784612,0.06257618503822675,0.11900038304023446,0.3107013911924566,0.15686551816476085,0.15383587302769575,0.10238367207951045,0.06143550244784164,0.04094816963166881,False
subj01,parietal,71,0.5138906335348673,0.38716460371506395,0.12672602981980335,0.2851166920455788,0.17752745266729367,0.10758923937828516,0.07831212990511975,0.025208552896794887,0.05310357700832487,False
subj02,V1,23,0.2600254344475356,0.19567667671279718,0.06434875773473844,0.572172038203765,0.5786690375541746,-0.0064969993504095935,0.1927487043161218,-0.0040110738468354425,0.19675977816295723,True
subj02,V2,22,0.2784925124024518,0.17848590832970027,0.10000660407275155,0.5494257022773602,0.5674748986826411,-0.01804919640528091,0.06686348290065987,-0.04962154075049321,0.11648502365115307,True
subj02,V3,22,0.22401541982911855,0.15729016434033838,0.06672525548878017,0.5006365606982616,0.5330173772748649,-0.0323808165766033,0.15859157730718382,0.09499682055565181,0.063594756751532,True
subj02,hV4,10,0.28354098484955365,0.3326783112882237,-0.04913732643867008,0.41411466554979737,0.4553660229014765,-0.04125135735167912,0.22430022399652216,-0.016506138606249214,0.24080636260277138,True
subj02,ventral,164,0.2679322076063337,0.13425018387733006,0.13368202372900362,0.302197493391575,0.21138337285984085,0.09081412053173413,0.1833872430042363,0.08776190625916784,0.09562533674506847,True
subj02,lateral,136,0.2766875266929024,0.15942614258344315,0.11726138410945927,0.2082870015538425,0.17555179228934104,0.032735209264501464,0.19484591027049933,0.015698439673148122,0.1791474705973512,True
subj02,parietal,68,0.45037330940526554,0.26912490018003155,0.181248409225234,0.38863599060347215,0.2647233298226811,0.12391266078079105,0.1965796655641493,0.053701830624724375,0.1428778349394249,True
subj03,V1,26,0.20895913686364934,0.05682101753890969,0.15213811932473964,0.5721675685684507,0.38353144380103216,0.1886361247674186,0.37751765782065916,0.014795725336758226,0.36272193248390094,True
subj03,V2,23,0.13528767486249785,0.05806092472353374,0.0772267501389641,0.5611893094617352,0.5041588582645913,0.057030451197143894,0.12766049469100835,0.014197518599177969,0.11346297609183038,True
subj03,V3,19,0.23275205584026737,0.083348386700631,0.14940366913963637,0.5003289678438921,0.30842809247665826,0.19190087536723388,0.2404631473872539,0.04273193431912822,0.1977312130681257,True
subj03,hV4,9,0.15211296093946747,0.09223113991659677,0.05988182102287069,0.3595744839060769,0.2898038759899464,0.06977060791613049,0.1874369040761617,-0.02748365968410904,0.21492056376027074,True
subj03,ventral,164,0.13691788593253781,0.05181949860759363,0.08509838732494418,0.2340800178239338,0.10310948024423505,0.13097053757969876,0.11848176968403902,0.0439245407659318,0.07455722891810722,True
subj03,lateral,172,0.20107779672391535,0.09893639580440365,0.1021414009195117,0.2720615217099077,0.13709939089312684,0.13496213081678088,0.12452667896297002,0.016105810805425454,0.10842086815754456,True
subj03,parietal,78,0.24632082279935105,0.07526837212086929,0.17105245067848177,0.22506759945151444,0.08976561793033831,0.13530198152117612,0.2535380106014601,-0.08174761731454257,0.33528562791600264,True
subj04,V1,18,0.17373896317024318,0.08448085120740177,0.0892581119628414,0.6096438044914976,0.4814886737481825,0.12815513074331508,0.2388332861018519,0.009253200332295965,0.22958008576955594,True
subj04,V2,18,0.09962604844172131,0.03212234499057689,0.06750370345114443,0.5318759442293196,0.4390501188962454,0.09282582533307421,0.15369667985521268,-0.021529046520068436,0.1752257263752811,True
subj04,V3,17,0.22888454957033644,0.09868048507394718,0.13020406449638927,0.4915568322439434,0.36065615437976145,0.13090067786418197,0.246098892264789,0.09056448516889137,0.15553440709589764,True
subj04,hV4,10,0.07739123224538551,0.06474478785527199,0.012646444390113518,0.3863729099490835,0.22328110286789957,0.16309180708118395,0.13013159602017194,0.04902966615666765,0.08110192986350429,True
subj04,ventral,153,0.24531455031631466,0.09091216039277718,0.1544023899235375,0.26468804214805247,0.17367056122401706,0.09101748092403542,0.15270284631295133,0.0016367156790603118,0.15106613063389102,True
subj04,lateral,143,0.16651992571202018,0.04188610588222391,0.12463381982979627,0.22923226821391532,0.09801126358806438,0.13122100462585096,0.08354258292885916,0.01931879295776765,0.06422378997109152,True
subj04,parietal,67,0.21628734993581267,0.07329628332116132,0.14299106661465133,0.25015618092047154,0.11423000803326776,0.13592617288720377,0.027885709989033988,-0.0898776977998199,0.11776340778885389,True
subj05,V1,23,0.19713456678991426,0.1277357266558933,0.06939884013402095,0.5038707239866546,0.4809399209431528,0.022930803043501757,0.34228751192393186,-0.14487800668243542,0.48716551860636725,True
subj05,V2,22,0.17614220242830925,0.08474115763610394,0.0914010447922053,0.6043203552378276,0.5541546108600285,0.05016574437779908,0.24875942813922827,-0.05370600870689604,0.3024654368461243,True
subj05,V3,19,0.21145434017567558,0.08656787254641952,0.12488646762925605,0.5456361406901297,0.47148589179778355,0.07415024889234612,0.1565067401026533,0.010045583474481559,0.14646115662817175,True
subj05,hV4,11,0.17199934860105884,0.08840986067159629,0.08358948792946255,0.32620523767019177,0.19611050882738146,0.13009472884281031,0.11841983849988727,-0.03593313648219289,0.15435297498208017,True
subj05,ventral,133,0.1446530023517664,0.06340435836699769,0.0812486439847687,0.3159020110023924,0.19191017635222077,0.12399183465017163,0.10256186924663732,-0.008065281386908266,0.11062715063354558,True
subj05,lateral,141,0.10504657029828411,0.03321907509633179,0.07182749520195232,0.23739651045581836,0.16586587332096228,0.07153063713485608,0.07366390713734554,0.02989782997367747,0.043766077163668066,True
subj05,parietal,57,0.33650622829632737,0.20935740020130264,0.12714882809502473,0.282187520748093,0.20949586142004203,0.07269165932805097,0.10253254347764941,0.033318482232054164,0.06921406124559525,True
subj06,V1,23,0.13249014721562466,0.07061536476110285,0.06187478245452181,0.5512193071217986,0.47450217222684016,0.0767171348949584,-0.13073088193675608,-0.10163774962830685,-0.029093132308449232,True
subj06,V2,24,0.12411304700448712,0.07850837227999276,0.045604674724494365,0.5753610199594515,0.523226846827172,0.05213417313227953,-0.027425129315192906,0.0023182337806352885,-0.029743363095828194,True
subj06,V3,24,0.16868047865717103,0.05442846412119079,0.11425201453598025,0.47231540710864856,0.3248287066110476,0.14748670049760093,0.09327440114916775,-0.07996018329136377,0.17323458444053152,True
subj06,hV4,10,0.15522355841607177,0.06370464116359169,0.09151891725248008,0.4064567116059022,0.3047881215842651,0.10166859002163708,0.021194261544775723,-0.012301631717530601,0.03349589326230633,True
subj06,ventral,194,0.19653717605216936,0.05360819972329842,0.14292897632887094,0.32397828277537755,0.16192558489412825,0.1620526978812493,0.21328434440274802,-0.049976326974213996,0.263260671376962,True
subj06,lateral,181,0.15416073827223695,0.04041058615742562,0.11375015211481132,0.27670650985670536,0.146482693611428,0.13022381624527737,0.2622962135798786,-0.015837610449490388,0.278133824029369,True
subj06,parietal,68,0.2706270610824937,0.11403030553802161,0.15659675554447205,0.29544158703980167,0.17453496962549422,0.12090661741430744,0.22466281083893894,0.021849832603263945,0.20281297823567498,True
subj07,V1,23,0.08935133135795087,0.10381066543119405,-0.01445933407324318,0.4690821749973111,0.40687025424683393,0.062211920750477157,-0.029757513710813796,0.0934955508520874,-0.1232530645629012,True
subj07,V2,20,0.10516651599789924,0.06627471622145788,0.03889179977644136,0.508177335886839,0.47848124808210524,0.029696087804733762,-0.00429220403270162,0.035064059704280476,-0.039356263736982096,True
subj07,V3,15,0.12707462821509538,0.06270744209039203,0.06436718612470335,0.43889243228997143,0.44088348053056897,-0.001991048240597537,-0.06256144389269559,0.040948164197315326,-0.10350960809001092,True
subj07,hV4,8,0.05773014847242545,0.0703290479792659,-0.012598899506840448,0.3265935928551092,0.3672129168432245,-0.0406193239881153,-0.07824620857966155,-0.04522486091903165,-0.033021347660629904,True
subj07,ventral,131,0.09848199930205565,0.029259947532236336,0.06922205176981931,0.21397284781668144,0.18690524860080804,0.0270675992158734,0.04124884044336174,0.045691568324194506,-0.004442727880832768,True
subj07,lateral,123,0.1619972503984692,0.02507992197923245,0.13691732841923676,0.17706782533856483,0.11318258033090733,0.06388524500765749,0.003103115247462169,0.020563985600008966,-0.017460870352546797,True
subj07,parietal,50,0.1403913735406864,0.06306963469822742,0.07732173884245898,0.0986819281823132,0.1333903435283684,-0.034708415346055205,0.03885851654823476,-0.008120667174738042,0.0469791837229728,True
subj08,V1,22,0.07942872555789411,0.00974242899350689,0.06968629656438723,0.5374581250888738,0.4653527306249348,0.07210539446393899,0.15107900312986355,0.03169686286210454,0.11938214026775901,True
subj08,V2,21,0.06909641023680924,0.01973346326272192,0.049362946974087316,0.5427689246280352,0.49703406706906944,0.045734857558965725,0.09123478276121527,-0.0015521251837506134,0.09278690794496589,True
subj08,V3,18,0.060809810196501314,0.0009724073831118124,0.0598374028133895,0.5396194531273241,0.4013207357850097,0.13829871734231436,0.14241558872196686,-0.06417746479171182,0.20659305351367868,True
subj08,hV4,10,0.03627796577347908,-0.015005083622652043,0.051283049396131125,0.4856396573803587,0.36285643248508376,0.12278322489527493,0.2475424257854364,-0.04356130539381091,0.2911037311792473,True
