subject,roi,E_SCALE,rho_SCALE,Z_SCALE,Z_SCALE_null
subj01,ventral,-19.705969607208118,-0.05166493504558947,-0.05171097795168097,0.0026241275604508164
subj02,ventral,0.8017821826330885,-0.0485774483037639,-0.04861571300640483,-0.060634563924517076
subj03,ventral,7.315287744683278,0.14225861866082032,0.1432300960252407,0.0195795573631864
subj04,ventral,-26.326706686315184,0.18889159592200178,0.19118750384915814,-0.007262112429297464
subj05,ventral,2.7111334367916795,-0.03910905237160369,-0.03912901002305364,-0.014432712714191748
subj06,ventral,6.734058664089292,-0.1513978821630857,-0.1525708022167157,-0.022656589410236336
subj07,ventral,4.3566080737893165,0.04753184402826654,0.047567688484943534,0.010918514513877266
subj08,ventral,17.74356803960384,0.1066656674442553,0.10707298348074114,0.0060344674330299886
subj01,lateral,45.69264932857537,0.0866322130971418,0.08684992328116119,0.0019007416850930284
subj02,lateral,0.6669811824211346,0.03258919208555488,0.03260073661926432,0.04887804555583412
subj03,lateral,6.86378197404944,0.11243310719664847,0.1129104965940139,0.016450186940801075
subj04,lateral,8.363510150576237,0.2768544112077917,0.2842721357853788,0.033989572639640156
subj05,lateral,1.6319371101282023,0.027190914657135273,0.027197618794603886,0.01666584982093292
subj06,lateral,-3.182249615988744,-0.04491057653209503,-0.04494080740229251,0.014122338856290231
subj07,lateral,2.516159554440661,0.1219250087235347,0.12253462261988214,0.04869906695846298
subj08,lateral,-4.867161952889578,0.041632290482864855,0.041656368550452384,-0.00855865676006969
