roi,T,median_E_AXIS,n_E_pos,signflip_p,holm_reject,median_ARF,n_ARF_ge0.5,median_TOTAL,n_TOTAL_ge0.5,median_AXIS_FIDELITY
ventral,1,0.1058500314889505,8,0.00390625,True,0.39132487575523756,0,0.19107440034141415,0,0.32807025727515093
ventral,2,0.16484505831357377,8,0.00390625,True,0.601200750792537,8,0.29193349214461306,0,0.5545857573064836
ventral,4,0.23286450254718805,8,0.00390625,True,0.8172316181389663,8,0.4080828755105351,1,0.8016965200754738
lateral,1,0.10979937433023257,8,0.00390625,True,0.3987884517631177,0,0.20764799943313153,0,0.2934312544976637
lateral,2,0.17217665225591927,8,0.00390625,True,0.592198767755006,7,0.3141147364086504,0,0.5063702038876821
lateral,4,0.23965316650215124,8,0.00390625,True,0.8019663843125506,8,0.44238436703903733,2,0.7695528200570341
