subject,roi,T,R_AXIS,DELTA_AXIS,E_AXIS,AXIS_FIDELITY,ARF,TOTAL_ZERO_BASE
subj01,ventral,1,0.18937053248561075,0.11267030181429877,0.10654956793816694,0.31632865695933077,0.37940959839918614,0.19797704887681333
subj01,ventral,2,0.25104941074216597,0.17434918007085398,0.16825060440059267,0.5402649176161968,0.5871090369575558,0.3063552292724868
subj01,ventral,4,0.3188197130889493,0.2421194824176373,0.23602767011604722,0.7930504180575872,0.815320932929608,0.42543687052182994
subj01,ventral,8,0.37366241259625194,0.29696218192493995,,0.9999999999999928,1.0,0.5218029548054146
subj02,ventral,1,0.2124745479871642,0.10207754028898164,0.0969720194156272,0.35903940213870866,0.40113621442998726,0.17748092922591227
subj02,ventral,2,0.2678891153436326,0.15749210764545002,0.15235309829330446,0.5882374256515717,0.6188999821571439,0.2738295371492119
subj02,ventral,4,0.32310905760687203,0.21271204990868947,0.2075798282940557,0.8228628837148368,0.8358989276431893,0.3698397528826217
subj02,ventral,8,0.3648680240038028,0.25447101630562025,,0.9999999999999831,0.9999999987657071,0.4424455399995446
subj03,ventral,1,0.16821794451035538,0.12502040156372882,0.11938159263230781,0.33981185759097104,0.37479715848291273,0.20399057654193836
subj03,ventral,2,0.24082574015838726,0.1976281972117607,0.19199145693853426,0.5689065969967704,0.5924671959505056,0.32246168933972635
subj03,ventral,4,0.31643734048664507,0.2732397975400185,0.26759296353309137,0.8103426220933604,0.8191423033483245,0.44583398499146887
subj03,ventral,8,0.3767657091656918,0.3335681662190652,,0.9999999999999909,0.9999999943651816,0.5442692687911309
subj04,ventral,1,0.1838232785074347,0.1110244184940147,0.10515049503973407,0.30880048115219333,0.3815135370804878,0.184171751806015
subj04,ventral,2,0.2400915144180934,0.1672926544046734,0.16143951222655484,0.5225291786350844,0.574868242277273,0.2775117550167393
subj04,ventral,4,0.30834229336218577,0.23554343334876576,0.2297013349783289,0.7762368513180106,0.8093985954793742,0.39072888049924037
subj04,ventral,8,0.36380929293303554,0.29101043291961554,,0.9999999999999871,1.0,0.4827397607808389
subj05,ventral,1,0.25835564966988245,0.1956251903712789,0.18839084704792639,0.423151667951666,0.4416647448194507,0.30361379257892757
subj05,ventral,2,0.3559335375590097,0.29320307826040615,0.28601306978754837,0.6498242410052479,0.6619672164632032,0.4550564189484247
subj05,ventral,4,0.4428541138262917,0.38012365452768815,0.37293272719664156,0.8525799762347047,0.8582085801842477,0.5899587071638076
subj05,ventral,8,0.5056573471952492,0.4429268878966457,,0.9999999999999915,1.0,0.687430448063737
subj06,ventral,1,0.14558991101832514,0.08841049769989376,0.08396551774193634,0.29587470988273007,0.3482948325845236,0.1536549448324523
subj06,ventral,2,0.1966137782975023,0.1394343649790709,0.1349785105863811,0.5049931876210695,0.5493043255085445,0.2423329832542375
subj06,ventral,4,0.2591062525068301,0.20192683918839874,0.19747555203359246,0.7722859043379302,0.7954946129607623,0.3509431361986571
subj06,ventral,8,0.31101751081402634,0.253838097495595,,0.9999999999999907,0.9999999996709494,0.44116343513251327
subj07,ventral,1,0.2445922005170346,0.18828730215244244,0.18135089690073453,0.44833299163981327,0.47612162312904877,0.26952189952560673
subj07,ventral,2,0.32303857538880604,0.26673367702421386,0.25978859674325594,0.656012770438492,0.6744887721909545,0.38181314659663707
subj07,ventral,4,0.39752314440573416,0.341218246041142,0.33427136985719935,0.8551893176191808,0.862837712841743,0.488433307899576
subj07,ventral,8,0.4517654098688549,0.3954605115042627,,0.99999999999999,0.9999999918656808,0.5660778344027823
subj08,ventral,1,0.13917669475473488,0.06785334503747566,0.06234895547759564,0.2212484937963299,0.4975453231366821,0.11424288758053043
subj08,ventral,2,0.1545038781352627,0.08318052841800348,0.07769064960710134,0.3625901397075109,0.6099343056345685,0.14004886202292113
subj08,ventral,4,0.17703224524048422,0.105708895523225,0.10023022125012472,0.5982183519310476,0.7751271002553574,0.17797927958970836
subj08,ventral,8,0.20769955754151453,0.1363762078242553,,0.999999999999981,0.9999999904588162,0.22961302453873944
