subject,roi,fold,R_IN_ORACLE,R_IN_SELF,SELF_IN,R_OUT_ORACLE,R_OUT_SELF,SELF_OUT
subj01,ventral,0,0.1530818380056993,0.15308183800569922,0.9999999999999981,0.5446785017057649,0.5446785017057647,0.9999999999999994
subj01,ventral,1,0.09528766558908879,0.09528766558908888,1.0000000000000018,0.6896990761345551,0.6896990761345542,0.9999999999999987
subj01,ventral,2,0.1367929897482263,0.1367929897482264,1.0000000000000027,0.5710844098496579,0.5710844098496576,0.9999999999999993
subj01,ventral,3,0.12788567148023183,0.12788567148023175,0.9999999999999982,0.6119784982545721,0.6119784982545718,0.9999999999999996
subj01,ventral,4,0.14891531586399576,0.1489153158639958,1.0000000000000009,0.6181990388370322,0.6181990388370324,1.0000000000000004
subj01,ventral,5,0.12718521643497474,0.12718521643497466,0.999999999999999,0.5326289509635191,0.5326289509635187,0.9999999999999991
subj02,ventral,0,0.27823313537917765,0.27823313537917754,0.9999999999999988,0.625178640653757,0.6251786406537563,0.9999999999999984
subj02,ventral,1,0.11366793326254586,0.11366793326254582,0.999999999999999,0.5210754292171451,0.521075429217145,0.9999999999999998
subj02,ventral,2,0.19468907277332048,0.19468907277332073,1.0000000000000029,0.5082950443090819,0.5082950443090819,1.0
subj02,ventral,3,0.2414558424662694,0.2414558424662693,0.9999999999999994,0.5893764993748973,0.5893764993748969,0.9999999999999991
subj02,ventral,4,0.21002833599164378,0.21002833599164417,1.0000000000000029,0.48888772975650074,0.48888772975650074,1.0
subj02,ventral,5,0.16424812204454808,0.16424812204454803,0.9999999999999987,0.5614420217465693,0.5614420217465689,0.999999999999999
subj03,ventral,0,0.14166729268508882,0.1416672926850888,0.9999999999999997,0.5466831287087957,0.5466831287087955,0.9999999999999998
subj03,ventral,1,0.12439384189407329,0.12439384189407317,0.9999999999999988,0.5415374820569695,0.5415374820569699,1.0000000000000009
subj03,ventral,2,0.15549170299003365,0.15549170299003384,1.0000000000000018,0.5098095927037171,0.5098095927037174,1.0000000000000007
subj03,ventral,3,0.12025227973971461,0.12025227973971467,1.0000000000000007,0.5559073406472805,0.5559073406472803,0.9999999999999996
subj03,ventral,4,0.14854221437444562,0.14854221437444584,1.0000000000000024,0.6018363514758343,0.601836351475834,0.9999999999999996
subj03,ventral,5,0.13487030886154477,0.1348703088615448,1.0000000000000002,0.5256943027001251,0.5256943027001253,1.0000000000000004
subj04,ventral,0,0.12457934510026208,0.12457934510026217,1.0000000000000009,0.6000198811848125,0.6000198811848124,0.9999999999999998
subj04,ventral,1,0.14025278146238854,0.14025278146238848,0.9999999999999991,0.5170247679971203,0.5170247679971199,0.9999999999999992
subj04,ventral,2,0.20715030137069654,0.20715030137069615,0.9999999999999967,0.5955603091802139,0.5955603091802142,1.0000000000000007
subj04,ventral,3,0.12446700747281923,0.124467007472819,0.9999999999999966,0.5506815977804156,0.5506815977804157,1.0000000000000002
subj04,ventral,4,0.22921320034050474,0.22921320034050446,0.999999999999998,0.4636522909440616,0.4636522909440611,0.9999999999999987
subj04,ventral,5,0.16306780837257556,0.1630678083725754,0.9999999999999977,0.6343107360262465,0.6343107360262462,0.9999999999999993
subj05,ventral,0,0.10661870554268328,0.10661870554268336,1.000000000000001,0.6517968247687436,0.6517968247687436,1.0
subj05,ventral,1,0.1456456782154934,0.14564567821549335,0.9999999999999994,0.5589497786846465,0.5589497786846465,1.0
subj05,ventral,2,0.13298847648339493,0.132988476483395,1.000000000000002,0.7104640090179737,0.710464009017973,0.9999999999999989
subj05,ventral,3,0.10872738879414662,0.10872738879414666,1.0000000000000007,0.5978846557514936,0.5978846557514939,1.0000000000000004
subj05,ventral,4,0.1766669382966261,0.17666693829662608,0.9999999999999997,0.695910579579363,0.6959105795793632,1.0000000000000004
subj05,ventral,5,0.0895066623198745,0.08950666231987453,1.0000000000000009,0.6572618910974055,0.6572618910974058,1.0000000000000004
subj06,ventral,0,0.19013243188390258,0.1901324318839026,1.0000000000000002,0.5103883428867426,0.5103883428867413,0.9999999999999971
subj06,ventral,1,0.23069985793892978,0.23069985793892994,1.000000000000001,0.39191821691559975,0.3919182169155994,0.9999999999999989
subj06,ventral,2,0.18129188728536078,0.18129188728536066,0.9999999999999988,0.4706899854889871,0.47068998548898744,1.0000000000000009
subj06,ventral,3,0.15186271062484336,0.15186271062484336,1.0,0.4171730869374852,0.41717308693748534,1.0000000000000002
subj06,ventral,4,0.22195488550084808,0.2219548855008483,1.0000000000000013,0.573459229067519,0.573459229067518,0.9999999999999981
subj06,ventral,5,0.20117922805150912,0.2011792280515089,0.9999999999999987,0.5017127728093916,0.5017127728093914,0.9999999999999996
subj07,ventral,0,0.2449966234318162,0.24499662343181633,1.0000000000000007,0.5571981106157877,0.5571981106157877,1.0
subj07,ventral,1,0.23057889254087685,0.2305788925408769,1.0000000000000002,0.5794887117172304,0.5794887117172302,0.9999999999999996
subj07,ventral,2,0.25286585870664247,0.25286585870664235,0.9999999999999996,0.5229570317765164,0.5229570317765168,1.0000000000000007
subj07,ventral,3,0.21330423884378108,0.21330423884378108,1.0,0.5922036203302903,0.5922036203302896,0.9999999999999988
subj07,ventral,4,0.2209198874307628,0.2209198874307628,1.0,0.5567645984132708,0.556764598413271,1.0000000000000004
subj07,ventral,5,0.28373071368557135,0.2837307136855712,0.9999999999999991,0.5675941643428978,0.5675941643428979,1.0000000000000002
subj08,ventral,0,0.20913871647014856,0.20913871647014845,0.9999999999999991,0.4480336340949034,0.4480336340949036,1.0000000000000007
subj08,ventral,1,0.11961319037397557,0.11961319037397586,1.0000000000000049,0.3660173253370211,0.36601732533702136,1.0000000000000009
subj08,ventral,2,0.11690664656836157,0.11690664656836167,1.0000000000000029,0.3549316985455715,0.35493169854557133,0.9999999999999993
subj08,ventral,3,0.16568126734548272,0.16568126734548272,1.0,0.2824803734607534,0.28248037346075366,1.0000000000000016
subj08,ventral,4,0.13027393382558294,0.13027393382558305,1.0000000000000013,0.4009971626692456,0.4009971626692458,1.0000000000000004
subj08,ventral,5,0.15649990755066887,0.1564999075506689,1.0000000000000002,0.31205601784920545,0.3120560178492052,0.9999999999999991
subj01,lateral,0,0.14774079683645225,0.14774079683645208,0.9999999999999909,0.6818913806304517,0.681891380630452,1.0000000000000004
subj01,lateral,1,0.13888865063819256,0.13888865063819267,1.0000000000000044,0.6967356731761952,0.6967356731761942,0.9999999999999983
subj01,lateral,2,0.1412214367356899,0.14122143673569,1.000000000000002,0.7226621493862255,0.722662149386225,0.9999999999999991
subj01,lateral,3,0.18282881267723916,0.18282881267723916,1.0,0.6687306222818585,0.668730622281858,0.9999999999999989
subj01,lateral,4,0.1664787368900539,0.16647873689005396,1.000000000000002,0.7429396792032396,0.7429396792032392,0.9999999999999994
subj01,lateral,5,0.13638886774829867,0.13638886774829875,1.0000000000000056,0.7804142146731023,0.7804142146731029,1.0000000000000009
subj02,lateral,0,0.17107886394523356,0.17107886394523347,0.999999999999996,0.7349853374798215,0.7349853374798211,0.9999999999999992
subj02,lateral,1,0.11299291085748214,0.11299291085748214,1.0,0.6243226872391757,0.6243226872391767,1.000000000000002
subj02,lateral,2,0.14548852545943608,0.14548852545943614,1.000000000000005,0.7075770094486279,0.7075770094486274,0.9999999999999992
subj02,lateral,3,0.19652956031736285,0.19652956031736296,1.000000000000001,0.618220083903777,0.6182200839037784,1.0000000000000024
subj02,lateral,4,0.1298285203234755,0.1298285203234756,1.0000000000000093,0.553324549980065,0.5533245499800639,0.9999999999999974
